date,visitors
2016-01-04,21
2016-01-05,16
2016-01-06,24
2016-01-07,16
2016-01-08,18
2016-01-09,30
2016-01-10,30
2016-01-11,16
2016-01-12,10
2016-01-13,7
2016-01-14,5
2016-01-15,21
2016-01-16,24
2016-01-17,24
2016-01-18,8
2016-01-19,8
2016-01-20,6
2016-01-21,8
2016-01-22,21
2016-01-23,13
2016-01-24,24
2016-01-25,7
2016-01-26,27
2016-01-27,16
2016-01-28,10
2016-01-29,12
2016-01-30,31
2016-01-31,10
2016-02-01,11
2016-02-02,8
2016-02-03,6
2016-02-04,4
2016-02-05,24
2016-02-06,28
2016-02-07,6
2016-02-08,6
2016-02-09,4
2016-02-10,30
2016-02-11,13
2016-02-12,4
2016-02-13,18
2016-02-14,6
2016-02-15,16
2016-02-16,12
2016-02-17,22
2016-02-18,10
2016-02-19,20
2016-02-20,19
2016-02-21,13
2016-02-22,18
2016-02-23,22
2016-02-24,10
2016-02-25,20
2016-02-26,27
2016-02-27,24
2016-02-28,13
2016-02-29,13
2016-03-01,21
2016-03-02,4
2016-03-03,19
2016-03-04,9
2016-03-05,29
2016-03-06,24
2016-03-07,4
2016-03-08,30
2016-03-09,14
2016-03-10,14
2016-03-11,7
2016-03-12,36
2016-03-13,15
2016-03-14,25
2016-03-15,10
2016-03-16,14
2016-03-17,6
2016-03-18,9
2016-03-19,31
2016-03-20,22
2016-03-21,16
2016-03-22,13
2016-03-23,22
2016-03-24,8
2016-03-25,27
2016-03-26,30
2016-03-27,41
2016-03-28,7
2016-03-29,44
2016-03-30,16
2016-03-31,24
2016-04-01,20
2016-04-02,27
2016-04-03,22
2016-04-04,21
2016-04-05,9
2016-04-06,9
2016-04-07,6
2016-04-08,33
2016-04-09,25
2016-04-10,25
2016-04-11,13
2016-04-12,4
2016-04-13,14
2016-04-14,11
2016-04-15,24
2016-04-16,25
2016-04-17,27
2016-04-18,19
2016-04-19,12
2016-04-20,29
2016-04-21,14
2016-04-22,22
2016-04-23,32
2016-04-24,34
2016-04-25,12
2016-04-26,18
2016-04-27,7
2016-04-28,25
2016-04-29,27
2016-04-30,23
2016-05-01,19
2016-05-02,25
2016-05-03,21
2016-05-04,33
2016-05-05,26
2016-05-06,3
2016-05-07,21
2016-05-08,21
2016-05-09,4
2016-05-10,12
2016-05-11,18
2016-05-12,5
2016-05-13,28
2016-05-14,27
2016-05-15,5
2016-05-16,21
2016-05-17,8
2016-05-18,11
2016-05-19,15
2016-05-20,27
2016-05-21,28
2016-05-22,16
2016-05-23,6
2016-05-24,17
2016-05-25,10
2016-05-26,8
2016-05-27,14
2016-05-28,43
2016-05-29,23
2016-05-30,7
2016-05-31,11
2016-06-01,3
2016-06-02,11
2016-06-03,32
2016-06-04,26
2016-06-05,10
2016-06-06,9
2016-06-07,25
2016-06-08,23
2016-06-09,9
2016-06-10,29
2016-06-11,28
2016-06-12,12
2016-06-13,10
2016-06-14,22
2016-06-15,22
2016-06-16,6
2016-06-17,35
2016-06-18,22
2016-06-19,37
2016-06-20,6
2016-06-21,13
2016-06-22,21
2016-06-23,7
2016-06-24,20
2016-06-25,30
2016-06-26,12
2016-06-27,13
2016-06-28,22
2016-06-29,20
2016-06-30,11
2016-07-01,29
2016-07-02,29
2016-07-03,16
2016-07-04,2
2016-07-06,16
2016-07-07,6
2016-07-08,30
2016-07-09,22
2016-07-10,4
2016-07-11,17
2016-07-12,26
2016-07-13,28
2016-07-14,36
2016-07-15,28
2016-07-16,15
2016-07-17,51
2016-07-18,18
2016-07-19,2
2016-07-20,25
2016-07-21,17
2016-07-22,24
2016-07-23,34
2016-07-24,22
2016-07-25,5
2016-07-26,41
2016-07-27,11
2016-07-28,16
2016-07-29,9
2016-07-30,33
2016-07-31,19
2016-08-01,11
2016-08-02,6
2016-08-03,9
2016-08-04,17
2016-08-05,20
2016-08-06,25
2016-08-07,29
2016-08-08,17
2016-08-09,20
2016-08-10,18
2016-08-11,43
2016-08-12,49
2016-08-13,30
2016-08-14,28
2016-08-15,23
2016-08-16,16
2016-08-17,25
2016-08-18,9
2016-08-19,27
2016-08-20,20
2016-08-22,7
2016-08-23,10
2016-08-24,16
2016-08-25,13
2016-08-26,24
2016-08-27,26
2016-08-28,30
2016-08-29,14
2016-08-30,5
2016-08-31,14
2016-09-01,4
2016-09-02,11
2016-09-03,29
2016-09-04,23
2016-09-05,27
2016-09-06,13
2016-09-07,29
2016-09-08,9
2016-09-09,17
2016-09-10,41
2016-09-11,25
2016-09-12,6
2016-09-13,14
2016-09-14,9
2016-09-15,21
2016-09-16,19
2016-09-17,12
2016-09-18,26
2016-09-19,35
2016-09-20,12
2016-09-21,23
2016-09-22,9
2016-09-23,8
2016-09-24,48
2016-09-25,28
2016-09-26,8
2016-09-27,5
2016-09-28,21
2016-09-29,7
2016-09-30,19
2016-10-01,11
2016-10-02,14
2016-10-03,6
2016-10-04,12
2016-10-05,3
2016-10-06,6
2016-10-07,13
2016-10-08,26
2016-10-09,27
2016-10-10,17
2016-10-11,17
2016-10-12,3
2016-10-13,6
2016-10-14,12
2016-10-15,22
2016-10-16,28
2016-10-17,9
2016-10-18,22
2016-10-19,10
2016-10-20,11
2016-10-21,15
2016-10-22,8
2016-10-23,41
2016-10-24,22
2016-10-25,8
2016-10-26,26
2016-10-27,7
2016-10-28,13
2016-10-29,30
2016-10-30,24
2016-10-31,22
2016-11-01,8
2016-11-02,15
2016-11-03,21
2016-11-04,9
2016-11-05,19
2016-11-06,16
2016-11-10,6
2016-11-11,3
2016-11-12,8
2016-11-13,20
2016-11-14,19
2016-11-15,6
2016-11-16,7
2016-11-17,5
2016-11-18,13
2016-11-19,19
2016-11-20,14
2016-11-21,7
2016-11-22,7
2016-11-23,8
2016-11-24,14
2016-11-25,27
2016-11-26,31
2016-11-27,16
2016-11-28,8
2016-11-29,7
2016-11-30,9
2016-12-01,6
2016-12-02,18
2016-12-03,33
2016-12-04,10
2016-12-05,12
2016-12-06,1
2016-12-07,4
2016-12-08,10
2016-12-09,36
2016-12-10,38
2016-12-11,14
2016-12-12,11
2016-12-13,12
2016-12-14,11
2016-12-15,17
2016-12-16,39
2016-12-17,36
2016-12-18,33
2016-12-19,21
2016-12-20,23
2016-12-21,10
2016-12-22,39
2016-12-23,25
2016-12-24,15
2016-12-25,11
2016-12-26,38
2016-12-27,19
2016-12-28,31
2016-12-29,47
2016-12-30,51
2017-01-02,49
2017-01-03,32
2017-01-04,15
2017-01-05,23
2017-01-06,22
2017-01-07,15
2017-01-08,24
2017-01-09,27
2017-01-10,8
2017-01-11,20
2017-01-12,9
2017-01-13,2
2017-01-14,28
2017-01-15,14
2017-01-16,20
2017-01-17,6
