date,visitors
2016-07-01,13
2016-07-02,53
2016-07-03,29
2016-07-04,25
2016-07-05,20
2016-07-06,18
2016-07-07,16
2016-07-08,42
2016-07-09,41
2016-07-10,35
2016-07-11,55
2016-07-12,56
2016-07-13,20
2016-07-14,54
2016-07-15,34
2016-07-16,40
2016-07-17,93
2016-07-19,61
2016-07-20,25
2016-07-21,15
2016-07-22,38
2016-07-23,33
2016-07-24,51
2016-07-25,26
2016-07-26,30
2016-07-27,16
2016-07-28,32
2016-07-29,44
2016-07-30,41
2016-07-31,40
2016-08-01,17
2016-08-02,30
2016-08-03,14
2016-08-04,21
2016-08-05,34
2016-08-06,48
2016-08-07,28
2016-08-08,4
2016-08-09,48
2016-08-10,60
2016-08-11,35
2016-08-12,43
2016-08-13,45
2016-08-14,32
2016-08-15,22
2016-08-16,26
2016-08-17,34
2016-08-18,35
2016-08-19,50
2016-08-20,39
2016-08-21,56
2016-08-22,25
2016-08-23,32
2016-08-24,34
2016-08-25,38
2016-08-26,55
2016-08-27,39
2016-08-28,64
2016-08-29,12
2016-08-30,22
2016-08-31,12
2016-09-01,22
2016-09-02,44
2016-09-03,52
2016-09-04,25
2016-09-05,80
2016-09-06,48
2016-09-07,33
2016-09-08,40
2016-09-09,8
2016-09-10,73
2016-09-11,50
2016-09-12,8
2016-09-13,3
2016-09-14,20
2016-09-15,14
2016-09-16,21
2016-09-17,21
2016-09-18,51
2016-09-19,35
2016-09-20,12
2016-09-21,15
2016-09-22,38
2016-09-23,3
2016-09-24,41
2016-09-25,32
2016-09-26,3
2016-09-27,4
2016-09-28,19
2016-09-29,6
2016-09-30,8
2016-10-01,40
2016-10-02,17
2016-10-03,9
2016-10-04,10
2016-10-05,5
2016-10-06,22
2016-10-07,13
2016-10-08,26
2016-10-09,30
2016-10-10,8
2016-10-11,15
2016-10-12,9
2016-10-13,18
2016-10-14,39
2016-10-15,67
2016-10-16,43
2016-10-17,12
2016-10-18,12
2016-10-19,23
2016-10-20,10
2016-10-21,58
2016-10-22,50
2016-10-23,77
2016-10-24,8
2016-10-25,7
2016-10-26,35
2016-10-27,11
2016-10-28,26
2016-10-29,63
2016-10-30,38
2016-10-31,31
2016-11-01,7
2016-11-02,32
2016-11-03,31
2016-11-04,30
2016-11-05,18
2016-11-06,21
2016-11-07,9
2016-11-08,14
2016-11-09,26
2016-11-10,23
2016-11-11,32
2016-11-12,48
2016-11-13,28
2016-11-14,74
2016-11-15,13
2016-11-16,26
2016-11-17,14
2016-11-18,31
2016-11-19,98
2016-11-20,49
2016-11-21,27
2016-11-22,48
2016-11-23,33
2016-11-24,17
2016-11-25,37
2016-11-26,11
2016-11-27,183
2016-11-28,18
2016-11-29,16
2016-11-30,38
2016-12-01,11
2016-12-02,70
2016-12-03,44
2016-12-04,28
2016-12-05,29
2016-12-06,56
2016-12-08,86
2016-12-09,40
2016-12-10,96
2016-12-11,59
2016-12-12,25
2016-12-13,27
2016-12-14,33
2016-12-15,37
2016-12-16,46
2016-12-17,69
2016-12-18,36
2016-12-19,34
2016-12-20,17
2016-12-21,43
2016-12-22,54
2016-12-23,52
2016-12-24,45
2016-12-25,62
2016-12-26,33
2016-12-27,37
2016-12-28,59
2016-12-29,48
2016-12-30,54
2016-12-31,16
2017-01-04,26
2017-01-05,17
2017-01-06,41
2017-01-07,33
2017-01-09,83
2017-01-10,19
2017-01-11,22
2017-01-12,16
2017-01-13,34
2017-01-14,45
2017-01-15,38
2017-01-16,37
2017-01-17,8
2017-01-18,18
2017-01-19,36
2017-01-20,43
2017-01-21,56
2017-01-22,32
2017-01-23,12
2017-01-24,21
2017-01-25,36
2017-01-26,26
2017-01-27,49
2017-01-28,50
2017-01-29,42
2017-01-30,6
2017-01-31,44
2017-02-01,18
2017-02-02,24
2017-02-03,27
2017-02-04,38
2017-02-05,41
2017-02-06,24
2017-02-07,27
2017-02-08,28
2017-02-09,17
2017-02-10,61
2017-02-11,40
2017-02-12,29
2017-02-13,31
2017-02-14,26
2017-02-15,29
2017-02-16,45
2017-02-17,49
2017-02-18,49
2017-02-19,29
2017-02-20,29
2017-02-21,15
2017-02-22,56
