date,visitors
2016-07-01,12
2016-07-02,30
2016-07-03,33
2016-07-04,10
2016-07-05,12
2016-07-06,4
2016-07-07,8
2016-07-08,13
2016-07-09,14
2016-07-10,22
2016-07-11,11
2016-07-12,18
2016-07-13,9
2016-07-14,15
2016-07-15,16
2016-07-16,21
2016-07-17,24
2016-07-18,20
2016-07-19,13
2016-07-20,8
2016-07-21,12
2016-07-22,14
2016-07-23,24
2016-07-24,13
2016-07-25,16
2016-07-26,14
2016-07-27,22
2016-07-28,17
2016-07-29,10
2016-07-30,30
2016-07-31,23
2016-08-01,9
2016-08-02,4
2016-08-03,17
2016-08-04,17
2016-08-05,5
2016-08-06,22
2016-08-07,29
2016-08-08,11
2016-08-09,9
2016-08-10,14
2016-08-11,22
2016-08-12,13
2016-08-13,12
2016-08-14,25
2016-08-15,13
2016-08-16,24
2016-08-17,17
2016-08-18,16
2016-08-19,10
2016-08-20,17
2016-08-21,11
2016-08-22,6
2016-08-23,13
2016-08-24,12
2016-08-25,7
2016-08-26,10
2016-08-27,21
2016-08-28,32
2016-08-29,12
2016-08-30,21
2016-08-31,12
2016-09-01,17
2016-09-02,16
2016-09-03,26
2016-09-04,16
2016-09-05,7
2016-09-06,9
2016-09-07,15
2016-09-08,28
2016-09-09,15
2016-09-10,22
2016-09-11,28
2016-09-12,10
2016-09-13,14
2016-09-14,14
2016-09-15,11
2016-09-16,15
2016-09-17,13
2016-09-18,16
2016-09-19,5
2016-09-20,9
2016-09-21,22
2016-09-22,15
2016-09-23,8
2016-09-24,19
2016-09-25,16
2016-09-26,8
2016-09-27,14
2016-09-28,22
2016-09-29,12
2016-09-30,13
2016-10-01,26
2016-10-02,20
2016-10-03,17
2016-10-04,19
2016-10-05,11
2016-10-06,18
2016-10-07,15
2016-10-08,22
2016-10-09,20
2016-10-10,36
2016-10-11,17
2016-10-12,9
2016-10-13,16
2016-10-14,14
2016-10-15,10
2016-10-17,14
2016-10-18,15
2016-10-19,15
2016-10-20,16
2016-10-21,27
2016-10-22,9
2016-10-23,37
2016-10-24,18
2016-10-25,7
2016-10-26,12
2016-10-27,17
2016-10-28,11
2016-10-29,27
2016-10-30,23
2016-10-31,13
2016-11-01,12
2016-11-02,19
2016-11-03,27
2016-11-04,9
2016-11-05,30
2016-11-06,10
2016-11-07,23
2016-11-08,8
2016-11-09,13
2016-11-10,17
2016-11-11,21
2016-11-12,20
2016-11-13,22
2016-11-14,15
2016-11-15,16
2016-11-16,18
2016-11-17,11
2016-11-18,23
2016-11-19,19
2016-11-20,31
2016-11-21,18
2016-11-22,17
2016-11-23,19
2016-11-24,12
2016-11-25,12
2016-11-26,19
2016-11-27,30
2016-11-28,9
2016-11-29,11
2016-11-30,14
2016-12-01,16
2016-12-02,11
2016-12-03,28
2016-12-04,26
2016-12-05,14
2016-12-06,12
2016-12-07,14
2016-12-08,21
2016-12-09,16
2016-12-10,23
2016-12-11,31
2016-12-12,7
2016-12-13,7
2016-12-14,15
2016-12-15,18
2016-12-16,11
2016-12-17,30
2016-12-18,28
2016-12-19,20
2016-12-20,15
2016-12-21,4
2016-12-22,28
2016-12-23,25
2016-12-24,17
2016-12-25,20
2016-12-26,22
2016-12-27,19
2016-12-28,28
2016-12-29,20
2016-12-30,19
2016-12-31,2
2017-01-03,14
2017-01-04,12
2017-01-05,5
2017-01-06,17
2017-01-07,27
2017-01-08,24
2017-01-09,27
2017-01-10,14
2017-01-11,6
2017-01-12,18
2017-01-13,14
2017-01-14,14
2017-01-15,18
2017-01-16,8
2017-01-17,17
2017-01-18,16
2017-01-19,10
2017-01-20,20
2017-01-21,23
2017-01-22,19
2017-01-23,3
2017-01-24,15
2017-01-25,9
2017-01-26,13
2017-01-27,19
2017-01-28,35
2017-01-29,24
2017-01-30,5
2017-01-31,20
2017-02-01,16
2017-02-02,17
2017-02-03,14
2017-02-04,28
2017-02-05,24
2017-02-06,15
2017-02-07,21
2017-02-08,8
2017-02-09,19
2017-02-10,15
2017-02-11,19
2017-02-12,21
2017-02-13,3
2017-02-14,15
2017-02-15,12
2017-02-16,19
2017-02-17,20
2017-02-18,15
2017-02-19,21
2017-02-20,25
2017-02-21,6
2017-02-22,11
