date,visitors
2016-07-01,12
2016-07-02,22
2016-07-03,18
2016-07-05,11
2016-07-06,6
2016-07-07,9
2016-07-08,18
2016-07-09,15
2016-07-12,11
2016-07-13,7
2016-07-14,8
2016-07-15,14
2016-07-16,15
2016-07-17,20
2016-07-18,12
2016-07-19,3
2016-07-20,11
2016-07-21,7
2016-07-22,9
2016-07-23,14
2016-07-24,9
2016-07-26,7
2016-07-27,15
2016-07-28,5
2016-07-29,13
2016-07-30,22
2016-07-31,14
2016-08-02,1
2016-08-03,16
2016-08-04,12
2016-08-05,6
2016-08-06,12
2016-08-07,17
2016-08-09,6
2016-08-10,11
2016-08-11,10
2016-08-12,8
2016-08-13,16
2016-08-14,11
2016-08-16,8
2016-08-17,8
2016-08-18,9
2016-08-19,16
2016-08-20,14
2016-08-21,12
2016-08-22,3
2016-08-23,8
2016-08-24,8
2016-08-25,10
2016-08-26,10
2016-08-27,24
2016-08-28,10
2016-08-29,1
2016-08-30,9
2016-08-31,4
2016-09-01,12
2016-09-02,14
2016-09-03,20
2016-09-04,12
2016-09-06,9
2016-09-07,7
2016-09-08,8
2016-09-09,9
2016-09-10,13
2016-09-11,20
2016-09-13,12
2016-09-14,6
2016-09-15,10
2016-09-16,7
2016-09-17,20
2016-09-18,10
2016-09-19,11
2016-09-21,15
2016-09-22,13
2016-09-23,9
2016-09-24,10
2016-09-25,14
2016-09-27,8
2016-09-28,9
2016-09-29,14
2016-09-30,13
2016-10-01,18
2016-10-02,19
2016-10-04,16
2016-10-05,8
2016-10-06,11
2016-10-07,12
2016-10-08,17
2016-10-09,6
2016-10-10,19
2016-10-12,9
2016-10-13,10
2016-10-14,13
2016-10-15,57
2016-10-16,2
2016-10-18,13
2016-10-19,10
2016-10-20,9
2016-10-21,11
2016-10-22,9
2016-10-23,2
2016-10-25,6
2016-10-26,12
2016-10-27,13
2016-10-28,12
2016-10-29,12
2016-10-30,31
2016-11-01,11
2016-11-02,12
2016-11-03,7
2016-11-04,7
2016-11-05,10
2016-11-06,8
2016-11-07,1
2016-11-08,9
2016-11-09,10
2016-11-10,6
2016-11-11,11
2016-11-12,10
2016-11-13,15
2016-11-15,8
2016-11-16,6
2016-11-17,12
2016-11-18,8
2016-11-19,7
2016-11-20,12
2016-11-22,7
2016-11-23,10
2016-11-24,7
2016-11-25,7
2016-11-26,15
2016-11-27,4
2016-11-29,9
2016-11-30,9
2016-12-01,7
2016-12-02,9
2016-12-03,15
2016-12-04,9
2016-12-07,14
2016-12-08,3
2016-12-09,14
2016-12-10,9
2016-12-11,7
2016-12-12,2
2016-12-13,5
2016-12-14,6
2016-12-15,6
2016-12-16,14
2016-12-17,14
2016-12-18,18
2016-12-20,21
2016-12-21,14
2016-12-22,13
2016-12-23,17
2016-12-24,13
2016-12-25,7
2016-12-27,13
2016-12-28,13
2016-12-29,19
2016-12-30,17
2016-12-31,6
2017-01-04,16
2017-01-05,3
2017-01-06,4
2017-01-07,2
2017-01-08,12
2017-01-10,3
2017-01-11,3
2017-01-12,3
2017-01-13,3
2017-01-14,5
2017-01-15,7
2017-01-17,3
2017-01-18,2
2017-01-19,3
2017-01-20,3
2017-01-21,13
2017-01-22,17
2017-01-24,12
2017-01-25,11
2017-01-26,6
2017-01-27,12
2017-01-28,11
2017-01-29,11
2017-01-31,7
2017-02-01,13
2017-02-02,12
2017-02-03,12
2017-02-04,14
2017-02-05,9
2017-02-07,12
2017-02-08,6
2017-02-09,11
2017-02-10,13
2017-02-11,12
2017-02-12,13
2017-02-14,13
2017-02-15,4
2017-02-16,13
2017-02-17,8
2017-02-18,14
2017-02-19,10
2017-02-21,10
2017-02-22,8
2017-02-23,11
2017-02-24,9
