date,visitors
2016-07-01,38
2016-07-02,63
2016-07-03,78
2016-07-04,45
2016-07-06,39
2016-07-07,53
2016-07-08,50
2016-07-09,76
2016-07-10,76
2016-07-11,58
2016-07-13,38
2016-07-14,30
2016-07-15,44
2016-07-16,63
2016-07-17,58
2016-07-18,50
2016-07-20,41
2016-07-21,41
2016-07-22,59
2016-07-23,47
2016-07-24,44
2016-07-25,33
2016-07-28,50
2016-07-29,31
2016-07-30,60
2016-07-31,62
2016-08-01,23
2016-08-03,17
2016-08-04,37
2016-08-05,45
2016-08-06,28
2016-08-07,43
2016-08-08,32
2016-08-10,49
2016-08-11,51
2016-08-12,64
2016-08-13,49
2016-08-14,70
2016-08-15,66
2016-08-17,46
2016-08-18,41
2016-08-19,59
2016-08-20,54
2016-08-21,82
2016-08-22,31
2016-08-24,22
2016-08-25,50
2016-08-26,34
2016-08-27,73
2016-08-28,57
2016-09-01,30
2016-09-02,43
2016-09-03,48
2016-09-04,70
2016-09-05,37
2016-09-08,46
2016-09-09,44
2016-09-10,59
2016-09-11,45
2016-09-12,29
2016-09-14,61
2016-09-15,46
2016-09-16,40
2016-09-17,61
2016-09-18,41
2016-09-19,45
2016-09-21,47
2016-09-22,44
2016-09-23,40
2016-09-24,52
2016-09-25,53
2016-09-26,57
2016-09-28,42
2016-09-29,49
2016-09-30,68
2016-10-01,54
2016-10-02,67
2016-10-03,36
2016-10-05,29
2016-10-06,40
2016-10-07,44
2016-10-08,69
2016-10-09,61
2016-10-10,57
2016-10-12,40
2016-10-13,29
2016-10-14,51
2016-10-15,51
2016-10-16,36
2016-10-17,40
2016-10-19,38
2016-10-20,45
2016-10-21,22
2016-10-22,78
2016-10-23,29
2016-10-24,39
2016-10-26,33
2016-10-27,45
2016-10-28,49
2016-10-29,59
2016-10-30,50
2016-11-02,33
2016-11-03,23
2016-11-04,32
2016-11-05,46
2016-11-06,33
2016-11-07,26
2016-11-09,48
2016-11-10,41
2016-11-11,33
2016-11-12,41
2016-11-13,67
2016-11-14,38
2016-11-16,29
2016-11-17,38
2016-11-18,40
2016-11-19,65
2016-11-20,38
2016-11-21,38
2016-11-23,53
2016-11-24,26
2016-11-25,49
2016-11-26,69
2016-11-27,58
2016-11-28,52
2016-11-30,46
2016-12-01,50
2016-12-02,46
2016-12-03,46
2016-12-04,62
2016-12-07,46
2016-12-08,30
2016-12-09,29
2016-12-10,52
2016-12-11,39
2016-12-12,41
2016-12-14,30
2016-12-15,40
2016-12-16,31
2016-12-17,56
2016-12-18,61
2016-12-19,41
2016-12-21,36
2016-12-22,48
2016-12-23,27
2016-12-24,70
2016-12-25,71
2016-12-26,41
2016-12-28,48
2016-12-29,80
2016-12-30,63
2016-12-31,46
2017-01-01,36
2017-01-02,53
2017-01-03,62
2017-01-06,53
2017-01-07,41
2017-01-08,47
2017-01-09,49
2017-01-11,37
2017-01-12,24
2017-01-13,37
2017-01-14,39
2017-01-15,32
2017-01-16,28
2017-01-18,33
2017-01-19,28
2017-01-20,46
2017-01-21,42
2017-01-22,32
2017-01-25,38
2017-01-26,39
2017-01-27,49
2017-01-28,46
2017-01-29,38
2017-01-30,35
2017-02-01,42
2017-02-02,37
2017-02-03,30
2017-02-04,61
2017-02-05,55
2017-02-06,32
2017-02-08,32
2017-02-09,36
2017-02-10,36
2017-02-11,55
2017-02-12,61
2017-02-15,42
2017-02-16,46
2017-02-17,48
2017-02-18,70
2017-02-19,58
2017-02-20,25
2017-02-22,38
2017-02-23,36
