date,visitors
2016-07-01,25
2016-07-02,17
2016-07-03,6
2016-07-04,26
2016-07-06,14
2016-07-07,15
2016-07-08,32
2016-07-09,43
2016-07-10,14
2016-07-11,27
2016-07-12,10
2016-07-13,35
2016-07-14,26
2016-07-15,30
2016-07-16,35
2016-07-17,44
2016-07-18,27
2016-07-19,6
2016-07-20,16
2016-07-21,21
2016-07-22,15
2016-07-23,40
2016-07-24,26
2016-07-25,23
2016-07-26,7
2016-07-27,20
2016-07-28,12
2016-07-29,34
2016-07-30,21
2016-07-31,24
2016-08-01,21
2016-08-02,40
2016-08-03,25
2016-08-04,24
2016-08-05,5
2016-08-06,37
2016-08-07,20
2016-08-08,15
2016-08-09,11
2016-08-10,25
2016-08-11,33
2016-08-12,36
2016-08-13,17
2016-08-14,33
2016-08-15,23
2016-08-16,26
2016-08-17,9
2016-08-18,7
2016-08-19,17
2016-08-20,16
2016-08-21,19
2016-08-22,12
2016-08-23,24
2016-08-24,15
2016-08-25,3
2016-08-26,38
2016-08-27,45
2016-08-28,10
2016-08-29,31
2016-08-30,17
2016-08-31,18
2016-09-01,22
2016-09-02,31
2016-09-03,18
2016-09-04,32
2016-09-05,9
2016-09-06,9
2016-09-07,9
2016-09-08,8
2016-09-09,23
2016-09-10,40
2016-09-11,41
2016-09-12,26
2016-09-13,5
2016-09-14,13
2016-09-15,6
2016-09-16,11
2016-09-17,71
2016-09-18,46
2016-09-19,34
2016-09-20,4
2016-09-21,20
2016-09-22,39
2016-09-23,18
2016-09-24,40
2016-09-25,19
2016-09-26,10
2016-09-27,6
2016-09-28,6
2016-09-29,15
2016-09-30,22
2016-10-01,24
2016-10-02,47
2016-10-03,8
2016-10-05,4
2016-10-06,16
2016-10-07,17
2016-10-08,20
2016-10-09,38
2016-10-10,50
2016-10-11,26
2016-10-12,25
2016-10-13,10
2016-10-14,20
2016-10-15,38
2016-10-16,14
2016-10-17,8
2016-10-18,9
2016-10-20,9
2016-10-21,23
2016-10-22,27
2016-10-23,21
2016-10-24,17
2016-10-25,14
2016-10-26,11
2016-10-27,16
2016-10-28,2
2016-10-29,43
2016-10-30,40
2016-10-31,17
2016-11-01,13
2016-11-02,16
2016-11-03,25
2016-11-04,5
2016-11-05,20
2016-11-06,36
2016-11-07,18
2016-11-08,6
2016-11-11,18
2016-11-12,36
2016-11-13,13
2016-11-14,14
2016-11-15,3
2016-11-16,38
2016-11-17,13
2016-11-18,8
2016-11-19,40
2016-11-20,43
2016-11-21,13
2016-11-22,4
2016-11-23,21
2016-11-24,7
2016-11-25,12
2016-11-26,51
2016-11-27,23
2016-11-28,19
2016-11-29,28
2016-11-30,19
2016-12-01,14
2016-12-02,23
2016-12-03,52
2016-12-04,23
2016-12-05,5
2016-12-06,17
2016-12-07,50
2016-12-08,38
2016-12-09,24
2016-12-10,70
2016-12-11,47
2016-12-12,14
2016-12-13,17
2016-12-14,8
2016-12-15,4
2016-12-16,41
2016-12-17,55
2016-12-18,24
2016-12-19,23
2016-12-21,14
2016-12-22,64
2016-12-23,24
2016-12-24,39
2016-12-25,33
2016-12-26,14
2016-12-27,42
2016-12-28,38
2016-12-29,50
2016-12-30,53
2016-12-31,91
2017-01-01,22
2017-01-02,34
2017-01-03,71
2017-01-04,17
2017-01-06,24
2017-01-07,24
2017-01-08,31
2017-01-09,3
2017-01-10,4
2017-01-12,7
2017-01-13,14
2017-01-14,46
2017-01-15,5
2017-01-16,8
2017-01-17,8
2017-01-18,5
2017-01-19,9
2017-01-20,23
2017-01-21,19
2017-01-22,15
2017-01-23,5
2017-01-24,5
2017-01-25,6
2017-01-26,16
2017-01-27,16
2017-01-28,45
2017-01-29,30
2017-01-30,12
2017-01-31,15
2017-02-01,7
2017-02-02,8
2017-02-03,9
2017-02-04,34
2017-02-05,18
2017-02-06,23
2017-02-07,1
2017-02-08,2
2017-02-09,50
2017-02-10,13
2017-02-11,33
2017-02-12,20
2017-02-13,10
2017-02-14,23
2017-02-15,17
2017-02-16,17
2017-02-17,13
