date,visitors
2016-07-01,56
2016-07-02,17
2016-07-03,35
2016-07-04,17
2016-07-05,21
2016-07-06,16
2016-07-07,37
2016-07-08,11
2016-07-09,56
2016-07-10,30
2016-07-11,15
2016-07-12,20
2016-07-13,11
2016-07-14,26
2016-07-15,38
2016-07-16,29
2016-07-17,32
2016-07-18,32
2016-07-19,18
2016-07-20,12
2016-07-21,22
2016-07-22,37
2016-07-23,51
2016-07-24,38
2016-07-25,16
2016-07-26,7
2016-07-27,24
2016-07-28,22
2016-07-29,42
2016-07-30,29
2016-07-31,21
2016-08-01,13
2016-08-02,22
2016-08-03,35
2016-08-04,18
2016-08-05,33
2016-08-06,26
2016-08-07,18
2016-08-08,10
2016-08-09,21
2016-08-10,49
2016-08-11,32
2016-08-12,24
2016-08-13,21
2016-08-14,15
2016-08-15,20
2016-08-16,14
2016-08-17,22
2016-08-18,21
2016-08-19,26
2016-08-20,43
2016-08-21,16
2016-08-22,10
2016-08-23,22
2016-08-24,22
2016-08-25,18
2016-08-26,33
2016-08-27,36
2016-08-28,22
2016-08-29,18
2016-08-30,22
2016-08-31,30
2016-09-01,12
2016-09-02,30
2016-09-03,31
2016-09-04,13
2016-09-05,10
2016-09-06,20
2016-09-07,18
2016-09-08,34
2016-09-09,36
2016-09-10,44
2016-09-11,28
2016-09-12,12
2016-09-13,9
2016-09-14,14
2016-09-15,21
2016-09-16,20
2016-09-17,25
2016-09-18,20
2016-09-19,16
2016-09-20,12
2016-09-21,20
2016-09-22,27
2016-09-23,23
2016-09-24,17
2016-09-25,17
2016-09-26,17
2016-09-27,26
2016-09-28,23
2016-09-29,22
2016-09-30,41
2016-10-01,35
2016-10-02,23
2016-10-03,9
2016-10-04,15
2016-10-05,16
2016-10-06,36
2016-10-07,23
2016-10-08,39
2016-10-09,31
2016-10-10,10
2016-10-11,13
2016-10-12,17
2016-10-13,29
2016-10-14,19
2016-10-15,31
2016-10-16,27
2016-10-17,7
2016-10-18,14
2016-10-19,36
2016-10-20,21
2016-10-21,26
2016-10-22,40
2016-10-23,38
2016-10-24,20
2016-10-25,9
2016-10-26,14
2016-10-27,24
2016-10-28,27
2016-10-29,47
2016-10-30,22
2016-10-31,14
2016-11-01,11
2016-11-02,28
2016-11-03,32
2016-11-04,13
2016-11-05,41
2016-11-06,22
2016-11-07,19
2016-11-08,18
2016-11-09,14
2016-11-10,14
2016-11-11,37
2016-11-12,36
2016-11-13,26
2016-11-14,6
2016-11-15,17
2016-11-16,18
2016-11-17,16
2016-11-18,38
2016-11-19,20
2016-11-20,20
2016-11-21,9
2016-11-22,24
2016-11-23,28
2016-11-24,7
2016-11-25,32
2016-11-26,36
2016-11-27,17
2016-11-28,32
2016-11-29,5
2016-11-30,25
2016-12-01,17
2016-12-02,26
2016-12-03,57
2016-12-04,20
2016-12-05,21
2016-12-06,24
2016-12-07,24
2016-12-08,25
2016-12-09,30
2016-12-10,24
2016-12-11,32
2016-12-12,29
2016-12-13,13
2016-12-14,26
2016-12-15,24
2016-12-16,34
2016-12-17,31
2016-12-18,26
2016-12-19,17
2016-12-20,28
2016-12-21,45
2016-12-22,35
2016-12-23,29
2016-12-24,34
2016-12-25,27
2016-12-26,20
2016-12-27,36
2016-12-28,34
2016-12-29,28
2016-12-30,42
2016-12-31,13
2017-01-01,25
2017-01-02,19
2017-01-03,13
2017-01-04,14
2017-01-05,19
2017-01-06,33
2017-01-07,29
2017-01-08,20
2017-01-09,12
2017-01-10,7
2017-01-11,23
2017-01-12,15
2017-01-13,32
2017-01-14,31
2017-01-15,28
2017-01-16,14
2017-01-17,16
2017-01-18,21
2017-01-19,19
2017-01-20,31
2017-01-21,33
2017-01-22,52
2017-01-23,14
2017-01-24,17
2017-01-25,32
2017-01-26,15
2017-01-27,44
2017-01-28,43
2017-01-29,13
2017-01-30,11
2017-01-31,20
2017-02-01,39
2017-02-02,17
2017-02-03,18
2017-02-04,19
2017-02-05,14
2017-02-06,27
2017-02-07,18
2017-02-08,15
2017-02-09,9
2017-02-10,37
2017-02-11,32
2017-02-12,19
2017-02-13,9
2017-02-14,30
2017-02-15,21
2017-02-16,13
2017-02-17,25
2017-02-18,35
2017-02-19,18
2017-02-20,24
2017-02-21,13
