date,visitors
2016-07-01,6
2016-07-02,3
2016-07-04,13
2016-07-05,8
2016-07-06,5
2016-07-07,5
2016-07-08,2
2016-07-09,15
2016-07-11,6
2016-07-12,7
2016-07-13,4
2016-07-14,5
2016-07-15,6
2016-07-16,12
2016-07-19,11
2016-07-20,9
2016-07-21,6
2016-07-23,6
2016-07-25,8
2016-07-26,6
2016-07-28,3
2016-07-29,10
2016-07-30,6
2016-08-01,5
2016-08-02,3
2016-08-03,4
2016-08-04,9
2016-08-05,8
2016-08-06,2
2016-08-08,7
2016-08-09,3
2016-08-10,2
2016-08-12,7
2016-08-13,5
2016-08-15,3
2016-08-16,8
2016-08-17,11
2016-08-18,3
2016-08-19,6
2016-08-20,9
2016-08-22,7
2016-08-23,5
2016-08-24,4
2016-08-25,4
2016-08-26,9
2016-08-27,4
2016-08-29,13
2016-08-30,5
2016-08-31,8
2016-09-01,4
2016-09-02,2
2016-09-03,6
2016-09-05,7
2016-09-06,3
2016-09-07,3
2016-09-08,2
2016-09-09,7
2016-09-10,7
2016-09-12,4
2016-09-13,8
2016-09-14,3
2016-09-15,7
2016-09-16,8
2016-09-17,3
2016-09-23,4
2016-09-24,11
2016-09-26,7
2016-09-27,7
2016-09-28,4
2016-09-29,6
2016-09-30,5
2016-10-01,9
2016-10-03,9
2016-10-04,6
2016-10-05,5
2016-10-06,11
2016-10-08,8
2016-10-11,10
2016-10-12,6
2016-10-17,9
2016-10-18,1
2016-10-19,4
2016-10-20,14
2016-10-21,8
2016-10-22,7
2016-10-24,6
2016-10-25,8
2016-10-26,5
2016-10-27,4
2016-10-28,6
2016-10-29,7
2016-10-31,12
2016-11-01,12
2016-11-02,8
2016-11-04,2
2016-11-05,7
2016-11-07,3
2016-11-08,1
2016-11-09,2
2016-11-10,3
2016-11-11,5
2016-11-12,6
2016-11-14,4
2016-11-15,7
2016-11-16,13
2016-11-17,6
2016-11-18,9
2016-11-19,2
2016-11-21,2
2016-11-22,4
2016-11-24,3
2016-11-25,2
2016-11-26,14
2016-11-28,9
2016-11-29,4
2016-11-30,7
2016-12-01,4
2016-12-02,4
2016-12-03,11
2016-12-05,4
2016-12-06,8
2016-12-07,5
2016-12-08,2
2016-12-09,4
2016-12-10,9
2016-12-12,3
2016-12-13,8
2016-12-14,6
2016-12-15,3
2016-12-16,6
2016-12-17,7
2016-12-19,4
2016-12-20,4
2016-12-21,5
2016-12-22,5
2016-12-24,8
2016-12-26,3
2016-12-27,6
2016-12-29,4
2016-12-30,5
2017-01-05,9
2017-01-06,3
2017-01-07,10
2017-01-10,9
2017-01-11,7
2017-01-12,7
2017-01-13,5
2017-01-14,7
2017-01-16,8
2017-01-17,4
2017-01-18,4
2017-01-19,2
2017-01-20,5
2017-01-21,8
2017-01-23,1
2017-01-24,3
2017-01-25,10
2017-01-26,9
2017-01-27,4
2017-01-28,9
2017-01-30,4
2017-01-31,7
2017-02-01,4
2017-02-02,4
2017-02-03,8
2017-02-04,11
2017-02-06,6
2017-02-07,7
2017-02-08,9
2017-02-09,10
2017-02-10,13
2017-02-13,5
2017-02-14,9
2017-02-15,4
2017-02-16,10
2017-02-17,5
2017-02-18,4
2017-02-20,9
2017-02-21,13
2017-02-22,8
2017-02-23,3
2017-02-24,5
2017-02-25,11
