date,visitors
2016-01-05,6
2016-01-06,6
2016-01-07,2
2016-01-08,11
2016-01-09,6
2016-01-13,4
2016-01-14,13
2016-01-15,13
2016-01-16,10
2016-01-17,10
2016-01-18,3
2016-01-19,8
2016-01-20,5
2016-01-21,3
2016-01-22,11
2016-01-23,4
2016-01-26,10
2016-01-27,13
2016-01-28,7
2016-01-29,5
2016-01-30,12
2016-01-31,1
2016-02-01,9
2016-02-02,2
2016-02-03,2
2016-02-04,11
2016-02-05,14
2016-02-07,2
2016-02-08,6
2016-02-09,2
2016-02-10,1
2016-02-11,31
2016-02-12,10
2016-02-13,2
2016-02-14,4
2016-02-15,5
2016-02-16,6
2016-02-17,5
2016-02-18,14
2016-02-19,11
2016-02-20,7
2016-02-22,3
2016-02-23,9
2016-02-24,9
2016-02-25,19
2016-02-26,11
2016-02-27,6
2016-02-29,3
2016-03-01,2
2016-03-02,8
2016-03-03,13
2016-03-04,12
2016-03-05,6
2016-03-07,4
2016-03-08,2
2016-03-09,6
2016-03-10,13
2016-03-11,4
2016-03-12,24
2016-03-14,4
2016-03-15,9
2016-03-16,8
2016-03-17,3
2016-03-18,10
2016-03-19,13
2016-03-20,10
2016-03-21,7
2016-03-22,18
2016-03-23,3
2016-03-24,5
2016-03-25,14
2016-03-28,4
2016-03-29,7
2016-03-30,10
2016-03-31,9
2016-04-01,28
2016-04-02,7
2016-04-03,2
2016-04-04,18
2016-04-05,12
2016-04-06,8
2016-04-07,10
2016-04-08,9
2016-04-09,9
2016-04-10,3
2016-04-11,1
2016-04-12,6
2016-04-13,10
2016-04-14,8
2016-04-15,11
2016-04-16,9
2016-04-18,1
2016-04-20,4
2016-04-21,9
2016-04-22,10
2016-04-23,4
2016-04-25,5
2016-04-26,3
2016-04-27,3
2016-04-28,5
2016-04-29,7
2016-04-30,4
2016-05-02,13
2016-05-03,1
2016-05-04,6
2016-05-05,6
2016-05-06,9
2016-05-07,6
2016-05-10,11
2016-05-11,7
2016-05-12,3
2016-05-13,17
2016-05-15,3
2016-05-16,4
2016-05-17,1
2016-05-18,5
2016-05-19,12
2016-05-20,13
2016-05-23,4
2016-05-24,7
2016-05-25,6
2016-05-26,8
2016-05-27,17
2016-05-28,6
2016-05-31,3
2016-06-01,3
2016-06-03,16
2016-06-04,12
2016-06-06,4
2016-06-07,13
2016-06-08,6
2016-06-09,2
2016-06-10,19
2016-06-13,2
2016-06-14,3
2016-06-15,14
2016-06-16,1
2016-06-17,13
2016-06-20,6
2016-06-21,3
2016-06-22,8
2016-06-23,9
2016-06-24,5
2016-06-25,4
2016-06-26,10
2016-06-27,2
2016-06-28,3
2016-06-30,11
2016-07-01,8
2016-07-02,2
2016-07-04,13
2016-07-05,3
2016-07-06,18
2016-07-07,9
2016-07-08,8
2016-07-11,6
2016-07-12,3
2016-07-13,3
2016-07-14,5
2016-07-15,7
2016-07-16,13
2016-07-19,8
2016-07-20,2
2016-07-21,4
2016-07-22,14
2016-07-24,6
2016-07-25,11
2016-07-26,4
2016-07-27,13
2016-07-28,2
2016-07-29,6
2016-07-30,4
2016-07-31,5
2016-08-02,2
2016-08-03,6
2016-08-04,5
2016-08-05,7
2016-08-06,1
2016-08-08,3
2016-08-09,1
2016-08-10,3
2016-08-11,6
2016-08-12,3
2016-08-13,1
2016-08-17,3
2016-08-18,5
2016-08-19,20
2016-08-20,10
2016-08-21,2
2016-08-22,15
2016-08-23,6
2016-08-24,4
2016-08-25,5
2016-08-26,13
2016-08-29,3
2016-08-30,6
2016-08-31,8
2016-09-01,4
2016-09-02,5
2016-09-03,12
2016-09-05,1
2016-09-06,4
2016-09-07,1
2016-09-08,7
2016-09-09,7
2016-09-10,2
2016-09-12,4
2016-09-13,4
2016-09-14,2
2016-09-15,1
2016-09-16,5
2016-09-17,8
2016-09-18,6
2016-09-19,1
2016-09-21,9
2016-09-22,3
2016-09-23,4
2016-09-24,3
2016-09-25,2
2016-09-27,4
2016-09-29,2
2016-09-30,5
2016-10-01,2
2016-10-02,1
2016-10-03,10
2016-10-05,3
2016-10-06,5
2016-10-07,4
2016-10-08,1
2016-10-14,2
2016-10-15,3
2016-10-16,17
2016-10-17,2
2016-10-18,2
2016-10-19,2
2016-10-20,4
2016-10-22,4
2016-10-24,4
2016-10-25,17
2016-10-26,4
2016-10-27,6
2016-10-28,2
2016-10-29,7
2016-10-30,5
2016-10-31,7
2016-11-01,5
2016-11-02,15
2016-11-03,6
2016-11-04,8
2016-11-05,2
2016-11-07,1
2016-11-08,4
2016-11-09,5
2016-11-10,1
2016-11-11,5
2016-11-12,8
2016-11-13,3
2016-11-14,4
2016-11-15,7
2016-11-18,7
2016-11-19,13
2016-11-20,5
2016-11-21,5
2016-11-22,6
2016-11-23,5
2016-11-24,16
2016-11-25,10
2016-11-26,3
2016-11-28,7
2016-11-29,1
2016-11-30,6
2016-12-01,4
2016-12-02,5
2016-12-03,2
2016-12-05,3
2016-12-06,3
2016-12-07,8
2016-12-08,1
2016-12-09,8
2016-12-11,5
2016-12-12,4
2016-12-13,12
2016-12-14,4
2016-12-15,2
2016-12-16,14
2016-12-19,3
2016-12-20,3
2016-12-21,6
2016-12-22,15
2016-12-23,8
2016-12-24,6
2016-12-25,8
2016-12-26,3
2016-12-27,6
2016-12-28,16
2016-12-29,2
2016-12-30,1
2017-01-06,8
2017-01-07,4
2017-01-08,7
2017-01-09,18
2017-01-10,4
2017-01-12,20
2017-01-13,11
2017-01-14,2
2017-01-15,6
2017-01-16,11
2017-01-18,8
