date,visitors
2016-07-17,1
2016-07-29,2
2016-07-31,1
2016-08-09,1
2016-08-18,1
2016-08-20,1
2016-08-23,1
2016-08-26,1
2016-09-02,1
2016-09-28,1
2016-10-12,14
2016-10-14,18
2016-10-15,30
2016-10-16,21
2016-10-17,31
2016-10-18,10
2016-10-19,8
2016-10-20,2
2016-10-21,12
2016-10-22,10
2016-10-29,4
2016-10-30,3
2016-11-03,6
2016-11-05,1
2016-11-10,9
2016-11-16,1
2016-11-23,1
2016-11-24,1
2016-12-04,6
2016-12-05,2
2016-12-09,1
2017-01-08,1
2017-01-12,2
2017-02-01,9
2017-02-02,28
2017-02-03,35
2017-02-04,59
2017-02-05,20
2017-02-06,45
2017-02-07,35
2017-02-08,20
2017-02-09,29
2017-02-10,42
2017-02-11,48
2017-02-12,29
2017-02-13,34
2017-02-14,15
2017-02-15,39
2017-02-16,49
2017-02-17,10
2017-02-18,69
2017-02-19,56
2017-02-20,36
2017-02-21,27
2017-02-22,24
2017-02-23,34
2017-02-24,43
2017-02-25,67
2017-02-26,85
2017-02-27,38
2017-02-28,30
2017-03-01,39
2017-03-02,36
2017-03-03,50
2017-03-04,67
2017-03-05,58
2017-03-06,35
2017-03-07,27
2017-03-08,41
2017-03-09,45
2017-03-10,43
2017-03-11,89
2017-03-12,54
2017-03-13,50
2017-03-14,31
2017-03-15,48
2017-03-16,34
2017-03-17,74
2017-03-18,77
2017-03-19,114
2017-03-20,31
2017-03-21,61
2017-03-22,35
2017-03-23,27
2017-03-24,60
2017-03-25,90
2017-03-26,57
2017-03-27,44
2017-03-28,52
2017-03-29,65
2017-03-30,36
