date,visitors
2016-07-01,29
2016-07-02,11
2016-07-04,46
2016-07-05,27
2016-07-06,26
2016-07-07,33
2016-07-08,23
2016-07-09,27
2016-07-11,45
2016-07-12,26
2016-07-13,30
2016-07-14,16
2016-07-15,35
2016-07-16,30
2016-07-19,24
2016-07-20,25
2016-07-21,22
2016-07-22,43
2016-07-23,27
2016-07-25,34
2016-07-26,18
2016-07-27,31
2016-07-28,21
2016-07-29,33
2016-07-30,41
2016-08-01,18
2016-08-02,16
2016-08-03,28
2016-08-04,24
2016-08-05,27
2016-08-06,25
2016-08-08,33
2016-08-09,15
2016-08-10,36
2016-08-11,22
2016-08-12,22
2016-08-13,15
2016-08-18,31
2016-08-19,28
2016-08-20,31
2016-08-22,14
2016-08-23,23
2016-08-24,24
2016-08-25,28
2016-08-26,28
2016-08-27,29
2016-08-29,25
2016-08-30,23
2016-08-31,23
2016-09-01,39
2016-09-02,33
2016-09-03,27
2016-09-05,29
2016-09-06,23
2016-09-07,24
2016-09-08,37
2016-09-09,30
2016-09-10,49
2016-09-12,27
2016-09-13,22
2016-09-14,35
2016-09-15,18
2016-09-16,33
2016-09-20,21
2016-09-21,24
2016-09-22,19
2016-09-23,12
2016-09-24,38
2016-09-26,37
2016-09-27,25
2016-09-28,25
2016-09-29,28
2016-09-30,13
2016-10-01,27
2016-10-03,25
2016-10-04,20
2016-10-05,28
2016-10-06,37
2016-10-07,23
2016-10-08,26
2016-10-11,27
2016-10-12,27
2016-10-13,30
2016-10-14,39
2016-10-15,22
2016-10-17,16
2016-10-18,29
2016-10-19,23
2016-10-20,26
2016-10-21,17
2016-10-22,45
2016-10-24,22
2016-10-25,30
2016-10-26,25
2016-10-27,23
2016-10-28,21
2016-10-29,38
2016-10-31,11
2016-11-01,18
2016-11-02,28
2016-11-07,33
2016-11-08,19
2016-11-09,28
2016-11-10,23
2016-11-11,19
2016-11-12,34
2016-11-14,47
2016-11-15,20
2016-11-16,19
2016-11-17,20
2016-11-18,16
2016-11-19,41
2016-11-21,23
2016-11-22,26
2016-11-23,40
2016-11-24,21
2016-11-25,30
2016-11-26,26
2016-11-29,15
2016-11-30,43
2016-12-01,19
2016-12-02,46
2016-12-03,21
2016-12-05,46
2016-12-06,18
2016-12-07,44
2016-12-08,24
2016-12-09,25
2016-12-10,37
2016-12-12,50
2016-12-13,18
2016-12-14,21
2016-12-15,19
2016-12-16,41
2016-12-17,37
2016-12-19,56
2016-12-20,32
2016-12-21,26
2016-12-22,50
2016-12-23,27
2016-12-24,19
2016-12-26,55
2016-12-27,22
2016-12-31,1
2017-01-05,5
2017-01-06,34
2017-01-07,20
2017-01-09,9
2017-01-10,23
2017-01-11,18
2017-01-12,24
2017-01-13,39
2017-01-14,22
2017-01-16,41
2017-01-17,20
2017-01-18,30
2017-01-19,25
2017-01-20,44
2017-01-21,30
2017-01-22,1
2017-01-23,34
2017-01-24,22
2017-01-25,33
2017-01-26,30
2017-01-27,31
2017-01-28,35
2017-01-30,46
2017-01-31,20
2017-02-01,18
2017-02-02,15
2017-02-03,26
2017-02-04,34
2017-02-06,15
2017-02-07,22
2017-02-08,21
2017-02-09,23
2017-02-10,21
2017-02-11,29
2017-02-13,43
2017-02-14,31
2017-02-15,22
2017-02-16,26
2017-02-17,39
2017-02-18,15
2017-02-20,46
2017-02-21,35
2017-02-22,32
2017-02-23,47
2017-02-24,57
