date,visitors
2016-01-04,1
2016-01-05,4
2016-01-06,9
2016-01-07,8
2016-01-08,8
2016-01-09,13
2016-01-10,2
2016-01-12,2
2016-01-13,7
2016-01-14,12
2016-01-15,5
2016-01-16,7
2016-01-17,3
2016-01-19,8
2016-01-20,11
2016-01-21,12
2016-01-22,8
2016-01-23,14
2016-01-25,2
2016-01-26,5
2016-01-27,7
2016-01-28,3
2016-01-29,7
2016-01-30,17
2016-01-31,9
2016-02-01,1
2016-02-02,15
2016-02-03,10
2016-02-04,21
2016-02-05,6
2016-02-06,7
2016-02-07,1
2016-02-08,1
2016-02-09,9
2016-02-10,9
2016-02-11,13
2016-02-12,2
2016-02-13,7
2016-02-14,3
2016-02-15,5
2016-02-16,4
2016-02-17,5
2016-02-18,3
2016-02-19,19
2016-02-20,6
2016-02-21,1
2016-02-22,5
2016-02-23,7
2016-02-24,6
2016-02-25,11
2016-02-26,8
2016-02-27,20
2016-02-28,9
2016-02-29,7
2016-03-01,6
2016-03-02,10
2016-03-03,1
2016-03-04,6
2016-03-05,8
2016-03-06,1
2016-03-07,1
2016-03-08,9
2016-03-09,3
2016-03-10,3
2016-03-11,13
2016-03-12,18
2016-03-15,5
2016-03-16,16
2016-03-17,6
2016-03-18,8
2016-03-19,16
2016-03-20,3
2016-03-22,1
2016-03-23,12
2016-03-24,9
2016-03-25,10
2016-03-26,9
2016-03-27,4
2016-03-28,1
2016-03-29,6
2016-03-30,12
2016-03-31,3
2016-04-01,4
2016-04-02,13
2016-04-03,5
2016-04-05,9
2016-04-06,8
2016-04-07,7
2016-04-09,9
2016-04-10,6
2016-04-11,4
2016-04-12,8
2016-04-13,6
2016-04-14,3
2016-04-15,8
2016-04-16,6
2016-04-17,3
2016-04-19,10
2016-04-20,13
2016-04-21,10
2016-04-22,5
2016-04-23,18
2016-04-24,7
2016-04-25,3
2016-04-26,7
2016-04-27,13
2016-04-28,17
2016-04-29,7
2016-04-30,1
2016-05-01,2
2016-05-02,2
2016-05-03,2
2016-05-06,1
2016-05-07,6
2016-05-08,5
2016-05-09,8
2016-05-10,9
2016-05-11,7
2016-05-12,2
2016-05-13,6
2016-05-14,7
2016-05-15,2
2016-05-16,2
2016-05-17,12
2016-05-18,10
2016-05-19,6
2016-05-20,10
2016-05-21,9
2016-05-22,2
2016-05-23,1
2016-05-24,10
2016-05-25,21
2016-05-26,5
2016-05-27,8
2016-05-28,5
2016-05-29,7
2016-05-30,2
2016-05-31,8
2016-06-01,12
2016-06-02,11
2016-06-03,6
2016-06-04,4
2016-06-05,2
2016-06-06,2
2016-06-07,16
2016-06-08,1
2016-06-09,8
2016-06-10,5
2016-06-11,8
2016-06-12,5
2016-06-13,1
2016-06-14,4
2016-06-15,5
2016-06-16,10
2016-06-17,5
2016-06-18,10
2016-06-19,3
2016-06-20,3
2016-06-21,4
2016-06-22,7
2016-06-24,15
2016-06-25,6
2016-06-26,2
2016-06-27,1
2016-06-28,10
2016-06-29,15
2016-06-30,10
2016-07-01,7
2016-07-02,10
2016-07-03,5
2016-07-04,3
2016-07-05,5
2016-07-06,9
2016-07-07,3
2016-07-08,6
2016-07-09,6
2016-07-10,4
2016-07-11,6
2016-07-12,7
2016-07-13,4
2016-07-14,6
2016-07-15,4
2016-07-16,6
2016-07-17,5
2016-07-19,2
2016-07-20,7
2016-07-21,2
2016-07-22,5
2016-07-23,6
2016-07-24,5
2016-07-25,2
2016-07-26,6
2016-07-27,13
2016-07-28,2
2016-07-29,3
2016-07-30,4
2016-08-01,4
2016-08-02,8
2016-08-03,9
2016-08-04,5
2016-08-05,7
2016-08-06,6
2016-08-08,2
2016-08-09,5
2016-08-10,2
2016-08-11,6
2016-08-13,3
2016-08-17,6
2016-08-18,5
2016-08-19,5
2016-08-20,7
2016-08-21,5
2016-08-23,8
2016-08-24,4
2016-08-25,2
2016-08-26,7
2016-08-27,27
2016-08-28,4
2016-08-29,1
2016-08-30,2
2016-08-31,4
2016-09-01,5
2016-09-02,3
2016-09-03,3
2016-09-05,1
2016-09-06,5
2016-09-07,5
2016-09-08,4
2016-09-09,15
2016-09-10,9
2016-09-11,3
2016-09-13,7
2016-09-14,2
2016-09-15,8
2016-09-16,5
2016-09-17,15
2016-09-18,3
2016-09-20,4
2016-09-21,13
2016-09-22,4
2016-09-23,2
2016-09-24,5
2016-09-26,2
2016-09-27,10
2016-09-28,12
2016-09-29,6
2016-09-30,7
2016-10-01,9
2016-10-02,4
2016-10-04,6
2016-10-05,7
2016-10-06,1
2016-10-07,3
2016-10-08,5
2016-10-09,3
2016-10-11,2
2016-10-12,7
2016-10-13,9
2016-10-14,5
2016-10-15,12
2016-10-16,4
2016-10-17,1
2016-10-18,1
2016-10-19,7
2016-10-20,6
2016-10-21,5
2016-10-22,3
2016-10-24,4
2016-10-25,5
2016-10-26,6
2016-10-27,2
2016-10-28,13
2016-10-29,5
2016-10-30,2
2016-10-31,3
2016-11-01,2
2016-11-02,15
2016-11-03,14
2016-11-05,9
2016-11-06,4
2016-11-07,1
2016-11-08,4
2016-11-09,3
2016-11-10,7
2016-11-11,4
2016-11-12,8
2016-11-13,7
2016-11-14,1
2016-11-15,14
2016-11-16,4
2016-11-17,6
2016-11-18,8
2016-11-19,9
2016-11-21,2
2016-11-22,11
2016-11-23,9
2016-11-24,4
2016-11-25,5
2016-11-26,8
2016-11-27,2
2016-11-28,8
2016-11-29,12
2016-11-30,6
2016-12-01,4
2016-12-02,6
2016-12-03,7
2016-12-04,2
2016-12-05,3
2016-12-06,9
2016-12-07,6
2016-12-08,9
2016-12-09,7
2016-12-10,10
2016-12-12,2
2016-12-13,15
2016-12-14,7
2016-12-15,5
2016-12-16,4
2016-12-17,12
2016-12-18,3
2016-12-20,6
2016-12-21,6
2016-12-22,8
2016-12-23,12
2016-12-25,3
2016-12-26,1
2016-12-27,7
2016-12-28,15
2016-12-29,11
2016-12-30,4
2017-01-06,9
2017-01-07,5
2017-01-10,2
2017-01-11,8
2017-01-12,18
2017-01-13,11
2017-01-14,7
2017-01-15,3
2017-01-17,7
2017-01-18,12
