date,visitors
2016-01-03,18
2016-01-04,18
2016-01-05,17
2016-01-06,16
2016-01-07,8
2016-01-08,22
2016-01-09,35
2016-01-10,20
2016-01-11,9
2016-01-12,1
2016-01-13,14
2016-01-14,14
2016-01-15,30
2016-01-16,30
2016-01-17,18
2016-01-18,1
2016-01-19,14
2016-01-20,20
2016-01-21,13
2016-01-22,18
2016-01-23,33
2016-01-24,12
2016-01-26,13
2016-01-27,23
2016-01-28,16
2016-01-29,25
2016-01-30,37
2016-01-31,18
2016-02-02,7
2016-02-03,13
2016-02-04,12
2016-02-05,27
2016-02-06,37
2016-02-07,11
2016-02-08,1
2016-02-09,17
2016-02-10,39
2016-02-11,17
2016-02-12,11
2016-02-13,27
2016-02-14,18
2016-02-16,10
2016-02-17,22
2016-02-18,32
2016-02-19,29
2016-02-20,24
2016-02-21,24
2016-02-22,1
2016-02-23,7
2016-02-24,25
2016-02-25,11
2016-02-26,41
2016-02-27,25
2016-02-28,10
2016-03-01,11
2016-03-02,15
2016-03-03,8
2016-03-04,42
2016-03-05,45
2016-03-06,16
2016-03-07,1
2016-03-08,19
2016-03-09,25
2016-03-10,28
2016-03-11,26
2016-03-12,36
2016-03-13,20
2016-03-15,18
2016-03-16,16
2016-03-17,20
2016-03-18,24
2016-03-19,25
2016-03-20,28
2016-03-21,9
2016-03-23,10
2016-03-24,37
2016-03-25,36
2016-03-26,29
2016-03-27,26
2016-03-29,15
2016-03-30,26
2016-03-31,20
2016-04-01,32
2016-04-02,45
2016-04-03,22
2016-04-04,12
2016-04-05,15
2016-04-06,3
2016-04-07,12
2016-04-08,20
2016-04-09,48
2016-04-10,25
2016-04-12,22
2016-04-13,28
2016-04-14,23
2016-04-15,33
2016-04-16,31
2016-04-17,14
2016-04-19,14
2016-04-20,13
2016-04-21,10
2016-04-22,29
2016-04-23,28
2016-04-24,13
2016-04-26,17
2016-04-27,25
2016-04-28,32
2016-04-29,24
2016-04-30,35
2016-05-01,25
2016-05-02,29
2016-05-03,25
2016-05-04,26
2016-05-05,23
2016-05-06,23
2016-05-07,29
2016-05-08,20
2016-05-09,7
2016-05-10,8
2016-05-11,11
2016-05-12,13
2016-05-13,33
2016-05-14,27
2016-05-15,18
2016-05-16,14
2016-05-17,16
2016-05-18,11
2016-05-19,11
2016-05-20,25
2016-05-21,30
2016-05-22,7
2016-05-23,7
2016-05-24,16
2016-05-25,19
2016-05-26,12
2016-05-27,42
2016-05-28,26
2016-05-29,10
2016-05-30,12
2016-05-31,21
2016-06-01,28
2016-06-02,19
2016-06-03,43
2016-06-04,36
2016-06-05,15
2016-06-06,5
2016-06-07,19
2016-06-08,43
2016-06-09,37
2016-06-10,45
2016-06-11,27
2016-06-12,8
2016-06-13,12
2016-06-14,14
2016-06-15,46
2016-06-16,5
2016-06-17,33
2016-06-18,51
2016-06-19,20
2016-06-20,18
2016-06-21,25
2016-06-22,11
2016-06-23,20
2016-06-24,39
2016-06-25,32
2016-06-26,18
2016-06-27,9
2016-06-28,7
2016-06-29,17
2016-06-30,17
2016-07-01,37
2016-07-02,43
2016-07-03,26
2016-07-04,24
2016-07-05,24
2016-07-06,29
2016-07-07,27
2016-07-08,36
2016-07-09,40
2016-07-10,13
2016-07-11,7
2016-07-12,20
2016-07-13,20
2016-07-14,30
2016-07-15,35
2016-07-16,30
2016-07-17,29
2016-07-18,24
2016-07-19,26
2016-07-20,12
2016-07-21,40
2016-07-22,26
2016-07-23,39
2016-07-24,28
2016-07-25,38
2016-07-26,22
2016-07-27,28
2016-07-28,33
2016-07-29,42
2016-07-30,44
2016-07-31,21
2016-08-02,20
2016-08-03,29
2016-08-04,22
2016-08-05,39
2016-08-06,40
2016-08-07,21
2016-08-08,29
2016-08-09,24
2016-08-10,35
2016-08-11,20
2016-08-12,36
2016-08-13,37
2016-08-14,13
2016-08-15,19
2016-08-16,20
2016-08-17,20
2016-08-18,8
2016-08-19,39
2016-08-20,30
2016-08-21,27
2016-08-22,5
2016-08-23,13
2016-08-24,15
2016-08-25,29
2016-08-26,43
2016-08-27,47
2016-08-28,37
2016-08-29,8
2016-08-30,17
2016-08-31,21
2016-09-01,24
2016-09-02,28
2016-09-03,43
2016-09-04,16
2016-09-05,20
2016-09-06,14
2016-09-07,30
2016-09-08,9
2016-09-09,42
2016-09-10,29
2016-09-11,17
2016-09-12,13
2016-09-13,18
2016-09-14,14
2016-09-15,31
2016-09-16,47
2016-09-17,37
2016-09-18,16
2016-09-19,26
2016-09-20,16
2016-09-21,47
2016-09-22,16
2016-09-23,29
2016-09-24,46
2016-09-25,34
2016-09-26,18
2016-09-27,20
2016-09-28,25
2016-09-29,21
2016-09-30,36
2016-10-01,30
2016-10-02,30
2016-10-03,11
2016-10-04,23
2016-10-05,13
2016-10-06,14
2016-10-07,37
2016-10-08,25
2016-10-09,23
2016-10-10,23
2016-10-11,19
2016-10-12,12
2016-10-13,18
2016-10-14,28
2016-10-15,29
2016-10-16,14
2016-10-17,25
2016-10-18,21
2016-10-19,22
2016-10-20,18
2016-10-21,27
2016-10-22,41
2016-10-23,30
2016-10-24,15
2016-10-25,20
2016-10-26,21
2016-10-27,15
2016-10-28,27
2016-10-29,39
2016-10-30,17
2016-10-31,16
2016-11-02,29
2016-11-03,22
2016-11-04,29
2016-11-05,29
2016-11-06,16
2016-11-07,8
2016-11-08,7
2016-11-09,23
2016-11-10,9
2016-11-11,30
2016-11-12,18
2016-11-13,25
2016-11-14,16
2016-11-15,13
2016-11-16,18
2016-11-17,9
2016-11-18,32
2016-11-19,40
2016-11-20,11
2016-11-21,7
2016-11-22,26
2016-11-23,16
2016-11-24,12
2016-11-25,33
2016-11-26,28
2016-11-27,12
2016-11-28,13
2016-11-29,7
2016-11-30,12
2016-12-01,15
2016-12-02,31
2016-12-03,36
2016-12-04,20
2016-12-05,5
2016-12-06,10
2016-12-07,21
2016-12-08,21
2016-12-09,36
2016-12-10,30
2016-12-11,19
2016-12-12,10
2016-12-13,10
2016-12-14,18
2016-12-15,7
2016-12-16,40
2016-12-17,32
2016-12-18,12
2016-12-19,15
2016-12-20,25
2016-12-21,19
2016-12-22,34
2016-12-23,15
2016-12-24,34
2016-12-25,16
2016-12-26,27
2016-12-27,28
2016-12-28,51
2016-12-29,43
2016-12-30,39
2016-12-31,9
2017-01-03,20
2017-01-04,28
2017-01-05,20
2017-01-06,37
2017-01-07,25
2017-01-08,21
2017-01-09,14
2017-01-10,7
2017-01-11,5
2017-01-12,17
2017-01-13,35
2017-01-14,35
2017-01-15,16
2017-01-16,14
2017-01-17,24
2017-01-18,13
2017-01-19,2
