date,visitors
2016-07-01,73
2016-07-02,37
2016-07-04,19
2016-07-05,99
2016-07-06,53
2016-07-07,47
2016-07-08,58
2016-07-09,42
2016-07-10,7
2016-07-11,29
2016-07-12,25
2016-07-13,62
2016-07-14,28
2016-07-15,70
2016-07-16,36
2016-07-17,63
2016-07-18,4
2016-07-19,64
2016-07-20,79
2016-07-21,52
2016-07-22,79
2016-07-23,33
2016-07-24,19
2016-07-25,46
2016-07-27,55
2016-07-28,32
2016-07-29,56
2016-07-30,27
2016-07-31,5
2016-08-01,29
2016-08-02,52
2016-08-03,57
2016-08-04,56
2016-08-05,59
2016-08-06,24
2016-08-08,70
2016-08-09,44
2016-08-10,52
2016-08-11,19
2016-08-12,53
2016-08-13,40
2016-08-14,32
2016-08-16,32
2016-08-17,50
2016-08-18,26
2016-08-19,42
2016-08-20,35
2016-08-22,44
2016-08-23,35
2016-08-24,46
2016-08-25,43
2016-08-26,78
2016-08-27,38
2016-08-28,16
2016-08-29,54
2016-08-30,33
2016-08-31,28
2016-09-01,30
2016-09-02,61
2016-09-03,28
2016-09-04,8
2016-09-05,27
2016-09-06,44
2016-09-07,33
2016-09-08,37
2016-09-09,48
2016-09-10,50
2016-09-11,7
2016-09-12,25
2016-09-13,50
2016-09-14,54
2016-09-15,35
2016-09-16,90
2016-09-17,33
2016-09-18,56
2016-09-19,5
2016-09-20,41
2016-09-21,41
2016-09-22,27
2016-09-23,45
2016-09-24,35
2016-09-25,6
2016-09-26,21
2016-09-27,81
2016-09-28,38
2016-09-29,35
2016-09-30,47
2016-10-01,34
2016-10-02,12
2016-10-03,24
2016-10-04,29
2016-10-05,37
2016-10-07,77
2016-10-08,33
2016-10-09,36
2016-10-10,39
2016-10-11,47
2016-10-12,3
2016-10-13,3
2016-10-14,46
2016-10-15,36
2016-10-16,19
2016-10-17,27
2016-10-18,46
2016-10-19,20
2016-10-20,4
2016-10-21,38
2016-10-22,36
2016-10-23,28
2016-10-24,31
2016-10-25,27
2016-10-26,26
2016-10-28,40
2016-10-29,14
2016-10-30,25
2016-10-31,27
2016-11-01,45
2016-11-02,48
2016-11-03,1
2016-11-04,42
2016-11-05,78
2016-11-06,18
2016-11-07,37
2016-11-08,12
2016-11-09,8
2016-11-11,30
2016-11-12,63
2016-11-13,25
2016-11-14,36
2016-11-15,24
2016-11-16,7
2016-11-17,5
2016-11-18,65
2016-11-19,65
2016-11-20,28
2016-11-21,38
2016-11-22,60
2016-11-23,8
2016-11-25,42
2016-11-26,64
2016-11-27,15
2016-11-28,14
2016-11-29,43
2016-11-30,12
2016-12-01,3
2016-12-02,62
2016-12-03,43
2016-12-04,16
2016-12-05,44
2016-12-06,36
2016-12-07,49
2016-12-08,46
2016-12-09,68
2016-12-10,65
2016-12-11,12
2016-12-12,65
2016-12-13,27
2016-12-14,64
2016-12-15,34
2016-12-16,58
2016-12-17,61
2016-12-18,22
2016-12-19,18
2016-12-20,46
2016-12-21,57
2016-12-22,70
2016-12-23,44
2016-12-24,43
2016-12-25,54
2016-12-26,39
2016-12-27,65
2016-12-28,42
2016-12-29,29
2016-12-30,22
2017-01-04,4
2017-01-05,37
2017-01-06,31
2017-01-07,44
2017-01-08,19
2017-01-09,2
2017-01-10,31
2017-01-11,31
2017-01-12,14
2017-01-13,31
2017-01-14,29
2017-01-16,25
2017-01-17,19
2017-01-18,36
2017-01-19,19
2017-01-20,46
2017-01-21,28
2017-01-23,22
2017-01-24,41
2017-01-25,22
2017-01-26,32
2017-01-27,38
2017-01-28,29
2017-01-30,70
2017-01-31,23
2017-02-01,12
2017-02-02,24
2017-02-03,35
2017-02-04,41
2017-02-05,5
2017-02-06,35
2017-02-08,28
2017-02-09,44
2017-02-10,53
2017-02-11,18
2017-02-12,51
2017-02-13,15
2017-02-14,13
2017-02-15,24
2017-02-16,15
2017-02-17,51
2017-02-18,22
2017-02-19,2
2017-02-20,16
2017-02-21,45
2017-02-22,17
2017-02-23,20
2017-02-24,40
