date,visitors
2016-07-01,38
2016-07-03,37
2016-07-04,24
2016-07-05,38
2016-07-06,40
2016-07-07,30
2016-07-08,44
2016-07-10,39
2016-07-11,41
2016-07-12,32
2016-07-13,40
2016-07-14,31
2016-07-15,39
2016-07-18,44
2016-07-19,40
2016-07-20,43
2016-07-21,24
2016-07-22,35
2016-07-24,44
2016-07-25,43
2016-07-26,31
2016-07-27,31
2016-07-28,38
2016-07-29,48
2016-07-31,31
2016-08-01,38
2016-08-02,33
2016-08-03,40
2016-08-04,41
2016-08-05,51
2016-08-07,40
2016-08-08,30
2016-08-09,36
2016-08-10,38
2016-08-11,30
2016-08-12,43
2016-08-14,18
2016-08-15,34
2016-08-16,26
2016-08-17,46
2016-08-18,26
2016-08-19,47
2016-08-21,34
2016-08-23,39
2016-08-24,37
2016-08-25,41
2016-08-26,31
2016-08-28,36
2016-08-29,32
2016-08-30,24
2016-08-31,47
2016-09-01,38
2016-09-02,34
2016-09-04,30
2016-09-05,35
2016-09-06,20
2016-09-07,42
2016-09-08,19
2016-09-09,41
2016-09-11,34
2016-09-12,33
2016-09-13,35
2016-09-14,33
2016-09-15,21
2016-09-16,29
2016-09-19,38
2016-09-20,18
2016-09-21,36
2016-09-22,23
2016-09-23,26
2016-09-25,45
2016-09-26,50
2016-09-27,33
2016-09-28,39
2016-09-29,33
2016-09-30,37
2016-10-02,31
2016-10-03,27
2016-10-04,38
2016-10-05,34
2016-10-06,49
2016-10-07,58
2016-10-10,40
2016-10-11,22
2016-10-12,37
2016-10-13,24
2016-10-14,51
2016-10-16,41
2016-10-17,36
2016-10-18,31
2016-10-19,33
2016-10-20,44
2016-10-21,45
2016-10-23,48
2016-10-24,30
2016-10-25,33
2016-10-26,45
2016-10-27,49
2016-10-28,27
2016-10-30,29
2016-10-31,38
2016-11-01,33
2016-11-02,30
2016-11-03,28
2016-11-04,33
2016-11-06,32
2016-11-07,28
2016-11-08,25
2016-11-09,30
2016-11-10,29
2016-11-11,24
2016-11-13,42
2016-11-14,21
2016-11-15,35
2016-11-16,38
2016-11-17,32
2016-11-18,43
2016-11-20,49
2016-11-21,35
2016-11-22,37
2016-11-23,38
2016-11-24,22
2016-11-25,37
2016-11-27,37
2016-11-28,22
2016-11-29,30
2016-11-30,39
2016-12-01,41
2016-12-02,35
2016-12-04,45
2016-12-05,28
2016-12-06,31
2016-12-07,26
2016-12-08,37
2016-12-09,38
2016-12-11,43
2016-12-12,46
2016-12-13,46
2016-12-14,28
2016-12-15,26
2016-12-16,36
2016-12-18,44
2016-12-19,43
2016-12-20,35
2016-12-21,35
2016-12-22,59
2016-12-23,36
2016-12-24,74
2016-12-25,40
2016-12-26,44
2016-12-27,37
2016-12-28,47
2017-01-05,36
2017-01-06,56
2017-01-09,44
2017-01-10,34
2017-01-11,36
2017-01-12,39
2017-01-13,45
2017-01-15,32
2017-01-16,46
2017-01-17,36
2017-01-18,26
2017-01-19,36
2017-01-20,27
2017-01-22,39
2017-01-23,22
2017-01-24,28
2017-01-25,42
2017-01-26,31
2017-01-27,39
2017-01-29,25
2017-01-30,46
2017-01-31,29
2017-02-01,37
2017-02-02,31
2017-02-03,26
2017-02-05,39
2017-02-06,27
2017-02-07,32
2017-02-08,29
2017-02-09,20
2017-02-10,30
2017-02-12,44
2017-02-13,28
2017-02-14,30
2017-02-15,44
2017-02-16,33
2017-02-17,42
2017-02-19,49
2017-02-20,39
2017-02-21,25
2017-02-22,38
