date,visitors
2016-07-01,53
2016-07-04,60
2016-07-05,61
2016-07-06,61
2016-07-07,70
2016-07-08,73
2016-07-11,59
2016-07-12,59
2016-07-13,49
2016-07-14,64
2016-07-15,60
2016-07-19,51
2016-07-20,75
2016-07-21,53
2016-07-22,55
2016-07-25,58
2016-07-26,62
2016-07-27,62
2016-07-28,62
2016-07-29,60
2016-08-01,64
2016-08-02,45
2016-08-03,55
2016-08-04,70
2016-08-05,61
2016-08-08,55
2016-08-09,53
2016-08-10,65
2016-08-12,29
2016-08-15,48
2016-08-16,24
2016-08-17,48
2016-08-18,57
2016-08-19,42
2016-08-22,27
2016-08-23,64
2016-08-24,65
2016-08-25,55
2016-08-26,62
2016-08-29,62
2016-08-30,44
2016-08-31,72
2016-09-01,63
2016-09-02,60
2016-09-05,51
2016-09-06,57
2016-09-07,53
2016-09-08,53
2016-09-09,49
2016-09-12,64
2016-09-13,62
2016-09-14,60
2016-09-15,65
2016-09-16,76
2016-09-20,24
2016-09-21,84
2016-09-23,66
2016-09-26,47
2016-09-27,61
2016-09-28,66
2016-09-29,51
2016-09-30,51
2016-10-03,57
2016-10-04,72
2016-10-05,56
2016-10-06,26
2016-10-07,59
2016-10-11,45
2016-10-12,44
2016-10-13,52
2016-10-14,60
2016-10-15,18
2016-10-17,60
2016-10-18,53
2016-10-19,56
2016-10-20,59
2016-10-21,55
2016-10-22,3
2016-10-24,50
2016-10-25,61
2016-10-26,60
2016-10-27,61
2016-10-28,62
2016-10-29,20
2016-10-31,53
2016-11-01,49
2016-11-02,57
2016-11-04,42
2016-11-05,18
2016-11-07,83
2016-11-08,55
2016-11-09,69
2016-11-10,41
2016-11-11,63
2016-11-12,18
2016-11-14,54
2016-11-15,29
2016-11-16,53
2016-11-17,70
2016-11-18,63
2016-11-19,24
2016-11-21,43
2016-11-22,82
2016-11-24,43
2016-11-25,56
2016-11-26,18
2016-11-28,55
2016-11-29,68
2016-11-30,54
2016-12-01,69
2016-12-02,63
2016-12-03,15
2016-12-05,51
2016-12-06,52
2016-12-07,53
2016-12-08,40
2016-12-09,59
2016-12-10,25
2016-12-12,52
2016-12-13,59
2016-12-14,55
2016-12-15,56
2016-12-16,72
2016-12-17,24
2016-12-19,54
2016-12-20,55
2016-12-21,78
2016-12-22,70
2016-12-24,13
2016-12-26,66
2016-12-27,31
2016-12-28,50
2016-12-29,41
2017-01-04,33
2017-01-05,52
2017-01-06,60
2017-01-07,24
2017-01-10,60
2017-01-11,49
2017-01-12,64
2017-01-13,64
2017-01-14,27
2017-01-15,2
2017-01-16,63
2017-01-17,60
2017-01-18,57
2017-01-19,77
2017-01-20,66
2017-01-21,37
2017-01-23,22
2017-01-24,51
2017-01-25,63
2017-01-26,29
2017-01-27,45
2017-01-28,15
2017-01-30,50
2017-01-31,65
2017-02-01,51
2017-02-02,66
2017-02-03,62
2017-02-04,8
2017-02-06,59
2017-02-07,63
2017-02-08,44
2017-02-09,58
2017-02-10,67
2017-02-13,60
2017-02-14,55
2017-02-15,61
2017-02-16,68
2017-02-17,83
2017-02-18,23
2017-02-19,13
2017-02-20,45
2017-02-21,57
2017-02-22,71
2017-02-23,85
2017-02-24,58
2017-02-25,17
2017-02-26,13
2017-02-27,70
2017-02-28,74
