date,visitors
2016-01-12,16
2016-01-13,10
2016-01-14,10
2016-01-15,15
2016-01-16,28
2016-01-19,16
2016-01-20,10
2016-01-21,16
2016-01-22,12
2016-01-23,24
2016-01-26,23
2016-01-27,13
2016-01-28,17
2016-01-29,15
2016-01-30,14
2016-02-02,20
2016-02-03,14
2016-02-04,18
2016-02-05,11
2016-02-06,23
2016-02-09,12
2016-02-10,19
2016-02-11,21
2016-02-12,10
2016-02-13,20
2016-02-16,10
2016-02-17,18
2016-02-18,10
2016-02-19,18
2016-02-20,13
2016-02-23,17
2016-02-24,16
2016-02-25,18
2016-02-26,17
2016-02-27,19
2016-03-01,11
2016-03-02,20
2016-03-03,16
2016-03-04,16
2016-03-05,12
2016-03-08,14
2016-03-09,7
2016-03-10,17
2016-03-11,15
2016-03-12,10
2016-03-15,16
2016-03-16,22
2016-03-17,14
2016-03-18,19
2016-03-19,23
2016-03-22,18
2016-03-23,17
2016-03-24,17
2016-03-25,12
2016-03-26,27
2016-03-29,22
2016-03-30,14
2016-03-31,12
2016-04-01,12
2016-04-02,19
2016-04-05,17
2016-04-06,15
2016-04-07,15
2016-04-08,17
2016-04-12,15
2016-04-13,15
2016-04-14,24
2016-04-15,51
2016-04-16,47
2016-04-19,20
2016-04-20,19
2016-04-21,14
2016-04-22,18
2016-04-23,30
2016-04-26,23
2016-04-27,15
2016-04-28,16
2016-04-29,19
2016-04-30,17
2016-05-06,9
2016-05-07,23
2016-05-10,11
2016-05-11,15
2016-05-12,21
2016-05-13,15
2016-05-14,24
2016-05-17,16
2016-05-18,17
2016-05-19,20
2016-05-20,16
2016-05-21,27
2016-05-24,24
2016-05-25,18
2016-05-26,15
2016-05-27,13
2016-05-28,27
2016-05-31,17
2016-06-01,16
2016-06-02,14
2016-06-03,18
2016-06-04,24
2016-06-07,5
2016-06-08,13
2016-06-09,18
2016-06-10,26
2016-06-11,33
2016-06-14,23
2016-06-15,20
2016-06-16,24
2016-06-17,22
2016-06-18,17
2016-06-21,13
2016-06-22,14
2016-06-23,12
2016-06-24,16
2016-06-28,28
2016-06-29,18
2016-06-30,15
2016-07-01,21
2016-07-02,14
2016-07-05,21
2016-07-06,18
2016-07-07,8
2016-07-08,2
2016-07-09,22
2016-07-12,18
2016-07-13,7
2016-07-14,19
2016-07-15,9
2016-07-16,20
2016-07-19,18
2016-07-20,12
2016-07-21,15
2016-07-22,21
2016-07-26,17
2016-07-27,13
2016-07-28,9
2016-07-29,11
2016-07-30,10
2016-08-02,5
2016-08-03,18
2016-08-04,11
2016-08-05,7
2016-08-06,12
2016-08-07,1
2016-08-09,17
2016-08-10,6
2016-08-11,20
2016-08-12,8
2016-08-13,21
2016-08-31,15
2016-09-01,15
2016-09-02,7
2016-09-03,23
2016-09-07,13
2016-09-08,14
2016-09-09,10
2016-09-10,21
2016-09-12,1
2016-09-14,14
2016-09-15,16
2016-09-16,10
2016-09-17,24
2016-09-21,17
2016-09-22,13
2016-09-23,14
2016-09-24,17
2016-09-26,2
2016-09-27,4
2016-09-28,14
2016-09-29,18
2016-09-30,22
2016-10-01,20
2016-10-04,1
2016-10-05,11
2016-10-06,16
2016-10-07,10
2016-10-08,18
2016-10-12,10
2016-10-13,11
2016-10-14,27
2016-10-15,30
2016-10-19,17
2016-10-20,18
2016-10-21,9
2016-10-22,13
2016-10-26,15
2016-10-27,17
2016-10-28,11
2016-10-29,20
2016-11-02,21
2016-11-03,23
2016-11-04,10
2016-11-09,11
2016-11-10,12
2016-11-11,14
2016-11-12,19
2016-11-16,14
2016-11-17,13
2016-11-18,6
2016-11-19,3
2016-11-23,16
2016-11-24,3
2016-11-25,13
2016-11-26,16
2016-11-30,19
2016-12-01,18
2016-12-02,20
2016-12-03,22
2016-12-07,13
2016-12-08,18
2016-12-09,19
2016-12-10,18
2016-12-14,19
2016-12-15,23
2016-12-16,18
2016-12-17,21
2017-01-07,29
2017-01-08,1
2017-01-11,14
2017-01-12,14
2017-01-13,12
2017-01-14,16
2017-01-18,22
