date,visitors
2016-01-01,4
2016-01-02,15
2016-01-03,29
2016-01-07,30
2016-01-08,2
2016-01-09,18
2016-01-10,14
2016-01-11,32
2016-01-12,3
2016-01-13,5
2016-01-14,14
2016-01-15,21
2016-01-16,26
2016-01-17,16
2016-01-18,4
2016-01-19,10
2016-01-20,4
2016-01-21,9
2016-01-22,8
2016-01-23,48
2016-01-24,25
2016-01-25,4
2016-01-26,3
2016-01-27,15
2016-01-28,4
2016-01-29,31
2016-01-30,26
2016-01-31,40
2016-02-01,8
2016-02-02,2
2016-02-03,4
2016-02-04,8
2016-02-05,7
2016-02-06,22
2016-02-07,32
2016-02-08,11
2016-02-09,7
2016-02-10,13
2016-02-11,20
2016-02-12,5
2016-02-13,32
2016-02-14,23
2016-02-15,4
2016-02-16,16
2016-02-17,12
2016-02-18,14
2016-02-19,16
2016-02-20,34
2016-02-21,22
2016-02-22,8
2016-02-23,4
2016-02-24,11
2016-02-25,10
2016-02-26,21
2016-02-27,38
2016-02-28,17
2016-02-29,4
2016-03-01,7
2016-03-02,9
2016-03-03,2
2016-03-04,20
2016-03-05,25
2016-03-06,28
2016-03-07,7
2016-03-08,8
2016-03-09,19
2016-03-10,4
2016-03-11,19
2016-03-12,26
2016-03-13,16
2016-03-14,3
2016-03-15,12
2016-03-16,10
2016-03-17,20
2016-03-18,26
2016-03-19,39
2016-03-20,49
2016-03-21,29
2016-03-22,17
2016-03-23,8
2016-03-24,18
2016-03-25,9
2016-03-26,38
2016-03-27,42
2016-03-28,3
2016-03-29,10
2016-03-30,4
2016-03-31,11
2016-04-01,7
2016-04-02,24
2016-04-03,23
2016-04-04,15
2016-04-05,8
2016-04-06,10
2016-04-07,3
2016-04-08,11
2016-04-09,20
2016-04-10,66
2016-04-11,4
2016-04-12,12
2016-04-13,12
2016-04-14,10
2016-04-15,31
2016-04-16,84
2016-04-17,54
2016-04-18,11
2016-04-19,31
2016-04-20,22
2016-04-21,20
2016-04-22,30
2016-04-23,84
2016-04-24,89
2016-04-25,9
2016-04-26,15
2016-04-27,17
2016-04-28,9
2016-04-29,38
2016-04-30,36
2016-05-01,25
2016-05-02,8
2016-05-03,52
2016-05-04,27
2016-05-05,27
2016-05-06,12
2016-05-07,32
2016-05-08,28
2016-05-09,1
2016-05-10,9
2016-05-11,12
2016-05-12,10
2016-05-13,28
2016-05-14,19
2016-05-15,19
2016-05-16,2
2016-05-17,19
2016-05-18,19
2016-05-19,10
2016-05-20,17
2016-05-21,45
2016-05-22,28
2016-05-23,20
2016-05-24,17
2016-05-25,9
2016-05-26,14
2016-05-27,19
2016-05-28,43
2016-05-29,40
2016-05-30,10
2016-05-31,11
2016-06-01,16
2016-06-02,7
2016-06-03,16
2016-06-04,43
2016-06-05,36
2016-06-06,2
2016-06-07,6
2016-06-08,12
2016-06-09,14
2016-06-10,21
2016-06-11,53
2016-06-12,21
2016-06-13,3
2016-06-14,6
2016-06-15,5
2016-06-16,10
2016-06-17,13
2016-06-18,39
2016-06-19,24
2016-06-20,9
2016-06-21,9
2016-06-22,3
2016-06-23,10
2016-06-24,24
2016-06-25,40
2016-06-26,35
2016-06-27,4
2016-06-28,14
2016-06-29,18
2016-06-30,8
2016-07-01,35
2016-07-02,31
2016-07-03,20
2016-07-04,2
2016-07-05,12
2016-07-06,4
2016-07-07,12
2016-07-08,16
2016-07-09,30
2016-07-10,27
2016-07-11,10
2016-07-12,10
2016-07-13,4
2016-07-14,11
2016-07-15,11
2016-07-16,34
2016-07-17,43
2016-07-18,13
2016-07-20,8
2016-07-21,8
2016-07-22,12
2016-07-23,25
2016-07-24,20
2016-07-26,4
2016-07-27,18
2016-07-28,12
2016-07-29,25
2016-07-30,18
2016-07-31,21
2016-08-02,12
2016-08-03,4
2016-08-04,5
2016-08-05,28
2016-08-06,18
2016-08-07,13
2016-08-09,9
2016-08-10,17
2016-08-11,38
2016-08-12,17
2016-08-13,119
2016-08-14,36
2016-08-15,25
2016-08-16,23
2016-08-17,37
2016-08-18,9
2016-08-19,29
2016-08-20,50
2016-08-21,38
2016-08-23,3
2016-08-24,15
2016-08-25,14
2016-08-26,22
2016-08-27,25
2016-08-28,11
2016-08-30,5
2016-08-31,6
2016-09-01,11
2016-09-02,15
2016-09-03,34
2016-09-04,27
2016-09-06,4
2016-09-07,5
2016-09-08,10
2016-09-09,30
2016-09-10,23
2016-09-11,11
2016-09-13,9
2016-09-14,11
2016-09-15,8
2016-09-16,10
2016-09-17,39
2016-09-18,17
2016-09-19,16
2016-09-21,6
2016-09-22,17
2016-09-23,30
2016-09-24,20
2016-09-25,13
2016-09-27,2
2016-09-28,13
2016-09-29,5
