date,visitors
2016-01-01,42
2016-01-02,41
2016-01-03,16
2016-01-06,7
2016-01-07,21
2016-01-08,22
2016-01-09,41
2016-01-10,48
2016-01-11,43
2016-01-12,39
2016-01-13,24
2016-01-14,27
2016-01-15,29
2016-01-16,44
2016-01-17,24
2016-01-18,30
2016-01-19,19
2016-01-20,11
2016-01-21,40
2016-01-22,33
2016-01-23,40
2016-01-24,21
2016-01-25,26
2016-01-26,23
2016-01-27,23
2016-01-28,24
2016-01-29,21
2016-01-30,42
2016-01-31,32
2016-02-01,33
2016-02-02,53
2016-02-03,33
2016-02-04,23
2016-02-05,36
2016-02-06,25
2016-02-07,41
2016-02-08,29
2016-02-09,14
2016-02-10,30
2016-02-11,33
2016-02-12,28
2016-02-13,29
2016-02-14,32
2016-02-15,30
2016-02-16,11
2016-02-17,24
2016-02-18,26
2016-02-19,31
2016-02-20,25
2016-02-21,27
2016-02-22,32
2016-02-23,19
2016-02-24,17
2016-02-25,31
2016-02-26,31
2016-02-27,44
2016-02-28,30
2016-02-29,14
2016-03-01,25
2016-03-02,23
2016-03-03,30
2016-03-04,16
2016-03-05,47
2016-03-06,26
2016-03-07,28
2016-03-08,30
2016-03-09,17
2016-03-10,33
2016-03-11,42
2016-03-12,33
2016-03-13,35
2016-03-14,28
2016-03-15,23
2016-03-16,33
2016-03-17,27
2016-03-18,22
2016-03-19,46
2016-03-20,62
2016-03-21,34
2016-03-22,18
2016-03-23,6
2016-03-24,21
2016-03-25,33
2016-03-26,44
2016-03-27,44
2016-03-28,36
2016-03-29,42
2016-03-30,25
2016-03-31,22
2016-04-01,24
2016-04-02,33
2016-04-03,40
2016-04-04,13
2016-04-05,17
2016-04-06,31
2016-04-07,12
2016-04-08,29
2016-04-09,33
2016-04-10,31
2016-04-11,33
2016-04-12,34
2016-04-13,23
2016-04-14,25
2016-04-15,27
2016-04-16,32
2016-04-17,34
2016-04-18,29
2016-04-19,17
2016-04-20,23
2016-04-21,24
2016-04-22,39
2016-04-23,47
2016-04-24,7
2016-04-25,39
2016-04-26,25
2016-04-27,29
2016-04-28,28
2016-04-29,46
2016-04-30,40
2016-05-01,43
2016-05-02,56
2016-05-03,51
2016-05-04,50
2016-05-05,42
2016-05-06,31
2016-05-07,56
2016-05-08,35
2016-05-09,22
2016-05-10,35
2016-05-11,23
2016-05-12,23
2016-05-13,32
2016-05-14,42
2016-05-15,27
2016-05-16,13
2016-05-17,39
2016-05-18,35
2016-05-20,32
2016-05-21,60
2016-05-22,34
2016-05-23,42
2016-05-24,25
2016-05-25,20
2016-05-26,33
2016-05-27,36
2016-05-28,49
2016-05-29,25
2016-05-30,38
2016-05-31,27
2016-06-01,21
2016-06-02,37
2016-06-03,31
2016-06-04,48
2016-06-05,28
2016-06-06,28
2016-06-07,36
2016-06-08,19
2016-06-09,14
2016-06-10,36
2016-06-11,45
2016-06-12,19
2016-06-13,38
2016-06-14,27
2016-06-15,21
2016-06-16,29
2016-06-17,33
2016-06-18,39
2016-06-19,22
2016-06-20,29
2016-06-21,18
2016-06-22,25
2016-06-23,16
2016-06-24,43
2016-06-25,44
2016-06-26,31
2016-06-27,36
2016-06-28,21
2016-06-29,24
2016-06-30,35
2016-07-01,36
2016-07-02,50
2016-07-03,24
2016-07-04,30
2016-07-05,36
2016-07-06,30
2016-07-07,34
2016-07-08,29
2016-07-09,61
2016-07-10,26
2016-07-11,46
2016-07-12,33
2016-07-13,18
2016-07-14,16
2016-07-15,35
2016-07-16,55
2016-07-17,49
2016-07-18,41
2016-07-19,43
2016-07-20,26
2016-07-21,30
2016-07-22,44
2016-07-23,28
2016-07-24,28
2016-07-25,25
2016-07-26,25
2016-07-27,30
2016-07-28,30
2016-07-29,39
2016-07-30,42
