date,visitors
2016-01-04,11
2016-01-05,15
2016-01-06,5
2016-01-07,3
2016-01-08,18
2016-01-09,13
2016-01-10,15
2016-01-11,8
2016-01-12,18
2016-01-13,3
2016-01-14,7
2016-01-15,17
2016-01-16,18
2016-01-17,2
2016-01-18,4
2016-01-19,14
2016-01-20,13
2016-01-21,15
2016-01-22,17
2016-01-23,13
2016-01-25,2
2016-01-26,10
2016-01-27,11
2016-01-28,3
2016-01-29,25
2016-01-30,35
2016-01-31,7
2016-02-01,4
2016-02-02,9
2016-02-03,10
2016-02-04,21
2016-02-05,17
2016-02-06,26
2016-02-07,4
2016-02-08,8
2016-02-09,13
2016-02-10,8
2016-02-11,13
2016-02-12,8
2016-02-13,22
2016-02-14,3
2016-02-15,8
2016-02-16,15
2016-02-17,10
2016-02-18,23
2016-02-19,18
2016-02-20,38
2016-02-21,2
2016-02-22,12
2016-02-23,9
2016-02-24,15
2016-02-25,8
2016-02-26,8
2016-02-27,14
2016-02-28,2
2016-02-29,15
2016-03-01,7
2016-03-02,15
2016-03-03,11
2016-03-04,9
2016-03-05,15
2016-03-06,5
2016-03-07,5
2016-03-08,8
2016-03-09,2
2016-03-10,26
2016-03-11,21
2016-03-12,24
2016-03-13,2
2016-03-14,1
2016-03-15,9
2016-03-16,3
2016-03-17,16
2016-03-18,9
2016-03-19,18
2016-03-20,2
2016-03-21,10
2016-03-22,14
2016-03-23,13
2016-03-24,25
2016-03-25,17
2016-03-26,25
2016-03-27,13
2016-03-28,12
2016-03-29,8
2016-03-30,16
2016-03-31,6
2016-04-01,16
2016-04-02,16
2016-04-03,10
2016-04-04,12
2016-04-05,6
2016-04-06,17
2016-04-07,16
2016-04-08,34
2016-04-09,30
2016-04-10,16
2016-04-11,7
2016-04-12,2
2016-04-13,10
2016-04-14,5
2016-04-15,29
2016-04-16,25
2016-04-17,3
2016-04-18,6
2016-04-19,16
2016-04-20,7
2016-04-21,28
2016-04-22,13
2016-04-23,10
2016-04-24,2
2016-04-25,4
2016-04-26,10
2016-04-27,20
2016-04-28,16
2016-04-29,14
2016-04-30,11
2016-05-01,9
2016-05-02,5
2016-05-03,10
2016-05-04,13
2016-05-05,15
2016-05-06,23
2016-05-07,7
2016-05-08,5
2016-05-09,3
2016-05-10,5
2016-05-11,11
2016-05-12,14
2016-05-13,20
2016-05-14,28
2016-05-15,19
2016-05-16,12
2016-05-17,13
2016-05-18,19
2016-05-19,9
2016-05-20,19
2016-05-21,23
2016-05-22,2
2016-05-23,9
2016-05-24,7
2016-05-25,18
2016-05-26,16
2016-05-27,5
2016-05-28,18
2016-05-30,6
2016-05-31,8
2016-06-01,13
2016-06-02,4
2016-06-03,24
2016-06-04,25
2016-06-05,3
2016-06-06,8
2016-06-07,2
2016-06-08,16
2016-06-09,12
2016-06-10,18
2016-06-11,14
2016-06-12,8
2016-06-13,7
2016-06-14,16
2016-06-15,12
2016-06-16,13
2016-06-17,10
2016-06-18,21
2016-06-19,10
2016-06-20,6
2016-06-21,15
2016-06-22,12
2016-06-23,21
2016-06-24,20
2016-06-25,20
2016-06-26,5
2016-06-27,4
2016-06-28,7
2016-06-29,19
2016-06-30,3
2016-07-01,13
2016-07-02,12
2016-07-03,8
2016-07-04,5
2016-07-05,12
2016-07-06,7
2016-07-07,6
2016-07-08,20
2016-07-09,17
2016-07-10,7
2016-07-11,7
2016-07-12,11
2016-07-13,3
2016-07-14,12
2016-07-15,18
2016-07-16,12
2016-07-17,6
2016-07-18,6
2016-07-19,2
2016-07-20,24
2016-07-21,8
2016-07-22,13
2016-07-23,22
2016-07-24,6
2016-07-25,3
2016-07-26,17
2016-07-27,5
2016-07-28,9
2016-07-29,17
2016-07-30,9
2016-07-31,9
2016-08-01,4
2016-08-02,4
2016-08-03,17
2016-08-04,9
2016-08-05,29
2016-08-06,22
2016-08-07,11
2016-08-08,2
2016-08-09,20
2016-08-10,10
2016-08-11,29
2016-08-12,3
2016-08-13,20
2016-08-14,14
2016-08-15,3
2016-08-16,3
2016-08-17,5
2016-08-18,16
2016-08-19,14
2016-08-20,13
2016-08-21,2
2016-08-22,12
2016-08-23,21
2016-08-24,3
2016-08-25,13
2016-08-26,27
2016-08-27,15
2016-08-28,6
2016-08-29,8
2016-08-30,14
2016-08-31,8
2016-09-01,17
2016-09-02,9
2016-09-03,21
2016-09-04,3
2016-09-05,6
2016-09-06,6
2016-09-07,12
2016-09-08,12
2016-09-09,19
2016-09-10,27
2016-09-11,4
2016-09-12,5
2016-09-13,16
2016-09-14,6
2016-09-15,19
2016-09-16,21
2016-09-17,8
2016-09-18,5
2016-09-19,5
2016-09-20,9
2016-09-21,11
2016-09-22,31
2016-09-23,10
2016-09-24,19
2016-09-26,13
2016-09-27,17
2016-09-28,10
2016-09-29,14
2016-09-30,8
2016-10-01,27
2016-10-02,2
2016-10-03,6
2016-10-04,14
2016-10-05,13
2016-10-06,12
2016-10-07,14
2016-10-08,16
2016-10-09,4
2016-10-10,17
2016-10-11,14
2016-10-12,11
2016-10-13,13
2016-10-14,13
2016-10-15,4
2016-10-16,10
2016-10-17,3
2016-10-18,10
2016-10-19,17
2016-10-20,11
2016-10-21,23
2016-10-22,12
2016-10-23,1
2016-10-24,7
2016-10-25,15
2016-10-26,4
2016-10-27,4
2016-10-28,15
2016-10-29,34
2016-10-30,13
2016-10-31,2
2016-11-01,6
2016-11-02,12
2016-11-03,6
2016-11-04,13
2016-11-05,20
2016-11-07,13
2016-11-08,21
2016-11-09,5
2016-11-10,8
2016-11-11,29
2016-11-12,22
2016-11-14,3
2016-11-15,17
2016-11-16,18
2016-11-17,12
2016-11-18,12
2016-11-19,22
2016-11-20,13
2016-11-21,3
2016-11-22,16
2016-11-23,12
2016-11-24,10
2016-11-25,23
2016-11-26,15
2016-11-27,3
2016-11-28,8
2016-11-29,20
2016-11-30,14
2016-12-01,11
2016-12-02,19
2016-12-03,11
2016-12-04,14
2016-12-05,4
2016-12-06,8
2016-12-07,14
2016-12-08,17
2016-12-09,32
