date,visitors
2016-07-01,17
2016-07-02,32
2016-07-03,4
2016-07-04,7
2016-07-05,8
2016-07-06,8
2016-07-07,19
2016-07-08,17
2016-07-09,22
2016-07-10,1
2016-07-11,8
2016-07-12,10
2016-07-13,9
2016-07-14,11
2016-07-15,9
2016-07-16,15
2016-07-17,18
2016-07-18,1
2016-07-19,7
2016-07-20,10
2016-07-21,5
2016-07-22,7
2016-07-23,16
2016-07-24,6
2016-07-25,11
2016-07-26,11
2016-07-27,2
2016-07-28,16
2016-07-29,18
2016-07-30,24
2016-07-31,2
2016-08-01,5
2016-08-02,21
2016-08-03,4
2016-08-04,5
2016-08-05,7
2016-08-06,17
2016-08-08,11
2016-08-09,9
2016-08-10,12
2016-08-11,13
2016-08-12,11
2016-08-13,6
2016-08-15,7
2016-08-16,20
2016-08-17,12
2016-08-18,15
2016-08-19,20
2016-08-20,29
2016-08-24,11
2016-08-25,8
2016-08-26,11
2016-08-27,16
2016-08-28,2
2016-08-29,12
2016-08-30,6
2016-08-31,25
2016-09-01,16
2016-09-02,13
2016-09-03,18
2016-09-04,3
2016-09-05,6
2016-09-06,9
2016-09-07,15
2016-09-08,4
2016-09-09,18
2016-09-10,24
2016-09-12,1
2016-09-13,20
2016-09-14,5
2016-09-15,8
2016-09-16,3
2016-09-17,17
2016-09-18,28
2016-09-20,6
2016-09-21,19
2016-09-22,14
2016-09-23,13
2016-09-24,18
2016-09-25,3
2016-09-26,6
2016-09-27,9
2016-09-28,13
2016-09-29,4
2016-09-30,18
2016-10-01,21
2016-10-02,2
2016-10-03,5
2016-10-04,17
2016-10-05,17
2016-10-06,3
2016-10-07,8
2016-10-08,11
2016-10-10,8
2016-10-11,15
2016-10-12,8
2016-10-13,7
2016-10-14,19
2016-10-15,15
2016-10-16,6
2016-10-18,7
2016-10-19,13
2016-10-20,5
2016-10-21,23
2016-10-22,21
2016-10-24,14
2016-10-25,11
2016-10-26,9
2016-10-27,8
2016-10-28,21
2016-10-29,27
2016-10-31,17
2016-11-01,4
2016-11-02,18
2016-11-03,19
2016-11-04,25
2016-11-05,26
2016-11-06,2
2016-11-07,4
2016-11-08,22
2016-11-09,4
2016-11-10,14
2016-11-11,7
2016-11-12,15
2016-11-14,9
2016-11-15,13
2016-11-16,9
2016-11-17,4
2016-11-18,6
2016-11-19,21
2016-11-20,26
2016-11-22,8
2016-11-23,4
2016-11-24,8
2016-11-25,21
2016-11-26,23
2016-11-29,6
2016-11-30,7
2016-12-01,3
2016-12-02,21
2016-12-03,16
2016-12-04,5
2016-12-05,5
2016-12-06,11
2016-12-07,9
2016-12-08,17
2016-12-09,16
2016-12-10,25
2016-12-12,8
2016-12-13,12
2016-12-14,8
2016-12-15,7
2016-12-16,21
2016-12-17,23
2016-12-19,4
2016-12-20,17
2016-12-21,12
2016-12-22,39
2016-12-23,25
2016-12-24,19
2016-12-25,2
2016-12-26,13
2016-12-27,14
2016-12-28,16
2016-12-29,23
2016-12-30,29
2017-01-04,18
2017-01-05,14
2017-01-06,21
2017-01-07,15
2017-01-08,24
2017-01-10,4
2017-01-11,8
2017-01-12,4
2017-01-13,3
2017-01-14,29
2017-01-16,4
2017-01-17,5
2017-01-18,14
2017-01-19,31
2017-01-20,7
2017-01-21,19
2017-01-22,5
2017-01-23,5
2017-01-24,6
2017-01-25,13
2017-01-26,5
2017-01-27,12
2017-01-28,27
2017-01-29,1
2017-01-30,10
2017-01-31,22
2017-02-01,21
2017-02-02,5
2017-02-03,10
2017-02-04,13
2017-02-05,1
2017-02-06,14
2017-02-07,16
2017-02-08,5
2017-02-09,8
2017-02-10,18
2017-02-11,21
2017-02-12,2
2017-02-14,14
2017-02-15,18
2017-02-16,8
2017-02-17,18
2017-02-18,28
2017-02-20,9
2017-02-21,1
2017-02-22,13
2017-02-23,8
2017-02-24,15
2017-02-25,5
2017-02-26,69
