date,visitors
2016-07-01,7
2016-07-02,1
2016-07-03,10
2016-07-05,10
2016-07-06,17
2016-07-07,15
2016-07-08,5
2016-07-12,8
2016-07-13,9
2016-07-14,9
2016-07-15,6
2016-07-16,15
2016-07-19,2
2016-07-22,5
2016-07-26,1
2016-07-27,10
2016-07-28,15
2016-07-29,12
2016-07-30,29
2016-07-31,25
2016-08-02,7
2016-08-04,4
2016-08-05,5
2016-08-06,20
2016-08-07,27
2016-08-09,3
2016-08-11,11
2016-08-12,16
2016-08-14,22
2016-08-18,12
2016-08-19,20
2016-08-25,13
2016-08-26,10
2016-08-27,23
2016-08-28,25
2016-08-31,1
2016-09-02,7
2016-09-03,31
2016-09-04,17
2016-09-08,1
2016-09-11,25
2016-09-14,18
2016-09-15,16
2016-09-16,16
2016-09-17,17
2016-09-18,17
2016-09-24,12
2016-09-25,3
2016-10-07,15
2016-10-09,12
2016-10-14,9
2016-10-15,93
2016-10-16,101
2016-10-19,14
2016-10-28,7
2016-10-29,5
2016-10-30,25
2016-11-05,16
2016-11-06,21
2016-11-08,11
2016-11-09,22
2016-11-12,23
2016-11-13,25
2016-11-16,21
2016-11-17,10
2016-11-18,10
2016-11-20,15
2016-11-23,39
2016-11-29,16
2016-12-02,17
2016-12-03,105
2016-12-04,96
2016-12-16,3
2016-12-17,14
2016-12-18,17
2016-12-21,7
2016-12-22,12
2016-12-23,9
2016-12-24,9
2016-12-25,16
2016-12-27,18
2016-12-28,20
2016-12-29,14
2016-12-30,8
2016-12-31,20
2017-01-04,11
2017-01-06,14
2017-01-07,15
2017-01-08,2
2017-01-11,6
2017-01-13,10
2017-01-14,13
2017-01-15,16
2017-01-18,8
2017-01-19,12
2017-01-20,5
2017-01-21,10
2017-01-22,12
2017-01-24,21
2017-01-26,13
2017-01-27,5
2017-01-28,6
2017-01-29,10
2017-01-31,19
2017-02-01,6
2017-02-02,25
2017-02-03,11
2017-02-04,24
2017-02-07,11
2017-02-08,5
2017-02-09,7
2017-02-10,13
2017-02-14,8
2017-02-15,8
2017-02-16,9
2017-02-17,19
2017-02-18,24
2017-02-19,16
2017-02-21,13
2017-02-23,12
2017-02-24,13
2017-02-28,12
2017-03-01,5
2017-03-02,8
2017-03-04,21
2017-03-05,13
