date,visitors
2016-07-01,57
2016-07-02,36
2016-07-04,18
2016-07-05,13
2016-07-06,21
2016-07-07,39
2016-07-08,36
2016-07-09,9
2016-07-11,2
2016-07-13,23
2016-07-14,15
2016-07-15,28
2016-07-16,31
2016-07-17,1
2016-07-19,29
2016-07-20,31
2016-07-21,39
2016-07-22,13
2016-07-23,10
2016-07-25,11
2016-07-26,21
2016-07-27,18
2016-07-28,33
2016-07-29,42
2016-07-30,22
2016-07-31,5
2016-08-01,17
2016-08-02,15
2016-08-03,2
2016-08-04,25
2016-08-05,40
2016-08-06,27
2016-08-08,27
2016-08-09,11
2016-08-10,43
2016-08-11,25
2016-08-12,15
2016-08-13,18
2016-08-14,3
2016-08-15,13
2016-08-17,21
2016-08-18,47
2016-08-19,35
2016-08-20,7
2016-08-22,1
2016-08-23,7
2016-08-24,22
2016-08-25,5
2016-08-26,38
2016-08-27,36
2016-08-28,5
2016-08-29,12
2016-08-30,6
2016-08-31,10
2016-09-01,20
2016-09-02,28
2016-09-03,22
2016-09-05,16
2016-09-06,18
2016-09-07,17
2016-09-08,4
2016-09-09,33
2016-09-10,9
2016-09-12,30
2016-09-13,2
2016-09-14,26
2016-09-15,20
2016-09-16,18
2016-09-17,22
2016-09-18,14
2016-09-19,3
2016-09-20,12
2016-09-21,3
2016-09-22,8
2016-09-23,8
2016-09-24,33
2016-09-25,3
2016-09-26,17
2016-09-27,14
2016-09-28,22
2016-09-29,24
2016-09-30,42
2016-10-01,17
2016-10-04,22
2016-10-05,15
2016-10-06,14
2016-10-07,8
2016-10-08,13
2016-10-09,8
2016-10-11,32
2016-10-12,15
2016-10-13,42
2016-10-14,27
2016-10-15,6
2016-10-16,5
2016-10-17,28
2016-10-18,16
2016-10-19,19
2016-10-20,14
2016-10-21,21
2016-10-22,6
2016-10-23,2
2016-10-24,4
2016-10-25,8
2016-10-26,28
2016-10-27,18
2016-10-28,66
2016-10-29,23
2016-10-30,4
2016-10-31,26
2016-11-01,11
2016-11-02,14
2016-11-03,31
2016-11-04,50
2016-11-05,18
2016-11-06,3
2016-11-07,30
2016-11-08,15
2016-11-09,7
2016-11-10,20
2016-11-11,22
2016-11-12,5
2016-11-13,3
2016-11-14,28
2016-11-15,17
2016-11-16,7
2016-11-17,15
2016-11-18,21
2016-11-19,38
2016-11-21,16
2016-11-22,29
2016-11-23,4
2016-11-24,30
2016-11-25,40
2016-11-26,18
2016-11-27,8
2016-11-28,20
2016-11-29,15
2016-11-30,20
2016-12-01,18
2016-12-02,26
2016-12-03,20
2016-12-05,12
2016-12-06,10
2016-12-07,30
2016-12-08,11
2016-12-09,27
2016-12-10,20
2016-12-13,30
2016-12-14,19
2016-12-15,14
2016-12-16,32
2016-12-17,54
2016-12-18,12
2016-12-19,27
2016-12-20,28
2016-12-21,18
2016-12-22,19
2016-12-23,37
2016-12-24,9
2016-12-26,14
2016-12-27,23
2016-12-28,47
2016-12-29,40
2016-12-30,37
2017-01-04,25
2017-01-05,11
2017-01-06,18
2017-01-07,11
2017-01-08,20
2017-01-09,6
2017-01-10,10
2017-01-11,28
2017-01-12,22
2017-01-13,14
2017-01-14,13
2017-01-16,26
2017-01-17,9
2017-01-18,46
2017-01-19,12
2017-01-20,25
2017-01-21,25
2017-01-23,10
2017-01-24,4
2017-01-25,17
2017-01-26,5
2017-01-27,46
2017-01-28,21
2017-01-29,4
2017-01-30,9
2017-01-31,6
2017-02-01,18
2017-02-02,7
2017-02-03,12
2017-02-04,24
2017-02-06,5
2017-02-07,11
2017-02-08,6
2017-02-09,8
2017-02-10,50
2017-02-11,24
2017-02-12,15
2017-02-13,15
2017-02-14,14
2017-02-15,13
2017-02-16,23
2017-02-17,35
2017-02-18,25
2017-02-19,3
2017-02-20,6
2017-02-21,19
2017-02-22,19
2017-02-23,9
