date,visitors
2016-07-01,8
2016-07-03,24
2016-07-04,7
2016-07-05,9
2016-07-06,22
2016-07-07,7
2016-07-09,18
2016-07-10,11
2016-07-11,7
2016-07-13,22
2016-07-14,34
2016-07-15,13
2016-07-16,1
2016-07-17,44
2016-07-18,11
2016-07-19,8
2016-07-20,14
2016-07-21,21
2016-07-22,31
2016-07-23,18
2016-07-25,35
2016-07-27,3
2016-07-28,1
2016-07-30,3
2016-07-31,1
2016-08-01,3
2016-08-02,4
2016-08-03,2
2016-08-05,3
2016-08-06,2
2016-08-08,3
2016-08-09,1
2016-08-10,2
2016-08-11,3
2016-08-14,4
2016-08-16,5
2016-08-18,3
2016-08-19,1
2016-08-21,2
2016-08-23,3
2016-08-24,1
2016-08-27,3
2016-08-28,1
2016-08-29,1
2016-08-30,1
2016-08-31,10
2016-09-01,11
2016-09-02,2
2016-09-03,1
2016-09-05,19
2016-09-06,1
2016-09-07,1
2016-09-08,6
2016-09-09,2
2016-09-10,1
2016-09-11,1
2016-09-12,6
2016-09-13,1
2016-09-14,5
2016-09-15,12
2016-09-16,2
2016-09-17,1
2016-09-18,2
2016-09-19,1
2016-09-20,1
2016-09-23,2
2016-09-24,1
2016-09-26,2
2016-09-27,2
2016-09-28,3
2016-09-29,1
2016-09-30,3
2016-10-01,2
2016-10-03,3
2016-10-04,1
2016-10-05,1
2016-10-06,2
2016-10-07,2
2016-10-08,6
2016-10-09,1
2016-10-10,2
2016-10-11,3
2016-10-12,1
2016-10-13,1
2016-10-14,2
2016-10-15,1
2016-10-16,1
2016-10-17,1
2016-10-19,2
2016-10-20,1
2016-10-21,1
2016-10-22,1
2016-10-23,1
2016-10-24,1
2016-10-25,1
2016-10-26,2
2016-10-28,2
2016-10-29,2
2016-10-30,1
2016-10-31,5
2016-11-01,1
2016-11-02,2
2016-11-03,2
2016-11-05,2
2016-11-06,1
2016-11-07,3
2016-11-09,3
2016-11-10,1
2016-11-12,4
2016-11-13,1
2016-11-15,2
2016-11-16,2
2016-11-17,3
2016-11-18,1
2016-11-20,3
2016-11-22,2
2016-11-23,3
2016-11-25,2
2016-11-26,1
2016-11-28,3
2016-11-30,2
2016-12-02,2
2016-12-04,4
2016-12-05,1
2016-12-06,1
2016-12-08,2
2016-12-10,2
2016-12-11,1
2016-12-12,1
2016-12-13,1
2016-12-15,3
2016-12-17,3
2016-12-19,4
2016-12-20,1
2016-12-21,1
2016-12-23,2
2016-12-24,1
2016-12-25,1
2016-12-27,2
2016-12-29,3
2017-01-06,1
2017-01-08,3
2017-01-09,1
2017-01-10,2
2017-01-11,1
2017-01-12,3
2017-01-14,2
2017-01-15,1
2017-01-16,1
2017-01-17,2
2017-01-19,2
2017-01-20,1
2017-01-21,1
2017-01-22,1
2017-01-23,2
2017-01-25,2
2017-01-27,2
2017-01-28,1
2017-01-29,1
2017-01-30,2
2017-01-31,2
2017-02-02,2
2017-02-04,2
2017-02-05,3
2017-02-06,1
2017-02-07,1
2017-02-08,4
2017-02-09,1
2017-02-10,2
2017-02-11,1
2017-02-12,3
2017-02-14,2
2017-02-15,1
2017-02-16,3
