date,visitors
2016-07-04,1
2016-07-05,8
2016-07-08,1
2016-07-14,7
2016-07-29,23
2016-07-30,33
2016-08-01,9
2016-08-02,43
2016-08-03,17
2016-08-04,17
2016-08-05,32
2016-08-06,20
2016-08-08,28
2016-08-09,30
2016-08-10,26
2016-08-11,29
2016-08-12,16
2016-08-13,6
2016-08-17,18
2016-08-18,24
2016-08-19,11
2016-08-20,45
2016-08-22,13
2016-08-23,23
2016-08-24,34
2016-08-25,18
2016-08-26,28
2016-08-27,37
2016-08-29,12
2016-08-30,19
2016-08-31,42
2016-09-01,26
2016-09-02,47
2016-09-03,42
2016-09-04,7
2016-09-05,7
2016-09-06,32
2016-09-07,34
2016-09-08,17
2016-09-09,36
2016-09-10,25
2016-09-11,4
2016-09-12,16
2016-09-13,34
2016-09-14,36
2016-09-15,43
2016-09-16,38
2016-09-17,48
2016-09-20,13
2016-09-21,38
2016-09-22,15
2016-09-23,13
2016-09-24,34
2016-09-26,17
2016-09-27,24
2016-09-28,23
2016-09-29,30
2016-09-30,42
2016-10-01,26
2016-10-02,8
2016-10-03,15
2016-10-04,23
2016-10-05,43
2016-10-06,18
2016-10-07,35
2016-10-08,25
2016-10-09,9
2016-10-11,33
2016-10-12,49
2016-10-13,37
2016-10-14,20
2016-10-15,34
2016-10-16,2
2016-10-17,13
2016-10-18,34
2016-10-19,42
2016-10-20,31
2016-10-21,32
2016-10-22,32
2016-10-24,5
2016-10-25,16
2016-10-26,40
2016-10-27,21
2016-10-28,45
2016-10-29,53
2016-10-31,28
2016-11-01,24
2016-11-02,56
2016-11-03,10
2016-11-04,21
2016-11-05,13
2016-11-07,6
2016-11-08,35
2016-11-09,43
2016-11-10,10
2016-11-11,34
2016-11-12,27
2016-11-14,12
2016-11-15,31
2016-11-16,22
2016-11-17,18
2016-11-18,47
2016-11-19,36
2016-11-21,18
2016-11-22,39
2016-11-23,30
2016-11-24,29
2016-11-25,25
2016-11-26,34
2016-11-27,9
2016-11-28,10
2016-11-29,44
2016-11-30,30
2016-12-01,26
2016-12-02,42
2016-12-03,31
2016-12-04,7
2016-12-05,30
2016-12-06,30
2016-12-07,30
2016-12-08,26
2016-12-09,41
2016-12-10,19
2016-12-11,5
2016-12-12,19
2016-12-13,17
2016-12-14,47
2016-12-15,36
2016-12-16,33
2016-12-17,53
2016-12-19,18
2016-12-20,41
2016-12-21,35
2016-12-22,55
2016-12-23,17
2016-12-24,18
2016-12-26,15
2016-12-27,35
2016-12-28,55
2016-12-29,43
2016-12-30,3
2017-01-05,11
2017-01-06,33
2017-01-07,34
2017-01-10,26
2017-01-11,26
2017-01-12,29
2017-01-13,40
2017-01-14,35
2017-01-16,8
2017-01-17,35
2017-01-18,31
2017-01-19,32
2017-01-20,46
2017-01-21,31
2017-01-22,9
2017-01-23,3
2017-01-24,28
2017-01-25,45
2017-01-26,20
2017-01-27,36
2017-01-28,55
2017-01-30,20
2017-01-31,23
2017-02-01,28
2017-02-02,27
2017-02-03,33
2017-02-04,11
2017-02-05,10
2017-02-06,21
2017-02-07,17
2017-02-08,44
2017-02-09,18
2017-02-10,34
2017-02-11,20
2017-02-13,8
2017-02-14,11
2017-02-15,34
2017-02-16,27
2017-02-17,46
2017-02-18,23
2017-02-19,1
2017-02-20,15
2017-02-21,19
2017-02-22,37
2017-02-23,21
2017-02-24,45
2017-02-25,16
2017-02-26,4
2017-02-27,7
2017-02-28,46
2017-03-01,23
