date,visitors
2016-07-01,47
2016-07-02,33
2016-07-03,17
2016-07-04,27
2016-07-05,19
2016-07-06,18
2016-07-07,20
2016-07-08,54
2016-07-09,55
2016-07-10,19
2016-07-11,16
2016-07-12,14
2016-07-13,14
2016-07-14,6
2016-07-15,46
2016-07-16,48
2016-07-17,34
2016-07-18,26
2016-07-19,35
2016-07-20,10
2016-07-21,9
2016-07-22,52
2016-07-23,50
2016-07-24,49
2016-07-25,25
2016-07-26,15
2016-07-27,9
2016-07-28,23
2016-07-29,51
2016-07-30,42
2016-07-31,14
2016-08-01,13
2016-08-02,17
2016-08-03,31
2016-08-04,36
2016-08-05,42
2016-08-06,49
2016-08-07,24
2016-08-08,17
2016-08-09,18
2016-08-10,62
2016-08-11,19
2016-08-12,56
2016-08-13,51
2016-08-14,43
2016-08-15,27
2016-08-16,20
2016-08-17,20
2016-08-18,35
2016-08-19,31
2016-08-20,24
2016-08-21,18
2016-08-22,15
2016-08-23,11
2016-08-24,28
2016-08-25,10
2016-08-26,37
2016-08-27,48
2016-08-28,21
2016-08-30,38
2016-08-31,36
2016-09-01,16
2016-09-02,35
2016-09-03,53
2016-09-04,34
2016-09-06,20
2016-09-07,26
2016-09-08,20
2016-09-09,59
2016-09-10,37
2016-09-11,22
2016-09-13,6
2016-09-14,18
2016-09-15,43
2016-09-16,42
2016-09-17,46
2016-09-18,42
2016-09-19,1
2016-09-20,7
2016-09-21,37
2016-09-22,21
2016-09-23,37
2016-09-24,64
2016-09-25,30
2016-09-26,6
2016-09-27,44
2016-09-28,46
2016-09-29,12
2016-09-30,59
2016-10-01,62
2016-10-02,23
2016-10-03,4
2016-10-04,27
2016-10-05,7
2016-10-06,24
2016-10-07,34
2016-10-08,42
2016-10-09,45
2016-10-10,4
2016-10-11,19
2016-10-12,22
2016-10-13,22
2016-10-14,46
2016-10-15,45
2016-10-16,21
2016-10-17,2
2016-10-18,15
2016-10-19,24
2016-10-20,32
2016-10-21,45
2016-10-22,61
2016-10-23,52
2016-10-25,12
2016-10-26,110
2016-10-27,10
2016-10-28,23
2016-10-29,28
2016-10-30,29
2016-10-31,4
2016-11-01,11
2016-11-02,41
2016-11-03,27
2016-11-04,29
2016-11-05,50
2016-11-06,10
2016-11-07,10
2016-11-08,14
2016-11-09,14
2016-11-10,19
2016-11-11,37
2016-11-12,34
2016-11-13,26
2016-11-14,4
2016-11-15,28
2016-11-16,12
2016-11-17,14
2016-11-18,38
2016-11-19,54
2016-11-20,28
2016-11-21,14
2016-11-22,30
2016-11-23,18
2016-11-24,23
2016-11-25,39
2016-11-26,31
2016-11-27,23
2016-11-28,11
2016-11-29,11
2016-11-30,16
2016-12-01,12
2016-12-02,45
2016-12-03,54
2016-12-04,17
2016-12-05,13
2016-12-06,11
2016-12-07,47
2016-12-08,13
2016-12-09,56
2016-12-10,77
2016-12-11,23
2016-12-12,13
2016-12-13,11
2016-12-14,29
2016-12-15,48
2016-12-16,41
2016-12-17,77
2016-12-18,22
2016-12-19,23
2016-12-20,41
2016-12-21,26
2016-12-22,54
2016-12-23,52
2016-12-24,37
2016-12-25,38
2016-12-26,11
2016-12-27,37
2016-12-28,41
2016-12-29,44
2016-12-30,74
2016-12-31,23
2017-01-02,37
2017-01-03,46
2017-01-04,19
2017-01-05,17
2017-01-06,40
2017-01-07,46
2017-01-08,31
2017-01-09,13
2017-01-10,48
2017-01-11,6
2017-01-12,13
2017-01-13,30
2017-01-14,56
2017-01-15,15
2017-01-16,7
2017-01-17,22
2017-01-18,43
2017-01-19,12
2017-01-20,25
2017-01-21,68
2017-01-22,8
2017-01-23,10
2017-01-24,27
2017-01-25,6
2017-01-26,25
2017-01-27,40
2017-01-28,67
2017-01-29,14
2017-01-30,15
2017-01-31,15
2017-02-01,16
2017-02-02,24
2017-02-03,40
2017-02-04,50
2017-02-05,18
2017-02-06,1
2017-02-07,33
2017-02-08,5
2017-02-09,26
2017-02-10,31
2017-02-11,56
2017-02-12,25
2017-02-13,6
2017-02-14,9
2017-02-15,33
2017-02-16,28
2017-02-17,38
2017-02-18,42
2017-02-19,25
2017-02-20,13
