date,visitors
2016-07-01,21
2016-07-02,9
2016-07-04,19
2016-07-05,21
2016-07-06,13
2016-07-07,21
2016-07-08,15
2016-07-09,9
2016-07-10,1
2016-07-11,12
2016-07-12,37
2016-07-13,24
2016-07-14,18
2016-07-15,18
2016-07-16,10
2016-07-17,5
2016-07-19,18
2016-07-20,19
2016-07-21,12
2016-07-22,17
2016-07-23,16
2016-07-25,15
2016-07-26,9
2016-07-27,18
2016-07-28,24
2016-07-29,21
2016-07-30,14
2016-07-31,1
2016-08-01,18
2016-08-02,18
2016-08-03,19
2016-08-04,12
2016-08-05,20
2016-08-07,20
2016-08-08,13
2016-08-09,14
2016-08-10,15
2016-08-11,22
2016-08-12,9
2016-08-15,8
2016-08-16,18
2016-08-17,14
2016-08-18,19
2016-08-19,21
2016-08-20,15
2016-08-21,2
2016-08-22,8
2016-08-23,17
2016-08-24,15
2016-08-25,23
2016-08-26,22
2016-08-27,10
2016-08-29,16
2016-08-30,17
2016-08-31,19
2016-09-01,19
2016-09-02,26
2016-09-03,11
2016-09-05,11
2016-09-06,15
2016-09-07,11
2016-09-08,14
2016-09-09,16
2016-09-10,20
2016-09-11,3
2016-09-12,12
2016-09-13,10
2016-09-14,14
2016-09-15,16
2016-09-16,18
2016-09-17,18
2016-09-18,5
2016-09-19,1
2016-09-20,15
2016-09-21,13
2016-09-22,5
2016-09-23,18
2016-09-24,11
2016-09-25,2
2016-09-26,21
2016-09-27,20
2016-09-28,25
2016-09-29,17
2016-09-30,23
2016-10-01,10
2016-10-02,1
2016-10-03,7
2016-10-04,18
2016-10-05,16
2016-10-06,19
2016-10-07,24
2016-10-08,6
2016-10-09,12
2016-10-11,18
2016-10-12,21
2016-10-13,15
2016-10-14,20
2016-10-15,10
2016-10-17,15
2016-10-18,18
2016-10-19,17
2016-10-20,16
2016-10-21,21
2016-10-22,15
2016-10-24,13
2016-10-25,16
2016-10-26,20
2016-10-27,23
2016-10-28,18
2016-10-29,13
2016-10-30,2
2016-10-31,13
2016-11-01,15
2016-11-02,12
2016-11-03,3
2016-11-04,5
2016-11-05,13
2016-11-07,6
2016-11-08,5
2016-11-09,9
2016-11-10,9
2016-11-11,3
2016-11-12,14
2016-11-15,8
2016-11-16,6
2016-11-17,4
2016-11-18,8
2016-11-19,7
2016-11-21,5
2016-11-22,2
2016-11-23,10
2016-11-24,6
2016-11-25,6
2016-11-26,4
2016-11-28,8
2016-11-29,4
2016-11-30,7
2016-12-01,6
2016-12-02,4
2016-12-03,8
2016-12-05,11
2016-12-06,8
2016-12-07,5
2016-12-08,6
2016-12-09,7
2016-12-10,8
2016-12-12,5
2016-12-13,3
2016-12-14,9
2016-12-15,6
2016-12-16,9
2016-12-17,10
2016-12-19,3
2016-12-20,10
2016-12-21,14
2016-12-22,4
2016-12-23,9
2016-12-24,4
2016-12-26,7
2016-12-27,5
2016-12-28,3
2016-12-29,14
2016-12-30,1
2017-01-04,2
2017-01-05,1
2017-01-09,1
2017-01-10,28
2017-01-11,2
2017-01-12,5
2017-01-13,8
2017-01-14,9
2017-01-16,5
2017-01-17,9
2017-01-18,6
2017-01-19,9
2017-01-20,7
2017-01-21,10
2017-01-24,10
2017-01-30,35
2017-01-31,4
2017-02-01,6
2017-02-02,6
2017-02-03,6
2017-02-04,9
2017-02-06,5
2017-02-07,9
2017-02-08,3
2017-02-09,4
2017-02-10,6
2017-02-11,6
2017-02-13,3
2017-02-14,13
2017-02-15,6
2017-02-16,5
2017-02-17,7
2017-02-18,16
2017-02-20,5
2017-02-21,3
2017-02-22,4
2017-02-23,7
