date,visitors
2016-01-05,16
2016-01-06,21
2016-01-07,7
2016-01-08,12
2016-01-09,4
2016-01-12,14
2016-01-13,9
2016-01-14,9
2016-01-15,17
2016-01-16,7
2016-01-18,14
2016-01-19,32
2016-01-20,16
2016-01-21,10
2016-01-22,26
2016-01-23,1
2016-01-25,14
2016-01-26,38
2016-01-27,38
2016-01-28,17
2016-01-29,26
2016-02-01,17
2016-02-02,23
2016-02-03,46
2016-02-04,11
2016-02-05,27
2016-02-06,12
2016-02-08,13
2016-02-09,18
2016-02-10,17
2016-02-11,1
2016-02-12,13
2016-02-13,2
2016-02-15,12
2016-02-16,9
2016-02-17,18
2016-02-18,19
2016-02-19,21
2016-02-20,5
2016-02-22,6
2016-02-23,16
2016-02-24,8
2016-02-25,46
2016-02-26,21
2016-02-27,8
2016-02-29,6
2016-03-01,21
2016-03-02,29
2016-03-03,24
2016-03-04,22
2016-03-05,8
2016-03-07,32
2016-03-08,19
2016-03-09,27
2016-03-10,21
2016-03-11,30
2016-03-14,5
2016-03-15,33
2016-03-16,25
2016-03-17,13
2016-03-18,27
2016-03-19,3
2016-03-22,16
2016-03-23,10
2016-03-24,10
2016-03-25,23
2016-03-26,2
2016-03-28,14
2016-03-29,37
2016-03-30,12
2016-03-31,56
2016-04-01,18
2016-04-02,12
2016-04-04,41
2016-04-05,42
2016-04-06,19
2016-04-07,37
2016-04-08,15
2016-04-11,43
2016-04-12,40
2016-04-13,55
2016-04-14,20
2016-04-15,24
2016-04-16,11
2016-04-18,30
2016-04-19,37
2016-04-20,41
2016-04-21,49
2016-04-22,42
2016-04-23,4
2016-04-25,29
2016-04-26,45
2016-04-27,28
2016-04-28,34
2016-05-09,17
2016-05-10,26
2016-05-11,41
2016-05-12,42
2016-05-13,11
2016-05-16,3
2016-05-17,13
2016-05-18,29
2016-05-19,14
2016-05-20,20
2016-05-23,28
2016-05-24,53
2016-05-25,12
2016-05-26,42
2016-05-27,24
2016-05-28,10
2016-05-30,27
2016-05-31,40
2016-06-01,49
2016-06-02,29
2016-06-03,44
2016-06-04,8
2016-06-06,78
2016-06-07,39
2016-06-08,21
2016-06-09,63
2016-06-10,58
2016-06-13,37
2016-06-14,48
2016-06-15,58
2016-06-16,40
2016-06-17,60
2016-06-18,2
2016-06-20,36
2016-06-21,181
2016-06-22,29
2016-06-23,15
2016-06-24,46
2016-06-27,53
2016-06-28,43
2016-06-29,38
2016-06-30,56
2016-07-01,37
2016-07-04,53
2016-07-05,46
2016-07-06,45
2016-07-07,56
2016-07-08,47
2016-07-09,10
2016-07-11,51
2016-07-12,54
2016-07-13,20
2016-07-14,46
2016-07-15,41
2016-07-19,37
2016-07-20,18
2016-07-21,46
2016-07-22,40
2016-07-25,43
2016-07-26,17
2016-07-27,16
2016-07-28,59
2016-07-29,49
2016-08-01,51
2016-08-02,30
2016-08-03,33
2016-08-04,39
2016-08-05,30
2016-08-08,30
2016-08-09,18
2016-08-10,45
2016-08-17,12
2016-08-18,41
2016-08-19,20
2016-08-22,5
2016-08-23,34
2016-08-24,35
2016-08-25,38
2016-08-26,12
2016-08-29,14
2016-08-30,41
2016-08-31,23
2016-09-01,16
2016-09-02,46
2016-09-05,41
2016-09-06,26
2016-09-07,19
2016-09-08,34
2016-09-09,49
2016-09-10,2
2016-09-12,13
2016-09-13,42
2016-09-14,45
2016-09-15,21
2016-09-16,46
2016-09-20,17
2016-09-21,56
2016-09-23,31
2016-09-26,14
2016-09-27,45
2016-09-28,49
2016-09-29,19
2016-09-30,58
2016-10-02,12
2016-10-03,46
2016-10-04,40
2016-10-05,37
2016-10-06,33
2016-10-07,14
2016-10-11,16
2016-10-12,40
2016-10-13,54
2016-10-14,53
2016-10-17,6
2016-10-18,18
2016-10-19,19
2016-10-20,35
2016-10-21,37
2016-10-24,45
2016-10-25,43
2016-10-26,31
2016-10-27,44
2016-10-28,57
2016-10-29,8
2016-10-31,24
2016-11-01,48
2016-11-02,17
2016-11-04,43
2016-11-07,32
2016-11-08,48
2016-11-09,37
2016-11-10,23
2016-11-11,47
2016-11-14,34
2016-11-15,12
2016-11-16,36
2016-11-17,42
2016-11-18,53
2016-11-21,20
2016-11-22,45
2016-11-24,34
2016-11-25,47
2016-11-28,33
2016-11-29,20
2016-11-30,46
2016-12-01,29
2016-12-02,48
2016-12-05,9
2016-12-06,18
2016-12-07,49
2016-12-08,16
2016-12-09,25
2016-12-12,37
2016-12-13,39
2016-12-14,52
2016-12-15,32
2016-12-16,21
2016-12-17,8
2016-12-19,48
2016-12-20,16
2016-12-21,12
2016-12-22,13
2016-12-26,26
2016-12-27,15
2016-12-28,14
2017-01-10,11
2017-01-11,54
2017-01-12,30
2017-01-13,40
2017-01-16,41
2017-01-17,35
2017-01-18,46
2017-01-19,35
2017-01-20,45
2017-01-21,1
