date,visitors
2016-07-01,14
2016-07-04,23
2016-07-05,20
2016-07-06,22
2016-07-07,23
2016-07-08,18
2016-07-09,22
2016-07-11,15
2016-07-12,16
2016-07-13,24
2016-07-14,42
2016-07-15,19
2016-07-16,19
2016-07-19,23
2016-07-20,18
2016-07-21,23
2016-07-22,22
2016-07-23,20
2016-07-25,26
2016-07-26,15
2016-07-27,19
2016-07-28,11
2016-07-29,5
2016-07-30,36
2016-08-01,13
2016-08-02,10
2016-08-04,22
2016-08-05,15
2016-08-08,16
2016-08-09,14
2016-08-10,16
2016-08-16,16
2016-08-17,11
2016-08-18,6
2016-08-19,13
2016-08-20,8
2016-08-23,14
2016-08-24,20
2016-08-25,18
2016-08-26,16
2016-08-27,16
2016-08-29,7
2016-08-30,20
2016-08-31,12
2016-09-01,9
2016-09-02,11
2016-09-03,28
2016-09-05,17
2016-09-06,21
2016-09-07,24
2016-09-08,7
2016-09-09,20
2016-09-10,8
2016-09-12,12
2016-09-13,25
2016-09-14,22
2016-09-15,30
2016-09-16,25
2016-09-17,21
2016-09-20,27
2016-09-21,17
2016-09-23,16
2016-09-24,22
2016-09-26,10
2016-09-27,11
2016-09-28,13
2016-09-29,4
2016-09-30,5
2016-10-01,4
2016-10-03,29
2016-10-04,28
2016-10-05,28
2016-10-06,23
2016-10-07,23
2016-10-08,14
2016-10-11,33
2016-10-12,23
2016-10-13,15
2016-10-14,11
2016-10-15,22
2016-10-17,7
2016-10-18,17
2016-10-19,15
2016-10-20,15
2016-10-21,11
2016-10-22,72
2016-10-24,22
2016-10-25,26
2016-10-26,21
2016-10-27,18
2016-10-28,17
2016-10-29,20
2016-10-31,13
2016-11-01,26
2016-11-02,15
2016-11-04,16
2016-11-05,28
2016-11-07,27
2016-11-08,17
2016-11-09,32
2016-11-10,26
2016-11-11,28
2016-11-12,35
2016-11-14,14
2016-11-15,18
2016-11-16,20
2016-11-17,34
2016-11-18,19
2016-11-19,56
2016-11-20,23
2016-11-21,14
2016-11-22,21
2016-11-24,25
2016-11-25,19
2016-11-26,33
2016-11-28,17
2016-11-29,21
2016-11-30,13
2016-12-01,24
2016-12-02,26
2016-12-03,24
2016-12-05,17
2016-12-06,20
2016-12-07,21
2016-12-08,26
2016-12-09,25
2016-12-10,33
2016-12-12,13
2016-12-13,26
2016-12-14,20
2016-12-15,28
2016-12-16,28
2016-12-17,40
2016-12-19,29
2016-12-20,27
2016-12-21,25
2016-12-22,12
2016-12-24,12
2016-12-26,8
2016-12-27,16
2016-12-28,18
2016-12-29,17
2017-01-03,9
2017-01-04,15
2017-01-05,15
2017-01-06,9
2017-01-07,21
2017-01-09,9
2017-01-10,23
2017-01-11,25
2017-01-12,22
2017-01-13,34
2017-01-14,21
2017-01-16,32
2017-01-17,37
2017-01-18,24
2017-01-19,33
2017-01-20,20
2017-01-21,50
2017-01-23,15
2017-01-24,43
2017-01-25,22
2017-01-26,30
2017-01-27,14
2017-01-28,43
2017-01-30,36
2017-01-31,36
2017-02-01,29
2017-02-02,46
2017-02-03,29
2017-02-04,33
2017-02-06,28
2017-02-07,37
2017-02-08,12
2017-02-09,22
2017-02-10,28
2017-02-11,27
2017-02-13,37
2017-02-14,34
2017-02-15,34
2017-02-16,35
2017-02-17,48
2017-02-18,52
2017-02-20,33
2017-02-21,32
2017-02-22,42
2017-02-23,34
2017-02-24,33
2017-02-25,45
