date,visitors
2016-01-04,4
2016-01-05,10
2016-01-06,14
2016-01-07,4
2016-01-09,22
2016-01-10,2
2016-01-12,5
2016-01-13,7
2016-01-14,4
2016-01-15,8
2016-01-16,7
2016-01-17,2
2016-01-19,1
2016-01-20,3
2016-01-21,4
2016-01-22,5
2016-01-23,6
2016-01-25,2
2016-01-26,4
2016-01-27,9
2016-01-28,8
2016-01-29,10
2016-01-30,21
2016-02-01,1
2016-02-02,5
2016-02-03,10
2016-02-04,9
2016-02-05,6
2016-02-06,13
2016-02-07,4
2016-02-08,2
2016-02-09,11
2016-02-10,8
2016-02-11,3
2016-02-13,12
2016-02-15,1
2016-02-16,7
2016-02-17,9
2016-02-18,7
2016-02-19,9
2016-02-20,8
2016-02-21,12
2016-02-22,8
2016-02-23,5
2016-02-24,11
2016-02-25,4
2016-02-26,27
2016-02-27,8
2016-03-01,9
2016-03-02,8
2016-03-03,11
2016-03-04,9
2016-03-05,8
2016-03-08,3
2016-03-09,9
2016-03-10,9
2016-03-11,7
2016-03-12,14
2016-03-13,2
2016-03-14,4
2016-03-15,1
2016-03-16,6
2016-03-17,6
2016-03-18,13
2016-03-19,13
2016-03-20,2
2016-03-22,5
2016-03-23,3
2016-03-24,10
2016-03-25,24
2016-03-26,7
2016-03-27,2
2016-03-28,1
2016-03-29,12
2016-03-30,11
2016-03-31,4
2016-04-02,7
2016-04-04,2
2016-04-05,5
2016-04-06,13
2016-04-07,8
2016-04-08,8
2016-04-09,1
2016-04-11,7
2016-04-12,5
2016-04-13,13
2016-04-14,6
2016-04-15,5
2016-04-16,5
2016-04-17,9
2016-04-18,5
2016-04-19,12
2016-04-20,10
2016-04-21,3
2016-04-22,4
2016-04-23,14
2016-04-24,1
2016-04-25,1
2016-04-26,5
2016-04-27,3
2016-04-28,3
2016-04-29,6
2016-05-06,2
2016-05-07,4
2016-05-09,1
2016-05-10,3
2016-05-11,2
2016-05-12,3
2016-05-13,4
2016-05-14,3
2016-05-16,3
2016-05-17,1
2016-05-18,2
2016-05-20,4
2016-05-21,1
2016-05-22,2
2016-05-23,5
2016-05-25,2
2016-05-26,5
2016-05-27,4
2016-05-28,3
2016-05-29,1
2016-05-31,1
2016-06-01,3
2016-06-02,5
2016-06-03,4
2016-06-04,1
2016-06-06,3
2016-06-07,6
2016-06-08,7
2016-06-09,3
2016-06-10,1
2016-06-11,1
2016-06-12,2
2016-06-13,2
2016-06-14,2
2016-06-16,3
2016-06-17,3
2016-06-18,2
2016-06-20,1
2016-06-21,5
2016-06-22,2
2016-06-23,4
2016-06-24,4
2016-06-25,2
2016-06-27,2
2016-06-28,4
2016-06-29,4
2016-06-30,4
2016-07-01,2
2016-07-02,1
2016-07-03,1
2016-07-04,1
2016-07-05,2
2016-07-06,5
2016-07-07,2
2016-07-08,3
2016-07-09,4
2016-07-10,1
2016-07-12,3
2016-07-13,1
2016-07-14,2
2016-07-15,8
2016-07-16,10
2016-07-17,6
2016-07-19,1
2016-07-20,6
2016-07-21,1
2016-07-22,9
2016-07-23,2
2016-07-25,1
2016-07-26,3
2016-07-27,10
2016-07-28,6
2016-07-29,2
2016-07-30,5
2016-07-31,3
2016-08-02,7
2016-08-03,5
2016-08-04,3
2016-08-05,5
2016-08-07,1
2016-08-09,10
2016-08-10,16
2016-08-11,6
2016-08-12,6
2016-08-13,2
2016-08-15,9
2016-08-16,1
2016-08-17,4
2016-08-18,2
2016-08-19,6
2016-08-20,10
2016-08-22,3
2016-08-23,1
2016-08-24,20
2016-08-25,3
2016-08-26,1
2016-08-27,15
2016-08-28,1
2016-08-29,11
2016-08-30,4
2016-09-01,2
2016-09-02,2
2016-09-03,5
2016-09-05,1
2016-09-06,1
2016-09-07,1
2016-09-08,16
2016-09-09,2
2016-09-10,6
2016-09-12,6
2016-09-13,4
2016-09-14,4
2016-09-15,8
2016-09-16,1
2016-10-03,7
2016-10-04,13
2016-10-05,7
2016-10-06,8
2016-10-07,5
2016-10-08,9
2016-10-11,9
2016-10-12,22
2016-10-13,3
2016-10-14,3
2016-10-15,7
2016-10-16,4
2016-10-17,3
2016-10-18,8
2016-10-19,9
2016-10-20,8
2016-10-21,6
2016-10-22,1
2016-10-24,9
2016-10-25,9
2016-10-26,9
2016-10-27,4
2016-10-28,9
2016-10-29,18
2016-10-30,2
2016-10-31,7
2016-11-01,6
2016-11-02,21
2016-11-03,3
2016-11-04,2
2016-11-05,2
2016-11-07,5
2016-11-08,5
2016-11-09,2
2016-11-10,9
2016-11-11,3
2016-11-12,3
2016-11-13,4
2016-11-14,3
2016-11-15,2
2016-11-16,10
2016-11-18,22
2016-11-19,7
2016-11-21,11
2016-11-22,2
2016-11-23,2
2016-11-24,3
2016-11-25,4
2016-11-26,4
2016-11-28,5
2016-11-29,4
2016-11-30,2
2016-12-01,1
2016-12-02,10
2016-12-03,7
2016-12-04,1
2016-12-05,1
2016-12-06,4
2016-12-07,6
2016-12-08,3
2016-12-09,6
2016-12-10,1
2016-12-11,1
2016-12-12,3
2016-12-13,9
2016-12-14,16
2016-12-15,20
2016-12-16,15
2016-12-17,1
2016-12-18,2
2016-12-20,8
2016-12-21,2
2016-12-22,6
2016-12-23,10
2016-12-26,9
2016-12-27,5
2016-12-28,15
2016-12-29,10
2017-01-05,11
2017-01-06,6
2017-01-07,1
2017-01-10,1
2017-01-11,37
2017-01-12,5
2017-01-13,2
2017-01-14,6
2017-01-16,9
2017-01-17,3
2017-01-18,5
2017-01-19,3
2017-01-20,5
2017-01-21,16
