date,visitors
2016-07-02,32
2016-07-03,34
2016-07-04,16
2016-07-05,20
2016-07-06,9
2016-07-07,15
2016-07-09,22
2016-07-10,35
2016-07-11,14
2016-07-12,22
2016-07-13,22
2016-07-14,12
2016-07-16,24
2016-07-17,32
2016-07-18,24
2016-07-19,14
2016-07-20,14
2016-07-21,11
2016-07-23,24
2016-07-24,23
2016-07-25,18
2016-07-26,14
2016-07-27,11
2016-07-28,28
2016-07-31,37
2016-08-03,17
2016-08-04,24
2016-08-06,22
2016-08-07,28
2016-08-08,30
2016-08-09,20
2016-08-10,14
2016-08-11,37
2016-08-13,29
2016-08-14,37
2016-08-15,38
2016-08-16,21
2016-08-17,25
2016-08-18,10
2016-08-20,35
2016-08-21,35
2016-08-22,11
2016-08-23,15
2016-08-24,31
2016-08-25,16
2016-08-27,25
2016-08-28,36
2016-08-29,22
2016-08-30,15
2016-08-31,13
2016-09-01,25
2016-09-03,27
2016-09-04,35
2016-09-05,13
2016-09-06,16
2016-09-07,13
2016-09-08,13
2016-09-10,18
2016-09-11,19
2016-09-12,22
2016-09-13,17
2016-09-14,11
2016-09-15,16
2016-09-16,21
2016-09-17,30
2016-09-18,33
2016-09-19,16
2016-09-20,14
2016-09-21,19
2016-09-22,35
2016-09-24,24
2016-09-25,40
2016-09-26,30
2016-09-27,18
2016-09-28,21
2016-09-29,22
2016-10-01,35
2016-10-02,36
2016-10-03,13
2016-10-04,17
2016-10-05,18
2016-10-06,5
2016-10-08,39
2016-10-09,47
2016-10-10,28
2016-10-11,14
2016-10-12,23
2016-10-13,22
2016-10-14,24
2016-10-15,42
2016-10-16,32
2016-10-17,24
2016-10-18,23
2016-10-19,18
2016-10-20,30
2016-10-21,22
2016-10-22,33
2016-10-23,34
2016-10-24,18
2016-10-25,16
2016-10-26,10
2016-10-27,25
2016-10-28,15
2016-10-29,40
2016-10-30,39
2016-10-31,22
2016-11-01,29
2016-11-02,36
2016-11-03,36
2016-11-04,14
2016-11-05,35
2016-11-06,33
2016-11-07,25
2016-11-08,29
2016-11-09,19
2016-11-10,26
2016-11-11,19
2016-11-12,44
2016-11-13,31
2016-11-14,22
2016-11-15,24
2016-11-16,22
2016-11-17,23
2016-11-18,24
2016-11-19,29
2016-11-20,41
2016-11-21,24
2016-11-22,17
2016-11-23,27
2016-11-24,22
2016-11-25,17
2016-11-26,44
2016-11-27,29
2016-11-28,16
2016-11-29,15
2016-11-30,24
2016-12-01,22
2016-12-02,12
2016-12-03,9
2016-12-04,3
2016-12-09,30
2016-12-10,24
2016-12-11,36
2016-12-12,17
2016-12-14,17
2016-12-15,7
2016-12-16,16
2016-12-17,29
2016-12-18,42
2016-12-19,19
2016-12-21,15
2016-12-22,27
2016-12-23,33
2016-12-24,27
2016-12-25,36
2016-12-26,19
2016-12-28,24
2016-12-29,16
2016-12-30,19
2017-01-05,2
2017-01-06,9
2017-01-07,33
2017-01-08,25
2017-01-09,23
2017-01-11,11
2017-01-12,15
2017-01-13,12
2017-01-14,38
2017-01-15,30
2017-01-16,19
2017-01-18,18
2017-01-19,20
2017-01-20,15
2017-01-21,30
2017-01-22,32
2017-01-23,14
2017-01-26,23
2017-01-27,16
2017-01-28,37
2017-01-29,37
2017-01-30,20
2017-01-31,16
2017-02-01,15
2017-02-02,18
2017-02-04,38
2017-02-05,25
2017-02-06,14
2017-02-07,17
2017-02-09,20
2017-02-10,21
2017-02-11,39
2017-02-12,40
2017-02-13,18
2017-02-14,23
2017-02-17,18
2017-02-18,32
2017-02-19,40
2017-02-20,20
2017-02-21,20
2017-02-23,10
