date,visitors
2016-07-01,24
2016-07-02,47
2016-07-03,11
2016-07-04,16
2016-07-05,26
2016-07-06,24
2016-07-07,21
2016-07-08,29
2016-07-09,28
2016-07-10,17
2016-07-11,14
2016-07-12,20
2016-07-13,16
2016-07-14,30
2016-07-15,23
2016-07-16,47
2016-07-17,30
2016-07-18,35
2016-07-19,11
2016-07-20,22
2016-07-21,33
2016-07-22,25
2016-07-23,26
2016-07-24,41
2016-07-25,19
2016-07-26,22
2016-07-27,11
2016-07-28,13
2016-07-29,35
2016-07-30,43
2016-07-31,25
2016-08-01,19
2016-08-02,6
2016-08-03,17
2016-08-04,18
2016-08-05,23
2016-08-06,32
2016-08-07,18
2016-08-08,22
2016-08-09,19
2016-08-10,36
2016-08-11,32
2016-08-12,41
2016-08-13,64
2016-08-14,6
2016-08-15,16
2016-08-16,29
2016-08-17,28
2016-08-18,18
2016-08-19,33
2016-08-20,39
2016-08-21,8
2016-08-22,11
2016-08-23,20
2016-08-24,27
2016-08-25,23
2016-08-26,23
2016-08-27,41
2016-08-28,27
2016-08-29,3
2016-08-30,13
2016-08-31,24
2016-09-01,30
2016-09-02,19
2016-09-03,33
2016-09-04,27
2016-09-06,13
2016-09-07,26
2016-09-08,14
2016-09-09,25
2016-09-10,44
2016-09-11,15
2016-09-12,13
2016-09-13,16
2016-09-14,30
2016-09-15,20
2016-09-16,24
2016-09-17,26
2016-09-18,25
2016-09-19,29
2016-09-22,8
2016-09-23,19
2016-09-24,43
2016-09-25,21
2016-09-26,11
2016-09-27,15
2016-09-28,9
2016-09-29,29
2016-09-30,33
2016-10-01,37
2016-10-02,15
2016-10-03,9
2016-10-04,15
2016-10-05,16
2016-10-06,22
2016-10-07,20
2016-10-08,49
2016-10-09,17
2016-10-10,17
2016-10-11,12
2016-10-12,29
2016-10-13,20
2016-10-14,24
2016-10-15,26
2016-10-16,46
2016-10-17,16
2016-10-18,16
2016-10-19,19
2016-10-20,8
2016-10-21,24
2016-10-22,34
2016-10-23,17
2016-10-24,22
2016-10-25,13
2016-10-26,16
2016-10-27,16
2016-10-28,22
2016-10-29,42
2016-10-30,24
2016-10-31,19
2016-11-01,26
2016-11-02,29
2016-11-03,19
2016-11-04,22
2016-11-05,30
2016-11-06,12
2016-11-07,16
2016-11-08,27
2016-11-09,28
2016-11-10,11
2016-11-11,30
2016-11-12,33
2016-11-13,15
2016-11-14,10
2016-11-15,21
2016-11-16,47
2016-11-17,21
2016-11-18,27
2016-11-19,38
2016-11-20,8
2016-11-21,12
2016-11-22,21
2016-11-23,18
2016-11-24,20
2016-11-25,23
2016-11-26,46
2016-11-27,22
2016-11-28,27
2016-11-30,12
2016-12-01,18
2016-12-02,26
2016-12-03,46
2016-12-04,6
2016-12-05,16
2016-12-06,15
2016-12-07,23
2016-12-08,5
2016-12-09,29
2016-12-10,50
2016-12-11,19
2016-12-12,9
2016-12-13,22
2016-12-14,17
2016-12-15,13
2016-12-16,25
2016-12-17,30
2016-12-18,38
2016-12-19,6
2016-12-20,11
2016-12-21,19
2016-12-22,24
2016-12-23,26
2016-12-24,22
2016-12-25,11
2016-12-26,14
2016-12-27,7
2016-12-28,36
2016-12-29,43
2016-12-30,48
2016-12-31,22
2017-01-01,9
2017-01-02,23
2017-01-03,32
2017-01-04,11
2017-01-05,13
2017-01-06,19
2017-01-07,28
2017-01-08,21
2017-01-09,3
2017-01-10,15
2017-01-11,10
2017-01-12,16
2017-01-13,10
2017-01-14,32
2017-01-15,3
2017-01-16,10
2017-01-17,23
2017-01-18,28
2017-01-19,13
2017-01-20,8
2017-01-21,38
2017-01-22,36
2017-01-23,9
2017-01-24,21
2017-01-25,15
2017-01-26,17
2017-01-27,21
2017-01-28,40
2017-01-29,33
2017-01-30,2
2017-01-31,14
2017-02-01,12
2017-02-02,24
2017-02-03,17
2017-02-04,37
2017-02-05,11
2017-02-06,12
2017-02-07,22
2017-02-08,7
2017-02-09,14
2017-02-10,23
2017-02-11,47
2017-02-12,11
2017-02-13,12
2017-02-14,19
2017-02-15,20
2017-02-16,28
2017-02-17,22
2017-02-18,35
2017-02-19,16
2017-02-20,2
2017-02-21,7
2017-02-22,21
