date,visitors
2016-01-02,34
2016-01-03,48
2016-01-04,19
2016-01-05,3
2016-01-06,7
2016-01-07,12
2016-01-08,31
2016-01-09,29
2016-01-10,37
2016-01-11,30
2016-01-12,15
2016-01-13,18
2016-01-14,5
2016-01-15,20
2016-01-16,35
2016-01-17,2
2016-01-18,8
2016-01-19,28
2016-01-20,27
2016-01-21,18
2016-01-22,17
2016-01-23,18
2016-01-24,14
2016-01-25,26
2016-01-26,13
2016-01-27,15
2016-01-28,19
2016-01-29,23
2016-01-30,45
2016-01-31,29
2016-02-01,16
2016-02-02,14
2016-02-03,26
2016-02-04,10
2016-02-05,29
2016-02-06,48
2016-02-07,24
2016-02-08,43
2016-02-09,15
2016-02-10,24
2016-02-11,37
2016-02-12,18
2016-02-13,44
2016-02-14,40
2016-02-15,26
2016-02-16,26
2016-02-17,26
2016-02-18,39
2016-02-19,38
2016-02-20,15
2016-02-21,25
2016-02-22,17
2016-02-23,21
2016-02-24,34
2016-02-25,30
2016-02-26,42
2016-02-27,59
2016-02-28,32
2016-02-29,35
2016-03-01,27
2016-03-02,8
2016-03-03,22
2016-03-04,31
2016-03-05,63
2016-03-06,20
2016-03-07,19
2016-03-08,26
2016-03-09,24
2016-03-10,23
2016-03-11,37
2016-03-12,5
2016-03-13,1
2016-03-14,12
2016-03-15,29
2016-03-16,21
2016-03-17,7
2016-03-18,42
2016-03-19,59
2016-03-20,70
2016-03-21,28
2016-03-22,25
2016-03-23,23
2016-03-24,25
2016-03-25,29
2016-03-26,93
2016-03-27,44
2016-03-28,18
2016-03-29,18
2016-03-30,27
2016-03-31,22
2016-04-01,31
2016-04-02,55
2016-04-03,2
2016-04-04,22
2016-04-05,24
2016-04-06,30
2016-04-07,7
2016-04-08,41
2016-04-09,42
2016-04-10,13
2016-04-11,17
2016-04-12,12
2016-04-13,25
2016-04-14,27
2016-04-15,38
2016-04-16,32
2016-04-17,20
2016-04-18,27
2016-04-19,22
2016-04-20,12
2016-04-21,11
2016-04-22,22
2016-04-23,33
2016-04-24,20
2016-04-25,23
2016-04-26,22
2016-04-27,21
2016-04-28,40
2016-04-29,60
2016-04-30,45
2016-05-01,40
2016-05-02,37
2016-05-03,45
2016-05-04,36
2016-05-05,53
2016-05-06,25
2016-05-07,30
2016-05-08,22
2016-05-09,18
2016-05-10,16
2016-05-11,14
2016-05-12,24
2016-05-13,29
2016-05-14,43
2016-05-15,20
2016-05-16,20
2016-05-17,20
2016-05-18,18
2016-05-19,32
2016-05-20,36
2016-05-21,78
2016-05-22,34
2016-05-23,7
2016-05-24,23
2016-05-25,36
2016-05-26,32
2016-05-27,52
2016-05-28,62
2016-05-29,24
2016-05-30,12
2016-05-31,35
2016-06-01,18
2016-06-02,14
2016-06-03,21
2016-06-04,25
2016-06-05,25
2016-06-06,8
2016-06-07,18
2016-06-08,20
2016-06-09,17
2016-06-10,36
2016-06-11,63
2016-06-12,32
2016-06-13,24
2016-06-14,20
2016-06-15,9
2016-06-16,8
2016-06-17,63
2016-06-18,26
2016-06-19,31
2016-06-20,34
2016-06-21,40
2016-06-22,18
2016-06-23,8
2016-06-24,37
2016-06-25,57
2016-06-27,42
2016-06-28,20
2016-06-29,23
2016-06-30,30
2016-07-01,51
2016-07-02,26
2016-07-03,51
2016-07-04,13
2016-07-05,48
2016-07-06,10
2016-07-07,41
2016-07-08,32
2016-07-09,44
2016-07-10,32
2016-07-11,17
2016-07-12,36
2016-07-13,17
2016-07-14,21
2016-07-15,41
2016-07-16,81
2016-07-17,56
2016-07-18,26
2016-07-19,39
2016-07-20,6
2016-07-21,17
2016-07-22,42
2016-07-23,42
2016-07-24,31
2016-07-25,20
2016-07-26,25
2016-07-27,27
2016-07-28,16
2016-07-29,29
2016-07-30,66
2016-07-31,23
2016-08-01,21
2016-08-02,30
