date,visitors
2016-01-02,12
2016-01-03,35
2016-01-04,33
2016-01-05,37
2016-01-06,26
2016-01-07,49
2016-01-08,17
2016-01-09,38
2016-01-10,58
2016-01-11,39
2016-01-12,12
2016-01-13,24
2016-01-14,25
2016-01-15,29
2016-01-16,38
2016-01-17,33
2016-01-18,19
2016-01-19,7
2016-01-20,22
2016-01-21,15
2016-01-22,21
2016-01-23,23
2016-01-24,20
2016-01-25,5
2016-01-26,9
2016-01-27,14
2016-01-28,18
2016-01-29,23
2016-01-30,69
2016-01-31,42
2016-02-01,26
2016-02-02,24
2016-02-03,30
2016-02-04,35
2016-02-05,22
2016-02-06,61
2016-02-07,46
2016-02-08,23
2016-02-09,22
2016-02-10,24
2016-02-11,50
2016-02-12,21
2016-02-13,44
2016-02-14,36
2016-02-15,22
2016-02-16,21
2016-02-17,37
2016-02-18,30
2016-02-19,32
2016-02-20,34
2016-02-21,49
2016-02-22,41
2016-02-23,7
2016-02-24,19
2016-02-25,25
2016-02-26,33
2016-02-27,50
2016-02-28,56
2016-02-29,34
2016-03-01,8
2016-03-02,4
2016-03-03,13
2016-03-04,16
2016-03-05,60
2016-03-06,33
2016-03-07,24
2016-03-08,53
2016-03-09,110
2016-03-10,26
2016-03-11,39
2016-03-12,58
2016-03-13,32
2016-03-14,24
2016-03-15,57
2016-03-16,17
2016-03-17,19
2016-03-18,26
2016-03-19,80
2016-03-20,50
2016-03-21,46
2016-03-22,39
2016-03-23,14
2016-03-24,24
2016-03-25,26
2016-03-26,62
2016-03-27,39
2016-03-28,58
2016-03-29,35
2016-03-30,30
2016-03-31,22
2016-04-01,24
2016-04-02,25
2016-04-03,43
2016-04-04,25
2016-04-05,50
2016-04-06,8
2016-04-07,8
2016-04-08,17
2016-04-09,45
2016-04-10,23
2016-04-11,20
2016-04-12,30
2016-04-13,30
2016-04-14,11
2016-04-15,26
2016-04-16,44
2016-04-17,40
2016-04-18,27
2016-04-19,31
2016-04-20,8
2016-04-21,14
2016-04-22,20
2016-04-23,27
2016-04-24,47
2016-04-25,8
2016-04-26,70
2016-04-27,23
2016-04-28,20
2016-04-29,48
2016-04-30,40
2016-05-01,33
2016-05-02,19
2016-05-03,44
2016-05-04,53
2016-05-05,35
2016-05-06,16
2016-05-07,39
2016-05-08,43
2016-05-09,17
2016-05-10,2
2016-05-12,17
