date,visitors
2016-01-05,24
2016-01-06,8
2016-01-07,18
2016-01-08,24
2016-01-09,8
2016-01-10,28
2016-01-12,17
2016-01-13,6
2016-01-14,55
2016-01-15,24
2016-01-16,18
2016-01-17,24
2016-01-19,13
2016-01-20,18
2016-01-21,15
2016-01-22,20
2016-01-23,19
2016-01-24,26
2016-01-25,3
2016-01-26,9
2016-01-27,13
2016-01-28,36
2016-01-29,20
2016-01-30,40
2016-01-31,26
2016-02-02,5
2016-02-03,8
2016-02-04,18
2016-02-05,16
2016-02-06,16
2016-02-07,37
2016-02-08,2
2016-02-09,6
2016-02-10,29
2016-02-11,29
2016-02-12,20
2016-02-13,29
2016-02-14,22
2016-02-16,15
2016-02-17,9
2016-02-18,23
2016-02-19,23
2016-02-20,23
2016-02-21,19
2016-02-23,7
2016-02-24,15
2016-02-25,9
2016-02-26,8
2016-02-27,32
2016-02-28,39
2016-03-01,8
2016-03-02,8
2016-03-03,12
2016-03-04,17
2016-03-05,23
2016-03-06,16
2016-03-10,17
2016-03-11,23
2016-03-12,18
2016-03-17,11
2016-03-18,39
2016-03-19,19
2016-03-20,34
2016-03-22,17
2016-03-23,34
2016-03-24,15
2016-03-25,44
2016-03-26,31
2016-03-27,24
2016-03-29,6
2016-03-30,25
2016-03-31,5
2016-04-01,30
2016-04-02,29
2016-04-03,39
2016-04-05,4
2016-04-06,19
2016-04-07,16
2016-04-08,22
2016-04-09,21
2016-04-10,23
2016-04-12,15
2016-04-13,17
2016-04-14,28
2016-04-15,20
2016-04-16,35
2016-04-17,20
2016-04-19,10
2016-04-20,11
2016-04-21,23
2016-04-22,11
2016-04-23,52
2016-04-24,20
2016-04-26,17
2016-04-27,14
2016-04-28,16
2016-04-29,22
2016-04-30,40
2016-05-01,40
2016-05-03,30
2016-05-04,17
2016-05-05,11
2016-05-06,24
2016-05-07,23
2016-05-08,27
2016-05-09,4
2016-05-10,13
2016-05-11,26
2016-05-12,14
2016-05-13,21
2016-05-14,41
2016-05-17,38
2016-05-18,11
2016-05-19,21
2016-05-20,20
2016-05-21,31
2016-05-22,20
2016-05-23,4
2016-05-24,10
2016-05-25,36
2016-05-26,14
2016-05-27,27
2016-05-28,16
2016-05-29,11
2016-05-31,19
2016-06-01,25
2016-06-02,12
2016-06-03,19
2016-06-04,26
2016-06-05,26
2016-06-06,1
2016-06-07,34
2016-06-08,25
2016-06-09,21
2016-06-10,19
2016-06-11,47
2016-06-12,21
2016-06-14,7
2016-06-15,16
2016-06-16,28
2016-06-17,22
2016-06-18,20
2016-06-19,15
2016-06-20,1
2016-06-22,5
2016-06-23,21
2016-06-24,40
2016-06-25,31
2016-06-26,27
2016-06-27,1
2016-06-28,20
2016-06-29,22
2016-06-30,26
2016-07-01,21
2016-07-02,57
2016-07-03,31
2016-07-05,15
2016-07-06,5
2016-07-07,24
2016-07-08,21
2016-07-09,52
2016-07-10,17
2016-07-11,6
2016-07-12,32
2016-07-13,25
2016-07-14,18
2016-07-15,17
2016-07-16,30
2016-07-17,44
2016-07-19,14
2016-07-20,5
2016-07-21,24
2016-07-22,16
2016-07-23,37
2016-07-24,46
2016-07-26,5
2016-07-27,11
2016-07-28,16
2016-07-29,30
2016-07-30,50
2016-07-31,28
2016-08-01,3
2016-08-02,26
2016-08-03,10
2016-08-04,16
2016-08-05,31
2016-08-06,15
2016-08-07,32
2016-08-09,15
2016-08-10,20
2016-08-11,1
2016-08-12,16
2016-08-13,32
2016-08-14,36
2016-08-16,48
2016-08-17,13
2016-08-18,12
2016-08-19,35
2016-08-20,20
2016-08-21,17
2016-08-22,4
2016-08-25,35
2016-08-26,44
2016-08-27,21
2016-08-28,3
2016-08-30,13
2016-08-31,42
2016-09-01,17
2016-09-02,45
2016-09-03,20
2016-09-04,17
2016-09-06,14
2016-09-07,19
2016-09-08,22
2016-09-09,16
2016-09-10,35
2016-09-11,16
2016-09-12,1
2016-09-13,15
2016-09-14,2
2016-09-15,36
2016-09-16,27
2016-09-17,38
2016-09-18,20
2016-09-20,19
2016-09-21,20
2016-09-22,28
2016-09-23,10
2016-09-24,20
2016-09-25,30
2016-09-26,2
2016-09-27,27
2016-09-28,14
2016-09-29,11
2016-09-30,30
2016-10-01,38
2016-10-02,17
2016-10-04,14
2016-10-05,20
2016-10-06,33
2016-10-07,28
2016-10-08,26
2016-10-09,20
2016-10-11,18
2016-10-12,27
2016-10-13,23
2016-10-14,23
2016-10-15,24
2016-10-16,17
2016-10-18,10
2016-10-19,15
2016-10-20,24
2016-10-21,8
2016-10-22,32
2016-10-23,20
2016-10-25,18
2016-10-26,29
2016-10-27,18
2016-10-28,39
2016-10-29,9
2016-10-30,14
2016-10-31,3
2016-11-01,7
2016-11-02,23
2016-11-03,25
2016-11-04,21
2016-11-05,41
2016-11-06,10
2016-11-08,21
2016-11-09,11
2016-11-10,23
2016-11-11,26
2016-11-12,29
2016-11-13,22
2016-11-14,3
2016-11-15,14
2016-11-16,18
2016-11-17,19
2016-11-18,12
2016-11-19,26
2016-11-20,32
2016-11-21,2
2016-11-22,14
2016-11-23,3
2016-11-24,11
2016-11-25,40
2016-11-26,55
2016-11-27,21
2016-11-28,2
2016-11-29,10
2016-11-30,19
2016-12-01,11
2016-12-02,9
2016-12-03,25
2016-12-04,20
2016-12-06,35
2016-12-07,19
2016-12-08,24
2016-12-09,23
2016-12-10,38
2016-12-11,13
2016-12-13,18
2016-12-14,24
2016-12-15,30
2016-12-16,28
2016-12-17,36
2016-12-18,11
2016-12-19,1
2016-12-20,19
2016-12-21,30
2016-12-22,28
2016-12-23,25
2016-12-24,25
2016-12-25,22
2016-12-27,18
2016-12-28,2
2016-12-31,1
2017-01-05,22
2017-01-06,23
2017-01-07,29
2017-01-08,12
2017-01-10,33
2017-01-11,18
2017-01-12,22
2017-01-13,14
2017-01-14,41
2017-01-15,14
2017-01-16,8
2017-01-17,12
2017-01-18,25
2017-01-19,26
2017-01-20,22
2017-01-21,39
2017-01-22,27
2017-01-23,1
