date,visitors
2016-01-05,9
2016-01-06,15
2016-01-07,9
2016-01-08,28
2016-01-09,7
2016-01-12,4
2016-01-13,5
2016-01-14,21
2016-01-15,20
2016-01-16,22
2016-01-18,6
2016-01-19,15
2016-01-20,13
2016-01-21,9
2016-01-22,10
2016-01-23,26
2016-01-25,10
2016-01-26,15
2016-01-27,13
2016-01-28,9
2016-01-29,16
2016-01-30,19
2016-01-31,19
2016-02-01,10
2016-02-02,3
2016-02-03,20
2016-02-04,15
2016-02-05,24
2016-02-06,15
2016-02-08,3
2016-02-09,17
2016-02-10,22
2016-02-11,32
2016-02-12,13
2016-02-13,21
2016-02-14,6
2016-02-15,8
2016-02-16,10
2016-02-17,18
2016-02-18,25
2016-02-19,22
2016-02-20,16
2016-02-22,2
2016-02-23,13
2016-02-24,6
2016-02-25,6
2016-02-26,22
2016-02-27,14
2016-02-28,6
2016-03-01,14
2016-03-02,15
2016-03-03,7
2016-03-04,20
2016-03-05,15
2016-03-07,6
2016-03-08,22
2016-03-09,15
2016-03-10,28
2016-03-11,21
2016-03-12,7
2016-03-13,7
2016-03-14,18
2016-03-15,13
2016-03-16,17
2016-03-17,14
2016-03-18,17
2016-03-19,16
2016-03-20,4
2016-03-22,8
2016-03-23,7
2016-03-24,14
2016-03-25,27
2016-03-26,24
2016-03-28,4
2016-03-29,14
2016-03-30,15
2016-03-31,5
2016-04-01,34
2016-04-02,15
2016-04-04,4
2016-04-05,17
2016-04-06,13
2016-04-07,15
2016-04-08,25
2016-04-09,17
2016-04-11,7
2016-04-12,17
2016-04-13,20
2016-04-14,10
2016-04-15,21
2016-04-16,18
2016-04-17,2
2016-04-18,7
2016-04-19,30
2016-04-20,15
2016-04-21,27
2016-04-22,30
2016-04-23,25
2016-04-25,14
2016-04-26,12
2016-04-27,20
2016-04-28,13
2016-04-29,28
2016-04-30,9
2016-05-01,8
2016-05-02,14
2016-05-03,14
2016-05-04,12
2016-05-05,22
2016-05-06,9
2016-05-07,16
2016-05-08,3
2016-05-09,1
2016-05-10,9
2016-05-11,8
2016-05-12,20
2016-05-13,24
2016-05-14,19
2016-05-16,3
2016-05-17,32
2016-05-18,17
2016-05-19,26
2016-05-20,8
2016-05-21,20
2016-05-23,10
2016-05-24,29
2016-05-25,10
2016-05-26,14
2016-05-27,37
2016-05-28,26
2016-05-30,7
2016-05-31,27
2016-06-01,16
2016-06-02,15
2016-06-03,8
2016-06-04,24
2016-06-06,1
2016-06-07,14
2016-06-08,14
2016-06-09,20
2016-06-10,27
2016-06-11,15
2016-06-13,7
2016-06-14,18
2016-06-15,18
2016-06-16,6
2016-06-17,35
2016-06-18,15
2016-06-20,8
2016-06-21,13
2016-06-22,5
2016-06-23,30
2016-06-24,26
2016-06-25,28
2016-06-27,20
2016-06-28,46
2016-06-29,14
2016-06-30,18
2016-07-01,13
2016-07-02,36
2016-07-04,3
2016-07-05,14
2016-07-06,15
2016-07-07,13
2016-07-08,29
2016-07-09,23
2016-07-11,8
2016-07-12,17
2016-07-13,15
2016-07-14,12
2016-07-15,29
2016-07-16,23
2016-07-19,11
2016-07-20,18
2016-07-21,9
2016-07-22,16
2016-07-23,40
2016-07-25,7
2016-07-26,11
2016-07-27,10
2016-07-28,17
2016-07-29,25
2016-07-30,21
2016-08-01,6
2016-08-02,7
2016-08-03,14
2016-08-04,7
2016-08-05,12
2016-08-06,6
2016-08-08,6
2016-08-09,14
2016-08-10,23
2016-08-11,13
2016-08-12,2
2016-08-13,6
2016-08-15,5
2016-08-16,7
2016-08-17,16
2016-08-18,15
2016-08-19,13
2016-08-20,17
2016-08-22,5
2016-08-23,6
2016-08-24,10
2016-08-25,12
2016-08-26,20
2016-08-27,14
2016-08-28,17
2016-08-29,9
2016-08-30,12
2016-08-31,14
2016-09-01,18
2016-09-02,13
2016-09-03,6
2016-09-05,5
2016-09-06,16
2016-09-07,6
2016-09-08,20
2016-09-09,34
2016-09-10,26
2016-09-12,4
2016-09-13,12
2016-09-14,16
2016-09-15,11
2016-09-16,15
2016-09-17,8
2016-09-20,5
2016-09-21,30
2016-09-22,14
2016-09-23,13
2016-09-24,20
2016-09-25,42
2016-09-26,2
2016-09-27,12
2016-09-28,26
2016-09-29,19
2016-09-30,27
2016-10-01,17
2016-10-03,3
2016-10-04,18
2016-10-05,7
2016-10-06,7
2016-10-07,20
2016-10-08,28
2016-10-11,4
2016-10-12,18
2016-10-13,15
2016-10-14,27
2016-10-15,18
2016-10-17,5
2016-10-18,8
2016-10-19,6
2016-10-20,15
2016-10-21,24
2016-10-22,15
2016-10-24,10
2016-10-25,21
2016-10-26,43
2016-10-27,12
2016-10-28,16
2016-10-29,21
2016-10-31,4
2016-11-01,12
2016-11-02,22
2016-11-03,2
2016-11-04,10
2016-11-05,18
2016-11-06,3
2016-11-07,7
2016-11-08,7
2016-11-09,17
2016-11-10,8
2016-11-11,29
