date,visitors
2016-01-05,24
2016-01-06,18
2016-01-07,25
2016-01-08,24
2016-01-09,24
2016-01-10,20
2016-01-11,30
2016-01-12,29
2016-01-13,31
2016-01-14,18
2016-01-15,22
2016-01-16,38
2016-01-17,16
2016-01-18,25
2016-01-19,18
2016-01-20,26
2016-01-21,27
2016-01-22,29
2016-01-23,23
2016-01-24,16
2016-01-25,14
2016-01-26,18
2016-01-27,8
2016-01-28,23
2016-01-29,28
2016-01-30,21
2016-01-31,19
2016-02-01,15
2016-02-02,23
2016-02-03,32
2016-02-04,29
2016-02-05,33
2016-02-06,27
2016-02-07,17
2016-02-08,21
2016-02-09,20
2016-02-10,22
2016-02-11,33
2016-02-12,27
2016-02-13,33
2016-02-14,21
2016-02-15,23
2016-02-16,26
2016-02-17,22
2016-02-18,26
2016-02-19,28
2016-02-20,27
2016-02-21,15
2016-02-22,23
2016-02-23,19
2016-02-24,18
2016-02-25,22
2016-02-26,16
2016-02-27,26
2016-02-28,23
2016-02-29,28
2016-03-01,31
2016-03-02,31
2016-03-03,21
2016-03-04,26
2016-03-05,23
2016-03-06,9
2016-03-07,14
2016-03-08,25
2016-03-09,17
2016-03-10,24
2016-03-11,18
2016-03-12,20
2016-03-13,21
2016-03-14,32
2016-03-15,27
2016-03-16,28
2016-03-17,31
2016-03-18,34
2016-03-19,22
2016-03-20,25
2016-03-21,19
2016-03-22,27
2016-03-23,19
2016-03-24,30
2016-03-25,32
2016-03-26,34
2016-03-27,11
2016-03-28,36
2016-03-29,23
2016-03-30,19
2016-03-31,29
2016-04-01,21
2016-04-02,24
2016-04-03,25
2016-04-04,24
2016-04-05,30
2016-04-06,20
2016-04-07,26
2016-04-08,31
2016-04-09,21
2016-04-10,13
2016-04-11,27
2016-04-12,30
2016-04-13,22
2016-04-14,15
2016-04-15,20
2016-04-16,25
2016-04-17,27
2016-04-18,24
2016-04-19,30
2016-04-20,34
2016-04-21,25
2016-04-22,30
2016-04-23,25
2016-04-24,25
2016-04-25,25
2016-04-26,29
2016-04-27,28
2016-04-28,31
2016-04-29,24
2016-04-30,21
2016-05-01,13
2016-05-02,27
2016-05-03,17
2016-05-04,33
2016-05-05,16
2016-05-06,28
2016-05-07,10
2016-05-08,23
2016-05-09,27
2016-05-10,15
2016-05-11,35
2016-05-12,22
2016-05-13,19
2016-05-14,36
2016-05-15,29
2016-05-16,26
2016-05-17,27
2016-05-18,33
2016-05-19,30
2016-05-20,11
2016-05-21,10
2016-05-22,29
2016-05-23,18
2016-05-24,21
2016-05-25,24
2016-05-26,17
2016-05-27,22
2016-05-28,23
2016-05-29,14
2016-05-30,25
2016-05-31,21
2016-06-01,34
2016-06-02,24
2016-06-03,22
2016-06-04,22
2016-06-05,24
2016-06-06,20
2016-06-07,12
2016-06-08,24
2016-06-09,26
2016-06-10,22
2016-06-11,18
2016-06-12,20
2016-06-13,16
2016-06-14,24
2016-06-15,24
2016-06-16,28
2016-06-17,22
2016-06-18,21
2016-06-19,25
2016-06-20,23
2016-06-21,19
2016-06-22,30
2016-06-23,23
2016-06-24,29
2016-06-25,13
2016-06-26,22
2016-06-27,28
2016-06-28,18
2016-06-29,21
2016-06-30,34
2016-07-01,26
2016-07-02,26
2016-07-03,17
2016-07-04,7
2016-07-05,27
2016-07-06,33
2016-07-07,27
2016-07-08,32
2016-07-09,28
2016-07-10,11
2016-07-11,25
2016-07-12,25
2016-07-13,25
2016-07-14,26
2016-07-15,23
2016-07-16,16
2016-07-17,26
2016-07-18,23
2016-07-19,29
2016-07-20,26
2016-07-21,21
2016-07-22,34
2016-07-23,28
2016-07-24,23
2016-07-25,21
2016-07-26,27
2016-07-27,18
2016-07-28,22
2016-07-29,31
2016-07-30,28
2016-07-31,13
2016-08-01,30
2016-08-02,16
2016-08-03,22
2016-08-04,28
2016-08-05,29
2016-08-06,22
2016-08-07,9
2016-08-08,25
2016-08-09,20
2016-08-10,22
2016-08-11,11
2016-08-12,24
2016-08-13,26
2016-08-14,20
2016-08-15,27
2016-08-16,17
2016-08-17,18
2016-08-18,21
2016-08-19,35
2016-08-20,18
2016-08-21,20
2016-08-22,15
2016-08-23,18
2016-08-24,18
2016-08-25,30
2016-08-26,30
2016-08-27,10
2016-08-28,14
2016-08-29,18
2016-08-30,19
2016-08-31,24
2016-09-01,28
2016-09-02,29
2016-09-03,26
2016-09-04,22
2016-09-05,8
2016-09-06,13
2016-09-07,22
2016-09-08,23
2016-09-09,37
2016-09-10,24
2016-09-11,24
2016-09-12,25
2016-09-13,31
2016-09-14,22
2016-09-15,25
2016-09-16,27
2016-09-17,25
2016-09-18,30
2016-09-19,17
2016-09-20,23
2016-09-21,28
2016-09-22,16
2016-09-23,25
2016-09-24,30
2016-09-25,13
2016-09-26,28
2016-09-27,27
2016-09-28,26
2016-09-29,27
2016-09-30,22
2016-10-01,20
2016-10-02,22
2016-10-03,26
2016-10-04,21
2016-10-05,31
2016-10-06,26
2016-10-07,30
2016-10-08,24
2016-10-09,24
2016-10-10,29
2016-10-11,18
2016-10-12,26
2016-10-13,26
2016-10-14,29
2016-10-15,29
2016-10-16,24
2016-10-17,16
2016-10-18,19
2016-10-19,18
2016-10-20,24
2016-10-21,28
2016-10-22,21
2016-10-23,32
2016-10-24,30
2016-10-25,27
2016-10-26,26
2016-10-27,21
2016-10-28,25
2016-10-29,22
2016-10-30,20
2016-10-31,15
2016-11-01,30
2016-11-02,30
2016-11-03,25
2016-11-04,28
2016-11-05,30
2016-11-06,26
2016-11-07,29
2016-11-08,33
2016-11-09,17
2016-11-10,23
2016-11-11,25
2016-11-12,25
2016-11-13,13
2016-11-14,27
2016-11-15,23
2016-11-16,19
2016-11-17,16
2016-11-18,26
2016-11-19,36
2016-11-20,21
2016-11-21,24
2016-11-22,27
2016-11-23,28
2016-11-24,30
2016-11-25,23
2016-11-26,28
