date,visitors
2016-07-02,42
2016-07-03,44
2016-07-04,28
2016-07-05,20
2016-07-06,27
2016-07-08,29
2016-07-09,42
2016-07-10,51
2016-07-11,21
2016-07-12,17
2016-07-13,14
2016-07-15,21
2016-07-16,37
2016-07-17,31
2016-07-18,32
2016-07-19,18
2016-07-20,12
2016-07-22,22
2016-07-23,32
2016-07-25,15
2016-07-26,22
2016-07-27,21
2016-07-29,29
2016-07-30,31
2016-07-31,58
2016-08-01,24
2016-08-02,20
2016-08-03,10
2016-08-05,17
2016-08-06,19
2016-08-07,40
2016-08-08,25
2016-08-09,22
2016-08-10,24
2016-08-12,40
2016-08-13,37
2016-08-14,41
2016-08-15,35
2016-08-16,25
2016-08-17,29
2016-08-19,20
2016-08-22,24
2016-08-23,19
2016-08-24,36
2016-08-26,13
2016-08-27,35
2016-08-28,43
2016-08-29,23
2016-08-30,27
2016-08-31,21
2016-09-02,18
2016-09-03,31
2016-09-04,38
2016-09-06,21
2016-09-07,27
2016-09-10,33
2016-09-11,43
2016-09-12,24
2016-09-13,20
2016-09-14,18
2016-09-16,19
2016-09-17,23
2016-09-18,37
2016-09-19,37
2016-09-20,25
2016-09-21,25
2016-09-23,26
2016-09-24,22
2016-09-26,21
2016-09-27,25
2016-09-28,27
2016-09-30,18
2016-10-01,21
2016-10-02,32
2016-10-03,20
2016-10-04,17
2016-10-05,17
2016-10-07,21
2016-10-11,27
2016-10-12,36
2016-10-14,17
2016-10-15,40
2016-10-16,36
2016-10-17,29
2016-10-18,18
2016-10-19,19
2016-10-21,23
2016-10-22,41
2016-10-24,27
2016-10-25,31
2016-10-26,20
2016-10-29,25
2016-10-30,53
2016-10-31,25
2016-11-01,22
2016-11-02,28
2016-11-04,18
2016-11-05,34
2016-11-06,57
2016-11-07,14
2016-11-08,23
2016-11-09,28
2016-11-11,17
2016-11-12,37
2016-11-13,49
2016-11-14,35
2016-11-15,18
2016-11-16,31
2016-11-18,31
2016-11-19,44
2016-11-20,36
2016-11-21,25
2016-11-22,21
2016-11-23,34
2016-11-25,33
2016-11-26,35
2016-11-28,22
2016-11-29,24
2016-11-30,23
2016-12-02,20
2016-12-03,48
2016-12-04,43
2016-12-05,33
2016-12-06,21
2016-12-07,24
2016-12-09,24
2016-12-10,32
2016-12-11,61
2016-12-12,26
2016-12-13,32
2016-12-14,31
2016-12-16,18
2016-12-17,31
2016-12-18,44
2016-12-19,31
2016-12-20,18
2016-12-21,27
2016-12-23,25
2016-12-24,26
2016-12-25,26
2016-12-26,21
2016-12-27,15
2016-12-28,12
2016-12-29,57
2017-01-04,40
2017-01-05,22
2017-01-06,21
2017-01-07,29
2017-01-08,40
2017-01-09,45
2017-01-10,28
2017-01-11,22
2017-01-13,22
2017-01-14,33
2017-01-15,44
2017-01-16,29
2017-01-17,29
2017-01-18,31
2017-01-20,24
2017-01-21,29
2017-01-22,43
2017-01-23,41
2017-01-24,18
2017-01-25,27
2017-01-27,32
2017-01-28,35
2017-01-29,55
2017-01-30,37
2017-01-31,16
2017-02-01,23
2017-02-03,23
2017-02-04,43
2017-02-05,43
2017-02-06,28
2017-02-07,23
2017-02-08,29
2017-02-10,28
2017-02-11,54
2017-02-12,43
2017-02-13,33
2017-02-14,20
2017-02-15,25
2017-02-17,26
2017-02-18,29
2017-02-19,50
2017-02-20,26
2017-02-21,17
2017-02-22,32
