date,visitors
2016-07-01,64
2016-07-02,74
2016-07-03,52
2016-07-04,29
2016-07-05,29
2016-07-06,23
2016-07-07,36
2016-07-08,55
2016-07-09,58
2016-07-10,25
2016-07-11,10
2016-07-12,16
2016-07-13,19
2016-07-14,52
2016-07-15,48
2016-07-16,58
2016-07-17,73
2016-07-18,49
2016-07-19,43
2016-07-20,43
2016-07-21,14
2016-07-22,50
2016-07-23,74
2016-07-24,59
2016-07-25,21
2016-07-26,19
2016-07-27,46
2016-07-28,53
2016-07-29,80
2016-07-30,62
2016-07-31,53
2016-08-01,33
2016-08-02,32
2016-08-03,28
2016-08-04,37
2016-08-05,46
2016-08-06,73
2016-08-07,55
2016-08-08,34
2016-08-09,41
2016-08-10,64
2016-08-11,64
2016-08-12,61
2016-08-13,50
2016-08-14,53
2016-08-15,68
2016-08-16,54
2016-08-17,46
2016-08-18,45
2016-08-19,62
2016-08-20,69
2016-08-21,34
2016-08-22,31
2016-08-23,23
2016-08-24,46
2016-08-25,43
2016-08-26,60
2016-08-27,68
2016-08-28,58
2016-08-29,23
2016-08-30,17
2016-08-31,40
2016-09-01,20
2016-09-02,32
2016-09-03,39
2016-09-04,30
2016-09-05,31
2016-09-06,19
2016-09-07,25
2016-09-08,27
2016-09-09,42
2016-09-10,68
2016-09-11,48
2016-09-14,34
2016-09-15,37
2016-09-16,43
2016-09-17,57
2016-09-18,62
2016-09-19,30
2016-09-20,14
2016-09-21,68
2016-09-22,50
2016-09-23,47
2016-09-24,57
2016-09-25,42
2016-09-26,36
2016-09-27,28
2016-09-28,21
2016-09-29,19
2016-09-30,45
2016-10-01,69
2016-10-02,38
2016-10-03,9
2016-10-04,31
2016-10-05,32
2016-10-06,8
2016-10-07,43
2016-10-08,65
2016-10-09,69
2016-10-10,44
2016-10-11,13
2016-10-12,11
2016-10-13,11
2016-10-14,48
2016-10-15,71
2016-10-16,38
2016-10-17,39
2016-10-18,20
2016-10-19,20
2016-10-20,32
2016-10-21,58
2016-10-22,52
2016-10-23,51
2016-10-24,11
2016-10-25,38
2016-10-26,27
2016-10-27,23
2016-10-28,40
2016-10-29,56
2016-10-30,55
2016-10-31,20
2016-11-01,43
2016-11-02,55
2016-11-03,62
2016-11-04,47
2016-11-05,80
2016-11-06,43
2016-11-07,23
2016-11-08,36
2016-11-09,13
2016-11-10,28
2016-11-11,28
2016-11-12,70
2016-11-13,28
2016-11-14,11
2016-11-15,37
2016-11-16,31
2016-11-17,39
2016-11-18,46
2016-11-19,65
2016-11-20,51
2016-11-22,48
2016-11-23,67
2016-11-24,14
2016-11-25,57
2016-11-26,61
2016-11-27,52
2016-11-28,16
2016-11-29,18
2016-11-30,24
2016-12-01,17
2016-12-02,52
2016-12-03,63
2016-12-04,34
2016-12-05,19
2016-12-06,29
2016-12-07,45
2016-12-08,36
2016-12-09,58
2016-12-10,100
2016-12-11,52
2016-12-12,16
2016-12-13,49
2016-12-14,25
2016-12-15,44
2016-12-16,58
2016-12-17,82
2016-12-18,53
2016-12-19,26
2016-12-20,35
2016-12-21,37
2016-12-22,67
2016-12-23,67
2016-12-24,62
2016-12-25,45
2016-12-26,32
2016-12-27,47
2016-12-28,53
2016-12-29,76
2016-12-30,78
2017-01-03,72
2017-01-04,69
2017-01-05,23
2017-01-06,69
2017-01-07,63
2017-01-08,68
2017-01-09,50
2017-01-10,32
2017-01-11,17
2017-01-12,39
2017-01-13,49
2017-01-14,68
2017-01-15,33
2017-01-16,10
2017-01-17,23
2017-01-18,27
2017-01-19,20
2017-01-20,42
2017-01-21,66
2017-01-22,27
2017-01-23,17
2017-01-24,28
2017-01-25,15
2017-01-26,19
2017-01-27,57
2017-01-28,74
2017-01-29,37
2017-01-30,14
2017-01-31,18
2017-02-01,26
2017-02-02,18
2017-02-03,30
2017-02-04,54
2017-02-05,47
2017-02-06,27
2017-02-07,24
2017-02-08,26
2017-02-09,16
2017-02-10,50
2017-02-11,68
2017-02-12,45
2017-02-13,23
2017-02-14,20
2017-02-15,29
2017-02-16,39
2017-02-17,47
2017-02-18,62
2017-02-19,50
2017-02-21,22
2017-02-22,23
2017-02-23,26
