date,visitors
2016-01-05,26
2016-01-06,27
2016-01-07,16
2016-01-08,41
2016-01-09,24
2016-01-10,63
2016-01-12,39
2016-01-13,42
2016-01-14,20
2016-01-15,43
2016-01-16,45
2016-01-17,53
2016-01-19,39
2016-01-20,43
2016-01-21,34
2016-01-22,35
2016-01-23,14
2016-01-24,51
2016-01-25,45
2016-01-26,19
2016-01-27,64
2016-01-28,56
2016-01-29,25
2016-01-30,57
2016-01-31,75
2016-02-02,27
2016-02-03,40
2016-02-04,36
2016-02-05,40
2016-02-06,67
2016-02-07,48
2016-02-09,40
2016-02-10,35
2016-02-11,67
2016-02-12,34
2016-02-13,55
2016-02-14,42
2016-02-16,21
2016-02-17,65
2016-02-18,21
2016-02-19,56
2016-02-20,39
2016-02-21,38
2016-02-23,47
2016-02-24,21
2016-02-25,66
2016-02-26,37
2016-02-27,65
2016-02-28,46
2016-02-29,47
2016-03-01,56
2016-03-02,42
2016-03-03,29
2016-03-04,40
2016-03-05,72
2016-03-06,73
2016-03-08,33
2016-03-09,23
2016-03-10,42
2016-03-11,20
2016-03-12,62
2016-03-15,42
2016-03-16,66
2016-03-17,59
2016-03-18,60
2016-03-19,64
2016-03-20,84
2016-03-22,66
2016-03-23,54
2016-03-24,39
2016-03-25,111
2016-03-26,51
2016-03-27,76
2016-03-29,64
2016-03-30,61
2016-03-31,45
2016-04-01,69
2016-04-02,86
2016-04-03,72
2016-04-05,26
2016-04-06,64
2016-04-07,34
2016-04-08,51
2016-04-09,83
2016-04-10,45
2016-04-12,48
2016-04-13,36
2016-04-14,23
2016-04-15,36
2016-04-16,40
2016-04-19,51
2016-04-20,30
2016-04-21,33
2016-04-22,47
2016-04-23,72
2016-04-24,68
2016-04-26,36
2016-04-27,41
2016-04-28,43
2016-04-29,62
2016-04-30,62
2016-05-01,53
2016-05-03,57
2016-05-04,49
2016-05-05,67
2016-05-06,28
2016-05-07,53
2016-05-08,53
2016-05-10,12
2016-05-11,38
2016-05-12,47
