date,visitors
2016-01-06,8
2016-01-07,21
2016-01-08,65
2016-01-09,28
2016-01-10,42
2016-01-11,21
2016-01-12,19
2016-01-13,31
2016-01-14,25
2016-01-15,47
2016-01-16,55
2016-01-19,22
2016-01-20,40
2016-01-21,51
2016-01-22,39
2016-01-23,118
2016-01-24,32
2016-01-26,52
2016-01-27,8
2016-01-28,42
2016-01-29,16
2016-01-30,48
2016-01-31,33
2016-02-02,25
2016-02-03,65
2016-02-04,24
2016-02-05,21
2016-02-06,31
2016-02-07,35
2016-02-09,26
2016-02-10,25
2016-02-11,28
2016-02-12,27
2016-02-13,41
2016-02-14,66
2016-02-16,26
2016-02-17,54
2016-02-18,33
2016-02-19,39
2016-02-20,40
2016-02-21,24
2016-02-23,23
2016-02-24,24
2016-02-25,34
2016-02-26,29
2016-02-27,42
2016-02-28,47
2016-03-01,39
2016-03-02,40
2016-03-03,34
2016-03-04,39
2016-03-05,42
2016-03-06,21
2016-03-08,27
2016-03-09,21
2016-03-10,43
2016-03-11,32
2016-03-12,35
2016-03-13,54
2016-03-15,32
2016-03-16,39
2016-03-17,46
2016-03-18,40
2016-03-19,43
2016-03-20,35
2016-03-22,50
2016-03-23,36
2016-03-24,47
2016-03-25,38
2016-03-26,22
2016-03-27,44
2016-03-28,31
2016-03-30,34
2016-03-31,41
2016-04-01,6
2016-04-02,36
2016-04-03,54
2016-04-04,39
2016-04-05,21
2016-04-06,21
2016-04-07,18
2016-04-08,20
2016-04-09,32
2016-04-10,25
2016-04-12,24
2016-04-13,17
2016-04-14,31
2016-04-15,15
2016-04-16,22
2016-04-17,45
2016-04-19,37
2016-04-20,45
2016-04-21,21
2016-04-22,26
2016-04-23,27
2016-04-24,53
2016-04-26,16
2016-04-27,43
2016-04-28,31
2016-04-29,28
2016-04-30,38
2016-05-01,32
2016-05-03,42
2016-05-04,17
2016-05-05,37
2016-05-06,16
2016-05-07,12
2016-05-08,22
2016-05-10,23
2016-05-11,30
2016-05-12,32
2016-05-13,22
2016-05-14,38
2016-05-15,22
2016-05-17,13
2016-05-18,14
2016-05-19,38
2016-05-20,36
2016-05-21,47
2016-05-22,41
2016-05-24,26
2016-05-25,34
2016-05-26,36
2016-05-27,8
2016-05-28,51
2016-05-29,27
2016-05-31,18
2016-06-01,10
2016-06-02,25
2016-06-03,24
2016-06-04,30
2016-06-05,36
2016-06-07,14
2016-06-08,18
2016-06-09,29
2016-06-10,28
2016-06-11,48
2016-06-12,33
2016-06-14,33
2016-06-15,26
