date,visitors
2016-01-02,24
2016-01-03,8
2016-01-04,2
2016-01-05,14
2016-01-06,13
2016-01-07,1
2016-01-08,32
2016-01-09,35
2016-01-10,26
2016-01-12,24
2016-01-13,31
2016-01-14,22
2016-01-15,13
2016-01-16,28
2016-01-17,17
2016-01-19,7
2016-01-20,30
2016-01-21,20
2016-01-22,25
2016-01-23,29
2016-01-24,6
2016-01-26,27
2016-01-27,26
2016-01-28,12
2016-01-29,28
2016-01-30,31
2016-01-31,15
2016-02-02,9
2016-02-03,9
2016-02-04,12
2016-02-05,35
2016-02-06,37
2016-02-07,27
2016-02-09,34
2016-02-10,42
2016-02-11,30
2016-02-12,10
2016-02-13,47
2016-02-14,17
2016-02-16,35
2016-02-17,36
2016-02-18,17
2016-02-19,27
2016-02-20,21
2016-02-21,27
2016-02-23,28
2016-02-24,38
2016-02-25,20
2016-02-26,17
2016-02-27,28
2016-02-28,23
2016-03-01,12
2016-03-02,30
2016-03-03,12
2016-03-04,24
2016-03-05,25
2016-03-06,28
2016-03-08,20
2016-03-09,33
2016-03-10,22
2016-03-11,23
2016-03-12,32
2016-03-13,12
2016-03-15,43
2016-03-16,21
2016-03-17,17
2016-03-18,15
2016-03-19,23
2016-03-22,19
2016-03-23,41
2016-03-24,21
2016-03-25,35
2016-03-26,18
2016-03-27,10
2016-03-29,34
2016-03-30,17
2016-03-31,18
2016-04-01,28
2016-04-02,19
2016-04-03,33
2016-04-05,9
2016-04-06,42
2016-04-07,26
2016-04-08,39
2016-04-09,26
2016-04-10,31
2016-04-12,23
2016-04-13,31
2016-04-14,29
2016-04-15,29
2016-04-16,35
2016-04-17,14
2016-04-19,24
2016-04-20,22
2016-04-21,31
2016-04-22,18
2016-04-23,14
2016-04-24,27
2016-04-26,31
2016-04-27,21
2016-04-28,14
2016-04-29,22
2016-04-30,27
2016-05-01,40
2016-05-03,40
2016-05-04,19
2016-05-05,18
2016-05-06,7
2016-05-07,26
2016-05-08,25
2016-05-11,35
2016-05-12,23
2016-05-13,17
2016-05-14,26
2016-05-15,22
2016-05-17,15
2016-05-18,6
2016-05-19,19
2016-05-20,17
2016-05-21,34
2016-05-22,7
2016-05-23,7
2016-05-24,22
2016-05-25,11
2016-05-26,14
2016-05-27,25
2016-05-28,38
2016-05-29,20
2016-05-31,21
2016-06-01,29
2016-06-02,30
2016-06-03,15
2016-06-04,51
2016-06-05,18
2016-06-07,26
2016-06-08,17
2016-06-09,11
2016-06-10,57
2016-06-11,37
2016-06-12,18
2016-06-14,12
2016-06-15,22
2016-06-16,21
2016-06-17,35
2016-06-18,36
2016-06-19,8
2016-06-21,15
2016-06-22,17
2016-06-23,11
2016-06-24,17
2016-06-25,38
2016-06-26,21
2016-06-28,17
2016-06-29,32
2016-06-30,10
2016-07-01,24
2016-07-02,23
2016-07-03,42
2016-07-05,12
2016-07-06,21
2016-07-07,20
2016-07-08,10
2016-07-09,36
2016-07-10,19
2016-07-12,2
2016-07-13,32
2016-07-14,40
2016-07-15,27
2016-07-16,32
2016-07-17,24
2016-07-19,21
2016-07-20,17
2016-07-21,30
2016-07-22,34
2016-07-23,18
2016-07-24,24
2016-07-26,26
2016-07-27,29
2016-07-28,23
2016-07-29,33
2016-07-30,22
2016-07-31,15
2016-08-02,16
2016-08-03,42
2016-08-04,26
2016-08-05,33
2016-08-06,37
2016-08-07,25
2016-08-09,20
2016-08-10,21
2016-08-11,27
2016-08-12,18
2016-08-13,40
2016-08-14,16
2016-08-16,18
2016-08-17,35
2016-08-18,30
2016-08-19,20
2016-08-20,29
2016-08-21,16
2016-08-23,41
2016-08-24,24
2016-08-25,32
2016-08-26,19
2016-08-27,26
2016-08-30,8
2016-08-31,23
2016-09-01,15
2016-09-02,6
2016-09-03,26
2016-09-04,38
2016-09-06,33
2016-09-07,14
2016-09-08,14
2016-09-09,10
2016-09-10,30
2016-09-11,33
2016-09-13,20
2016-09-14,17
2016-09-15,23
2016-09-16,15
2016-09-17,38
2016-09-18,31
2016-09-20,30
2016-09-21,34
2016-09-22,21
2016-09-23,32
2016-09-24,21
2016-09-25,24
2016-09-29,11
2016-09-30,39
2016-10-01,26
2016-10-02,30
2016-10-04,20
2016-10-05,14
2016-10-06,30
2016-10-07,25
2016-10-08,36
2016-10-09,21
2016-10-11,16
2016-10-12,26
2016-10-13,13
2016-10-14,19
2016-10-15,31
2016-10-16,19
2016-10-18,24
