date,visitors
2016-07-01,36
2016-07-02,36
2016-07-03,19
2016-07-04,22
2016-07-06,17
2016-07-07,18
2016-07-08,31
2016-07-09,33
2016-07-10,13
2016-07-11,14
2016-07-12,32
2016-07-13,19
2016-07-14,19
2016-07-15,27
2016-07-16,21
2016-07-17,17
2016-07-18,18
2016-07-20,45
2016-07-21,33
2016-07-22,15
2016-07-23,34
2016-07-24,36
2016-07-25,27
2016-07-27,10
2016-07-28,18
2016-07-29,12
2016-07-30,26
2016-07-31,12
2016-08-01,13
2016-08-03,32
2016-08-04,16
2016-08-05,28
2016-08-06,17
2016-08-08,10
2016-08-10,20
2016-08-11,22
2016-08-12,25
2016-08-13,21
2016-08-14,11
2016-08-15,21
2016-08-17,16
2016-08-18,25
2016-08-19,30
2016-08-20,37
2016-08-21,9
2016-08-22,2
2016-08-24,11
2016-08-25,18
2016-08-26,27
2016-08-27,16
2016-08-28,20
2016-08-29,23
2016-08-30,5
2016-08-31,17
2016-09-01,40
2016-09-02,31
2016-09-03,16
2016-09-04,16
2016-09-05,20
2016-09-06,22
2016-09-07,16
2016-09-08,15
2016-09-09,27
2016-09-10,28
2016-09-11,8
2016-09-12,24
2016-09-14,9
2016-09-15,13
2016-09-16,16
2016-09-17,15
2016-09-18,33
2016-09-19,20
2016-09-21,27
2016-09-22,10
2016-09-23,17
2016-09-24,26
2016-09-25,25
2016-09-26,17
2016-09-28,12
2016-09-29,19
2016-09-30,15
2016-10-01,29
2016-10-02,16
2016-10-03,16
2016-10-05,18
2016-10-06,28
2016-10-07,38
2016-10-08,28
2016-10-09,20
2016-10-10,17
2016-10-12,21
2016-10-13,23
2016-10-14,35
2016-10-15,28
2016-10-16,28
2016-10-17,17
2016-10-18,24
2016-10-19,13
2016-10-20,36
2016-10-21,36
2016-10-22,40
2016-10-23,27
2016-10-24,14
2016-10-26,48
2016-10-27,14
2016-10-28,8
2016-10-29,19
2016-10-30,16
2016-10-31,34
2016-11-02,25
2016-11-03,29
2016-11-04,24
2016-11-05,35
2016-11-06,18
2016-11-07,15
2016-11-09,21
2016-11-10,19
2016-11-11,23
2016-11-12,43
2016-11-13,19
2016-11-14,16
2016-11-16,23
2016-11-17,22
2016-11-18,20
2016-11-19,17
2016-11-20,28
2016-11-21,23
2016-11-22,8
2016-11-23,37
2016-11-24,11
2016-11-25,25
2016-11-26,27
2016-11-27,8
2016-11-28,23
2016-11-29,25
2016-11-30,21
2016-12-01,5
2016-12-02,24
2016-12-03,41
2016-12-04,23
2016-12-05,12
2016-12-07,8
2016-12-08,22
2016-12-09,31
2016-12-10,40
2016-12-11,36
2016-12-12,18
2016-12-14,33
2016-12-15,21
2016-12-16,40
2016-12-17,21
2016-12-18,11
2016-12-19,23
2016-12-21,21
2016-12-22,43
2016-12-23,50
2016-12-24,34
2016-12-25,14
2016-12-26,32
2016-12-27,10
2016-12-28,30
2016-12-29,1
2017-01-06,18
2017-01-07,21
2017-01-08,8
2017-01-09,19
2017-01-11,31
2017-01-12,15
2017-01-13,21
2017-01-14,51
2017-01-15,19
2017-01-16,26
2017-01-17,1
2017-01-18,8
2017-01-19,23
2017-01-20,37
2017-01-21,16
2017-01-22,23
2017-01-23,34
2017-01-25,33
2017-01-26,15
2017-01-27,34
2017-01-28,41
2017-01-29,30
2017-01-30,23
2017-02-01,31
2017-02-02,12
2017-02-03,25
2017-02-04,30
2017-02-05,7
2017-02-06,14
2017-02-07,1
2017-02-08,21
2017-02-09,7
2017-02-10,16
2017-02-11,27
2017-02-12,13
2017-02-13,21
2017-02-15,27
2017-02-16,24
2017-02-17,11
2017-02-18,28
2017-02-19,18
2017-02-20,19
2017-02-21,1
2017-02-22,19
2017-02-23,5
2017-02-24,45
