date,visitors
2017-02-01,11
2017-02-02,20
2017-02-03,30
2017-02-04,41
2017-02-05,28
2017-02-06,8
2017-02-07,14
2017-02-08,11
2017-02-09,24
2017-02-10,24
2017-02-11,37
2017-02-12,19
2017-02-13,10
2017-02-14,15
2017-02-15,15
2017-02-16,17
2017-02-17,14
2017-02-18,37
2017-02-19,22
2017-02-20,12
2017-02-21,19
2017-02-22,4
2017-02-23,19
2017-02-24,20
2017-02-25,48
2017-02-26,28
2017-02-27,5
2017-02-28,25
2017-03-01,23
2017-03-02,9
2017-03-03,22
2017-03-04,17
2017-03-05,42
2017-03-06,21
2017-03-07,6
2017-03-08,16
2017-03-09,21
2017-03-10,23
2017-03-11,36
2017-03-12,30
2017-03-13,8
2017-03-14,8
2017-03-15,15
2017-03-16,5
2017-03-17,14
2017-03-18,36
2017-03-19,20
2017-03-20,22
2017-03-21,5
2017-03-22,9
2017-03-23,10
2017-03-24,17
2017-03-25,42
2017-03-26,49
2017-03-27,16
2017-03-28,34
2017-03-29,17
2017-03-30,36
2017-03-31,6
2017-04-01,39
2017-04-02,46
2017-04-03,10
2017-04-04,26
2017-04-05,15
