date,visitors
2016-01-06,6
2016-01-07,10
2016-01-08,8
2016-01-09,8
2016-01-10,1
2016-01-13,16
2016-01-14,29
2016-01-15,9
2016-01-16,6
2016-01-17,1
2016-01-19,12
2016-01-20,12
2016-01-21,13
2016-01-22,5
2016-01-24,5
2016-01-25,8
2016-01-26,20
2016-01-27,15
2016-01-28,9
2016-01-29,5
2016-01-30,4
2016-02-01,5
2016-02-02,9
2016-02-03,10
2016-02-04,7
2016-02-05,6
2016-02-06,12
2016-02-07,10
2016-02-08,4
2016-02-09,7
2016-02-10,3
2016-02-11,17
2016-02-13,13
2016-02-14,4
2016-02-15,7
2016-02-16,22
2016-02-17,14
2016-02-18,12
2016-02-19,23
2016-02-20,20
2016-02-21,25
2016-02-22,4
2016-02-23,14
2016-02-24,2
2016-02-25,33
2016-02-26,9
2016-02-27,11
2016-02-28,1
2016-03-01,1
2016-03-02,5
2016-03-03,7
2016-03-04,12
2016-03-05,6
2016-03-06,3
2016-03-08,12
2016-03-10,5
2016-03-11,22
2016-03-12,10
2016-03-13,5
2016-03-15,13
2016-03-16,9
2016-03-17,13
2016-03-18,5
2016-03-19,9
2016-03-22,2
2016-03-23,18
2016-03-24,4
2016-03-25,17
2016-03-26,8
2016-03-27,8
2016-03-29,7
2016-03-30,9
2016-03-31,16
2016-04-01,3
2016-04-02,16
2016-04-03,8
2016-04-04,2
2016-04-05,9
2016-04-06,16
2016-04-07,7
2016-04-09,16
2016-04-10,9
2016-04-11,8
2016-04-12,3
2016-04-14,12
2016-04-15,19
2016-04-16,3
2016-04-17,4
2016-04-18,1
2016-04-19,12
2016-04-20,9
2016-04-21,1
2016-04-22,5
2016-04-23,15
2016-04-24,10
2016-04-26,3
2016-04-27,9
2016-04-28,13
2016-04-29,3
2016-05-03,17
2016-05-06,3
2016-05-07,5
2016-05-08,3
2016-05-10,4
2016-05-11,15
2016-05-12,3
2016-05-13,8
2016-05-14,14
2016-05-15,5
2016-05-17,6
2016-05-18,17
2016-05-19,10
2016-05-20,8
2016-05-21,6
2016-05-22,9
2016-05-23,4
2016-05-24,4
2016-05-25,21
2016-05-26,21
2016-05-27,16
2016-05-28,12
2016-05-29,4
2016-05-30,3
2016-05-31,14
2016-06-01,1
2016-06-02,10
2016-06-03,9
2016-06-05,3
2016-06-06,3
2016-06-07,13
2016-06-08,6
2016-06-10,7
2016-06-11,15
2016-06-12,10
2016-06-14,7
2016-06-15,9
2016-06-16,6
2016-06-17,11
2016-06-18,18
2016-06-19,6
2016-06-20,1
2016-06-21,16
2016-06-22,13
2016-06-23,18
2016-06-25,7
2016-06-26,3
2016-06-27,1
2016-06-28,6
2016-06-29,10
2016-07-01,2
2016-07-02,25
2016-07-05,4
2016-07-06,17
2016-07-07,17
2016-07-08,2
2016-07-09,7
2016-07-11,3
2016-07-12,1
2016-07-13,11
2016-07-14,8
2016-07-15,9
2016-07-16,4
2016-07-17,11
2016-07-20,15
2016-07-21,7
2016-07-22,7
2016-07-23,3
2016-07-24,4
2016-07-26,20
2016-07-27,6
2016-07-28,3
2016-07-29,12
2016-07-30,18
2016-07-31,3
2016-08-02,8
2016-08-03,4
2016-08-04,14
2016-08-05,5
2016-08-06,2
2016-08-09,8
2016-08-10,5
2016-08-11,3
2016-08-17,3
2016-08-18,2
2016-08-19,7
2016-08-20,21
2016-08-22,2
2016-08-23,7
2016-08-24,4
2016-08-25,11
2016-08-26,7
2016-08-27,6
2016-08-28,5
2016-08-29,6
2016-08-30,14
2016-08-31,10
2016-09-01,15
2016-09-02,5
2016-09-03,21
2016-09-04,6
2016-09-06,4
2016-09-07,9
2016-09-08,4
2016-09-09,3
2016-09-10,16
2016-09-11,11
2016-09-14,5
2016-09-15,10
2016-09-16,13
2016-09-17,5
2016-09-18,2
2016-09-20,2
2016-09-21,2
2016-09-22,9
2016-09-23,1
2016-09-24,7
2016-09-25,13
2016-09-26,2
2016-09-27,4
2016-09-28,17
2016-09-29,16
2016-09-30,19
2016-10-01,13
2016-10-04,11
2016-10-05,4
2016-10-06,8
2016-10-07,10
2016-10-08,9
2016-10-11,3
2016-10-12,5
2016-10-13,14
2016-10-14,12
2016-10-15,33
2016-10-16,8
2016-10-17,2
2016-10-18,6
2016-10-19,12
2016-10-21,18
2016-10-22,11
2016-10-23,3
2016-10-25,4
2016-10-26,15
2016-10-27,9
2016-10-28,10
2016-10-29,16
2016-10-30,13
2016-10-31,21
2016-11-01,4
2016-11-02,10
2016-11-03,8
2016-11-04,4
2016-11-05,5
2016-11-07,5
2016-11-08,9
2016-11-09,14
2016-11-11,13
2016-11-12,14
2016-11-14,6
2016-11-15,8
2016-11-16,9
2016-11-17,10
2016-11-18,9
2016-11-19,1
2016-11-20,6
2016-11-22,4
2016-11-23,4
2016-11-25,6
2016-11-26,11
2016-11-27,5
2016-11-28,3
2016-11-29,4
2016-11-30,8
2016-12-01,24
2016-12-02,13
2016-12-03,29
2016-12-08,10
2016-12-09,15
2016-12-10,17
2016-12-11,2
2016-12-12,1
2016-12-15,7
2016-12-16,10
2016-12-17,21
2016-12-18,4
2016-12-20,27
2016-12-21,11
2016-12-22,17
2016-12-23,5
2016-12-24,2
2016-12-25,4
2016-12-26,5
2016-12-27,16
2016-12-28,13
2016-12-29,5
2016-12-30,3
2017-01-11,7
2017-01-12,11
2017-01-13,23
2017-01-14,10
2017-01-17,5
2017-01-18,5
2017-01-19,2
2017-01-21,11
2017-01-22,12
