date,visitors
2016-07-01,45
2016-07-02,33
2016-07-03,31
2016-07-04,18
2016-07-05,31
2016-07-06,20
2016-07-07,23
2016-07-08,41
2016-07-09,47
2016-07-10,30
2016-07-11,14
2016-07-12,8
2016-07-13,25
2016-07-14,31
2016-07-15,33
2016-07-16,30
2016-07-17,33
2016-07-18,11
2016-07-19,30
2016-07-20,27
2016-07-21,16
2016-07-22,56
2016-07-23,33
2016-07-24,30
2016-07-25,20
2016-07-26,27
2016-07-27,29
2016-07-28,29
2016-07-29,47
2016-07-30,53
2016-07-31,34
2016-08-01,1
2016-08-02,19
2016-08-03,28
2016-08-04,25
2016-08-05,29
2016-08-06,25
2016-08-07,24
2016-08-09,34
2016-08-10,46
2016-08-11,22
2016-08-12,42
2016-08-13,48
2016-08-14,32
2016-08-15,33
2016-08-17,28
2016-08-18,21
2016-08-19,31
2016-08-21,49
2016-08-23,14
2016-08-24,18
2016-08-25,25
2016-08-26,4
2016-08-28,90
2016-08-30,30
2016-08-31,24
2016-09-01,15
2016-09-02,39
2016-09-03,33
2016-09-04,28
2016-09-05,30
2016-09-06,28
2016-09-07,27
2016-09-08,5
2016-09-09,34
2016-09-10,38
2016-09-11,30
2016-09-13,14
2016-09-14,27
2016-09-15,26
2016-09-16,40
2016-09-17,43
2016-09-18,30
2016-09-19,13
2016-09-20,33
2016-09-21,34
2016-09-22,18
2016-09-23,30
2016-09-24,42
2016-09-25,20
2016-09-26,15
2016-09-27,34
2016-09-28,24
2016-09-29,27
2016-09-30,27
2016-10-01,39
2016-10-02,23
2016-10-03,4
2016-10-04,14
2016-10-05,27
2016-10-06,27
2016-10-07,46
2016-10-08,24
2016-10-09,31
2016-10-10,17
2016-10-11,24
2016-10-12,20
2016-10-13,18
2016-10-14,46
2016-10-15,33
2016-10-16,13
2016-10-17,31
2016-10-18,20
2016-10-19,13
2016-10-20,27
2016-10-21,37
2016-10-22,42
2016-10-23,20
2016-10-24,26
2016-10-25,28
2016-10-26,26
2016-10-27,11
2016-10-28,39
2016-10-29,35
2016-10-30,23
2016-10-31,22
2016-11-01,6
2016-11-02,41
2016-11-03,39
2016-11-04,17
2016-11-05,31
2016-11-06,25
2016-11-07,28
2016-11-08,20
2016-11-09,29
2016-11-10,8
2016-11-11,32
2016-11-12,34
2016-11-13,19
2016-11-14,8
2016-11-15,24
2016-11-16,37
2016-11-17,12
2016-11-18,32
2016-11-19,38
2016-11-20,14
2016-11-21,11
2016-11-22,32
2016-11-23,23
2016-11-24,12
2016-11-25,42
2016-11-26,35
2016-11-27,14
2016-11-28,21
2016-11-29,12
2016-11-30,27
2016-12-02,42
2016-12-03,46
2016-12-04,28
2016-12-05,16
2016-12-06,29
2016-12-07,18
2016-12-08,26
2016-12-09,59
2016-12-10,53
2016-12-11,33
2016-12-12,20
2016-12-13,22
2016-12-14,37
2016-12-15,32
2016-12-16,43
2016-12-17,54
2016-12-18,34
2016-12-19,18
2016-12-20,4
2016-12-21,34
2016-12-22,64
2016-12-23,40
2016-12-24,39
2016-12-25,37
2016-12-26,23
2016-12-27,44
2016-12-28,46
2016-12-29,61
2016-12-30,50
2017-01-02,30
2017-01-03,38
2017-01-04,23
2017-01-05,30
2017-01-06,27
2017-01-07,40
2017-01-08,25
2017-01-09,4
2017-01-10,9
2017-01-11,12
2017-01-12,7
2017-01-13,37
2017-01-14,30
2017-01-16,7
2017-01-17,13
2017-01-18,18
2017-01-19,10
2017-01-20,28
2017-01-21,39
2017-01-22,19
2017-01-23,30
2017-01-24,14
2017-01-25,13
2017-01-26,36
2017-01-27,30
2017-01-28,44
2017-01-29,17
2017-01-30,11
2017-01-31,17
2017-02-01,8
2017-02-02,9
2017-02-03,36
2017-02-04,31
2017-02-05,11
2017-02-06,15
2017-02-07,15
2017-02-08,12
2017-02-09,24
2017-02-10,31
2017-02-11,32
2017-02-12,26
2017-02-13,12
2017-02-14,25
2017-02-15,36
2017-02-16,21
2017-02-17,39
2017-02-18,36
2017-02-20,25
2017-02-21,26
2017-02-22,11
2017-02-23,20
