date,visitors
2016-07-01,17
2016-07-02,11
2016-07-04,6
2016-07-05,8
2016-07-06,12
2016-07-07,17
2016-07-08,12
2016-07-09,3
2016-07-11,17
2016-07-12,3
2016-07-13,7
2016-07-14,6
2016-07-15,15
2016-07-16,5
2016-07-18,4
2016-07-19,12
2016-07-20,5
2016-07-21,10
2016-07-22,14
2016-07-23,5
2016-07-25,1
2016-07-26,7
2016-07-27,3
2016-07-28,6
2016-07-29,14
2016-07-30,4
2016-08-01,6
2016-08-02,8
2016-08-03,19
2016-08-04,4
2016-08-05,14
2016-08-06,5
2016-08-08,4
2016-08-09,5
2016-08-10,5
2016-08-12,8
2016-08-17,9
2016-08-18,12
2016-08-19,6
2016-08-20,6
2016-08-21,1
2016-08-22,8
2016-08-23,10
2016-08-24,6
2016-08-25,4
2016-08-26,10
2016-08-27,5
2016-08-29,4
2016-08-30,5
2016-08-31,7
2016-09-01,3
2016-09-02,15
2016-09-03,6
2016-09-05,7
2016-09-06,8
2016-09-07,4
2016-09-08,2
2016-09-09,22
2016-09-12,6
2016-09-13,3
2016-09-14,3
2016-09-15,5
2016-09-16,1
2016-09-17,7
2016-09-18,3
2016-09-19,3
2016-09-21,18
2016-09-22,2
2016-09-23,21
2016-09-24,4
2016-09-26,8
2016-09-27,4
2016-09-28,17
2016-09-29,4
2016-09-30,9
2016-10-01,4
2016-10-02,2
2016-10-03,3
2016-10-04,6
2016-10-05,4
2016-10-06,13
2016-10-07,8
2016-10-09,1
2016-10-11,4
2016-10-12,6
2016-10-13,8
2016-10-14,15
2016-10-15,14
2016-10-16,2
2016-10-18,8
2016-10-19,3
2016-10-20,3
2016-10-21,21
2016-10-24,10
2016-10-25,5
2016-10-26,11
2016-10-27,3
2016-10-28,13
2016-10-29,6
2016-10-31,3
2016-11-01,2
2016-11-02,12
2016-11-03,2
2016-11-04,13
2016-11-05,2
2016-11-07,4
2016-11-08,10
2016-11-09,13
2016-11-10,3
2016-11-11,27
2016-11-12,8
2016-11-13,3
2016-11-14,2
2016-11-15,9
2016-11-16,1
2016-11-17,4
2016-11-18,28
2016-11-19,1
2016-11-22,13
2016-11-23,2
2016-11-24,2
2016-11-25,15
2016-11-26,12
2016-11-28,15
2016-11-29,2
2016-11-30,3
2016-12-01,2
2016-12-02,18
2016-12-03,15
2016-12-05,9
2016-12-06,4
2016-12-07,6
2016-12-08,10
2016-12-09,16
2016-12-10,5
2016-12-12,4
2016-12-13,7
2016-12-14,2
2016-12-15,5
2016-12-16,15
2016-12-17,3
2016-12-18,4
2016-12-19,14
2016-12-20,11
2016-12-21,10
2016-12-22,11
2016-12-23,6
2016-12-24,11
2016-12-26,13
2016-12-27,15
2016-12-28,16
2016-12-29,1
2017-01-05,1
2017-01-06,7
2017-01-07,9
2017-01-08,2
2017-01-10,2
2017-01-11,7
2017-01-12,14
2017-01-13,19
2017-01-14,1
2017-01-16,2
2017-01-17,6
2017-01-18,2
2017-01-19,3
2017-01-20,9
2017-01-22,9
2017-01-23,2
2017-01-24,13
2017-01-25,13
2017-01-26,2
2017-01-27,21
2017-01-28,5
2017-01-29,4
2017-01-30,2
2017-01-31,8
2017-02-01,10
2017-02-02,12
2017-02-03,9
2017-02-04,4
2017-02-05,5
2017-02-06,7
2017-02-07,13
2017-02-08,2
2017-02-09,17
2017-02-10,10
2017-02-11,3
2017-02-13,6
2017-02-14,6
2017-02-15,11
2017-02-16,8
2017-02-17,22
2017-02-18,4
2017-02-19,4
2017-02-20,3
