date,visitors
2016-07-01,7
2016-07-02,19
2016-07-03,19
2016-07-05,3
2016-07-06,8
2016-07-07,11
2016-07-09,8
2016-07-10,19
2016-07-12,8
2016-07-13,15
2016-07-14,9
2016-07-15,5
2016-07-16,1
2016-07-17,18
2016-07-20,16
2016-07-21,2
2016-07-22,6
2016-07-23,9
2016-07-24,23
2016-07-26,6
2016-07-27,21
2016-07-28,9
2016-07-29,2
2016-07-30,15
2016-07-31,16
2016-08-02,1
2016-08-03,2
2016-08-04,4
2016-08-05,18
2016-08-06,8
2016-08-07,15
2016-08-09,14
2016-08-10,3
2016-08-11,6
2016-08-12,1
2016-08-13,9
2016-08-14,7
2016-08-20,9
2016-08-21,11
2016-08-23,4
2016-08-24,14
2016-08-26,15
2016-08-27,10
2016-08-28,13
2016-08-30,1
2016-08-31,10
2016-09-01,9
2016-09-02,6
2016-09-03,14
2016-09-04,16
2016-09-06,6
2016-09-07,6
2016-09-08,11
2016-09-09,8
2016-09-10,18
2016-09-11,24
2016-09-13,6
2016-09-14,3
2016-09-15,10
2016-09-17,1
2016-09-18,23
2016-09-22,28
2016-09-24,2
2016-09-25,14
2016-09-27,2
2016-09-28,5
2016-09-29,10
2016-09-30,5
2016-10-01,1
2016-10-02,7
2016-10-05,12
2016-10-06,8
2016-10-07,7
2016-10-08,9
2016-10-09,2
2016-10-12,1
2016-10-13,5
2016-10-14,6
2016-10-15,8
2016-10-16,7
2016-10-18,4
2016-10-19,11
2016-10-20,7
2016-10-21,8
2016-10-22,4
2016-10-23,7
2016-10-25,6
2016-10-26,12
2016-10-27,4
2016-10-28,6
2016-10-29,2
2016-10-30,16
2016-11-01,16
2016-11-02,3
2016-11-03,13
2016-11-04,6
2016-11-05,11
2016-11-09,5
2016-11-10,15
2016-11-11,2
2016-11-12,13
2016-11-13,28
2016-11-15,3
2016-11-16,3
2016-11-17,11
2016-11-18,12
2016-11-19,2
2016-11-20,15
2016-11-22,3
2016-11-23,1
2016-11-25,3
2016-11-26,11
2016-11-27,12
2016-11-29,10
2016-11-30,2
2016-12-01,19
2016-12-02,3
2016-12-03,13
2016-12-04,9
2016-12-06,13
2016-12-07,12
2016-12-08,9
2016-12-09,6
2016-12-10,16
2016-12-11,24
2016-12-13,14
2016-12-14,4
2016-12-15,4
2016-12-16,7
2016-12-17,4
2016-12-18,17
2016-12-21,2
2016-12-22,11
2016-12-23,3
2016-12-24,10
2016-12-25,10
2016-12-28,5
2016-12-29,4
2016-12-30,26
2016-12-31,17
2017-01-05,5
2017-01-06,11
2017-01-07,10
2017-01-08,18
2017-01-10,4
2017-01-11,10
2017-01-12,3
2017-01-14,11
2017-01-15,4
2017-01-17,2
2017-01-18,10
2017-01-19,4
2017-01-21,8
2017-01-22,10
2017-01-24,3
2017-01-25,7
2017-01-26,4
2017-01-27,12
2017-01-28,1
2017-01-29,11
2017-01-31,3
2017-02-01,4
2017-02-02,14
2017-02-03,7
2017-02-04,10
2017-02-05,13
2017-02-07,11
2017-02-08,4
2017-02-09,8
2017-02-10,14
2017-02-11,3
2017-02-12,10
