date,visitors
2016-01-07,9
2016-01-08,9
2016-01-09,9
2016-01-12,3
2016-01-13,10
2016-01-14,10
2016-01-15,8
2016-01-16,10
2016-01-17,3
2016-01-20,8
2016-01-21,9
2016-01-22,8
2016-01-23,7
2016-01-24,4
2016-01-26,10
2016-01-27,10
2016-01-28,6
2016-01-29,9
2016-01-30,12
2016-01-31,12
2016-02-02,5
2016-02-03,6
2016-02-04,9
2016-02-05,6
2016-02-06,12
2016-02-07,11
2016-02-09,9
2016-02-10,10
2016-02-11,13
2016-02-12,17
2016-02-13,21
2016-02-14,6
2016-02-16,4
2016-02-17,9
2016-02-18,10
2016-02-19,13
2016-02-20,14
2016-02-21,2
2016-02-22,1
2016-02-23,2
2016-02-24,2
2016-02-25,8
2016-02-26,12
2016-02-27,7
2016-02-28,6
2016-03-01,6
2016-03-02,5
2016-03-03,17
2016-03-04,9
2016-03-05,8
2016-03-06,4
2016-03-07,1
2016-03-08,2
2016-03-09,11
2016-03-10,13
2016-03-11,12
2016-03-12,19
2016-03-13,17
2016-03-15,10
2016-03-16,1
2016-03-17,8
2016-03-18,10
2016-03-19,12
2016-03-20,9
2016-03-22,7
2016-03-23,6
2016-03-24,9
2016-03-25,22
2016-03-26,14
2016-03-27,25
2016-03-29,14
2016-03-30,19
2016-03-31,28
2016-04-01,15
2016-04-02,19
2016-04-05,8
2016-04-06,11
2016-04-07,11
2016-04-12,8
2016-04-13,12
2016-04-14,15
2016-04-15,10
2016-04-16,19
2016-04-19,12
2016-04-20,11
2016-04-21,8
2016-04-22,11
2016-04-23,21
2016-04-24,1
2016-04-26,8
2016-04-27,9
2016-04-28,13
2016-04-29,8
2016-04-30,12
2016-05-10,5
2016-05-11,9
2016-05-12,4
2016-05-13,5
2016-05-14,7
2016-05-17,12
2016-05-18,5
2016-05-19,7
2016-05-20,4
2016-05-21,16
2016-05-24,11
2016-05-25,4
2016-05-26,4
2016-05-27,8
2016-05-28,7
2016-05-31,5
2016-06-01,10
2016-06-02,18
2016-06-03,8
2016-06-04,7
2016-06-07,5
2016-06-08,7
2016-06-09,12
2016-06-10,8
2016-06-13,1
2016-06-14,7
2016-06-15,12
2016-06-16,9
2016-06-17,2
2016-06-28,97
2016-06-29,11
2016-06-30,10
2016-07-01,5
2016-07-02,9
2016-07-06,8
2016-07-07,10
2016-07-08,3
2016-07-09,8
2016-07-12,9
2016-07-13,9
2016-07-14,9
2016-07-15,9
2016-07-19,4
2016-07-20,4
2016-07-21,12
2016-07-22,10
2016-07-23,10
2016-07-26,5
2016-07-27,7
2016-07-28,12
2016-08-15,3
2016-08-23,8
2016-08-24,4
2016-08-25,9
2016-08-26,3
2016-08-30,5
2016-09-01,7
2016-09-02,5
2016-09-03,9
2016-09-06,3
2016-09-07,5
2016-09-08,7
2016-09-09,3
2016-09-10,3
2016-09-13,6
2016-09-14,7
2016-09-15,6
2016-09-16,7
2016-09-17,6
2016-09-20,5
2016-09-21,4
2016-09-22,31
2016-09-23,3
2016-09-24,2
2016-09-27,2
2016-09-28,8
2016-09-29,4
2016-10-01,6
2016-10-04,3
2016-10-05,4
2016-10-06,7
2016-10-07,6
2016-10-08,11
2016-10-13,6
2016-10-14,5
2016-10-15,8
2016-10-18,3
2016-10-19,6
2016-10-20,4
2016-10-21,1
2016-10-22,7
2016-10-25,8
2016-10-26,2
2016-10-27,10
2016-10-28,6
2016-10-29,9
2016-11-01,1
2016-11-02,1
2016-11-03,2
2016-11-04,2
2016-11-05,1
2016-11-08,4
2016-11-09,3
2016-11-10,3
2016-11-11,7
2016-11-15,5
2016-11-16,4
2016-11-17,7
2016-11-18,5
2016-11-19,6
2016-11-22,2
2016-11-23,39
2016-11-24,6
2016-11-25,5
2016-11-26,6
2016-11-29,2
2016-11-30,12
2016-12-01,8
2016-12-02,11
2016-12-06,1
2016-12-07,5
2016-12-08,3
2016-12-09,5
2016-12-10,2
2016-12-13,4
2016-12-14,8
2016-12-15,8
2016-12-16,7
2016-12-17,13
2016-12-20,5
2016-12-21,8
2016-12-22,5
2016-12-23,3
2016-12-24,11
2016-12-27,7
2016-12-28,3
2017-01-12,9
2017-01-13,3
2017-01-14,7
2017-01-17,1
2017-01-18,5
2017-01-19,3
2017-01-20,3
2017-01-21,4
2017-01-24,1
