date,visitors
2016-07-01,16
2016-07-02,12
2016-07-03,17
2016-07-04,9
2016-07-05,20
2016-07-06,5
2016-07-07,10
2016-07-08,7
2016-07-10,42
2016-07-13,21
2016-07-14,5
2016-07-15,8
2016-07-16,1
2016-07-17,7
2016-07-18,22
2016-07-20,16
2016-07-21,11
2016-07-22,12
2016-07-23,24
2016-07-25,18
2016-07-26,7
2016-07-27,17
2016-07-28,19
2016-07-29,9
2016-07-30,25
2016-07-31,2
2016-08-01,32
2016-08-02,7
2016-08-03,13
2016-08-04,17
2016-08-05,24
2016-08-06,4
2016-08-07,18
2016-08-08,8
2016-08-09,11
2016-08-10,9
2016-08-11,19
2016-08-12,14
2016-08-13,15
2016-08-14,14
2016-08-15,3
2016-08-16,15
2016-08-17,12
2016-08-18,14
2016-08-19,13
2016-08-21,17
2016-08-22,18
2016-08-23,6
2016-08-24,25
2016-08-25,15
2016-08-26,15
2016-08-27,20
2016-08-29,14
2016-09-01,16
2016-09-03,1
2016-09-04,14
2016-09-07,25
2016-09-10,11
2016-09-11,10
2016-09-12,19
2016-09-13,8
2016-09-14,2
2016-09-15,6
2016-09-16,11
2016-09-19,12
2016-09-20,1
2016-09-22,6
2016-09-23,18
2016-09-24,13
2016-09-25,9
2016-09-26,2
2016-09-27,2
2016-09-28,10
2016-09-29,1
2016-09-30,1
2016-10-02,15
2016-10-04,8
2016-10-07,23
2016-10-08,5
2016-10-13,4
2016-10-14,1
2016-10-20,11
2016-10-24,2
2016-10-29,13
2016-10-30,5
2016-11-01,5
2016-11-02,1
2016-11-03,2
2016-11-18,1
2016-11-20,9
2016-11-21,9
2016-11-22,2
2016-11-28,6
2016-11-29,1
2016-12-01,15
2016-12-02,3
2016-12-03,11
2016-12-04,10
2016-12-06,11
2016-12-09,14
2016-12-11,17
2016-12-13,14
2016-12-14,6
2016-12-15,13
2016-12-16,7
2016-12-18,10
2016-12-27,1
2017-01-06,1
2017-01-20,4
2017-01-21,3
2017-01-26,6
2017-01-29,2
2017-01-31,1
2017-02-02,6
2017-02-04,4
2017-02-05,3
2017-02-06,7
2017-02-07,8
2017-02-08,6
2017-02-09,6
2017-02-10,1
2017-02-11,11
2017-02-12,9
2017-02-13,7
2017-02-14,5
2017-02-15,10
2017-02-17,5
2017-02-19,12
2017-02-20,7
2017-02-22,12
2017-02-23,5
2017-02-26,20
2017-02-27,6
2017-03-01,11
2017-03-02,4
2017-03-03,8
2017-03-05,9
2017-03-07,5
2017-03-08,9
