date,visitors
2016-07-01,16
2016-07-02,11
2016-07-03,49
2016-07-06,3
2016-07-07,5
2016-07-08,10
2016-07-09,11
2016-07-10,17
2016-07-13,5
2016-07-14,6
2016-07-15,7
2016-07-16,8
2016-07-17,15
2016-07-20,12
2016-07-22,27
2016-07-23,21
2016-07-24,23
2016-07-27,5
2016-07-28,12
2016-07-29,10
2016-07-30,10
2016-07-31,17
2016-08-03,7
2016-08-04,5
2016-08-05,15
2016-08-06,17
2016-08-07,8
2016-08-10,15
2016-08-11,26
2016-08-12,11
2016-08-13,4
2016-08-14,6
2016-08-17,8
2016-08-18,9
2016-08-19,5
2016-08-20,13
2016-08-21,13
2016-08-24,6
2016-08-25,4
2016-08-26,4
2016-08-27,2
2016-08-28,56
2016-08-31,4
2016-09-01,7
2016-09-02,10
2016-09-03,6
2016-09-04,19
2016-09-07,2
2016-09-08,10
2016-09-09,2
2016-09-10,14
2016-09-11,24
2016-09-14,10
2016-09-15,3
2016-09-16,9
2016-09-17,20
2016-09-18,9
2016-09-21,4
2016-09-22,9
2016-09-23,4
2016-09-24,14
2016-09-25,10
2016-09-28,2
2016-09-29,2
2016-09-30,2
2016-10-01,48
2016-10-02,4
2016-10-05,5
2016-10-06,9
2016-10-07,11
2016-10-08,14
2016-10-09,27
2016-10-12,4
2016-10-13,4
2016-10-14,9
2016-10-15,21
2016-10-16,17
2016-10-19,7
2016-10-20,5
2016-10-21,14
2016-10-22,10
2016-10-23,23
2016-10-26,3
2016-10-27,5
2016-10-28,10
2016-10-29,9
2016-10-30,46
2016-11-02,8
2016-11-03,5
2016-11-04,9
2016-11-05,5
2016-11-06,4
2016-11-09,1
2016-11-10,3
2016-11-11,16
2016-11-12,14
2016-11-16,10
2016-11-17,6
2016-11-18,23
2016-11-19,16
2016-11-20,43
2016-11-23,3
2016-11-24,2
2016-11-25,15
2016-11-26,17
2016-11-27,27
2016-11-30,10
2016-12-01,4
2016-12-02,11
2016-12-03,33
2016-12-04,43
2016-12-07,7
2016-12-08,8
2016-12-09,6
2016-12-10,9
2016-12-11,23
2016-12-14,1
2016-12-15,5
2016-12-16,2
2016-12-17,55
2016-12-18,8
2016-12-21,9
2016-12-22,7
2016-12-23,12
2016-12-24,9
2016-12-25,73
2016-12-26,2
2016-12-27,13
2016-12-28,4
2016-12-29,24
2017-01-04,9
2017-01-05,5
2017-01-06,3
2017-01-07,19
2017-01-08,11
2017-01-11,4
2017-01-12,3
2017-01-13,5
2017-01-14,13
2017-01-15,30
2017-01-18,3
2017-01-19,5
2017-01-20,4
2017-01-21,10
2017-01-22,22
2017-01-25,7
2017-01-26,20
2017-01-27,18
2017-01-28,25
2017-01-29,42
2017-02-01,3
2017-02-02,4
2017-02-03,7
2017-02-04,24
2017-02-05,17
2017-02-08,8
2017-02-09,6
2017-02-10,11
2017-02-11,16
2017-02-12,24
2017-02-15,3
2017-02-16,5
2017-02-17,20
2017-02-18,27
2017-02-19,21
