date,visitors
2016-07-01,9
2016-07-02,13
2016-07-03,19
2016-07-04,23
2016-07-05,9
2016-07-06,20
2016-07-07,2
2016-07-12,16
2016-07-13,10
2016-07-14,24
2016-07-15,15
2016-07-16,7
2016-07-17,19
2016-07-18,5
2016-07-19,12
2016-07-20,19
2016-07-21,11
2016-07-22,16
2016-07-23,19
2016-07-24,19
2016-07-25,12
2016-07-26,10
2016-07-27,5
2016-07-29,19
2016-07-30,20
2016-07-31,6
2016-08-01,11
2016-08-02,6
2016-08-03,13
2016-08-04,11
2016-08-05,12
2016-08-06,16
2016-08-07,14
2016-08-08,7
2016-08-09,17
2016-08-10,11
2016-08-11,11
2016-08-12,8
2016-08-13,8
2016-08-14,13
2016-08-16,13
2016-08-17,13
2016-08-18,20
2016-08-19,19
2016-08-20,14
2016-08-21,11
2016-08-22,8
2016-08-23,10
2016-08-24,10
2016-08-25,15
2016-08-26,25
2016-08-27,4
2016-08-28,6
2016-08-29,5
2016-08-30,17
2016-08-31,18
2016-09-01,10
2016-09-02,15
2016-09-03,17
2016-09-04,5
2016-09-05,13
2016-09-06,11
2016-09-07,17
2016-09-08,5
2016-09-09,17
2016-09-10,15
2016-09-11,14
2016-09-12,12
2016-09-13,10
2016-09-14,11
2016-09-15,14
2016-09-16,13
2016-09-17,12
2016-09-18,15
2016-09-19,10
2016-09-20,6
2016-09-21,13
2016-09-22,22
2016-09-23,12
2016-09-24,4
2016-09-25,11
2016-09-27,11
2016-09-28,5
2016-09-29,12
2016-09-30,20
2016-10-01,4
2016-10-02,12
2016-10-03,10
2016-10-04,13
2016-10-05,13
2016-10-06,9
2016-10-07,12
2016-10-08,21
2016-10-09,13
2016-10-10,6
2016-10-11,14
2016-10-12,15
2016-10-13,13
2016-10-14,19
2016-10-15,9
2016-10-16,13
2016-10-17,20
2016-10-18,20
2016-10-19,19
2016-10-24,13
2016-10-25,10
2016-10-26,7
2016-10-27,9
2016-10-28,14
2016-10-29,13
2016-10-30,21
2016-10-31,2
2016-11-01,9
2016-11-02,15
2016-11-03,14
2016-11-04,12
2016-11-05,25
2016-11-06,10
2016-11-07,7
2016-11-08,9
2016-11-09,12
2016-11-10,10
2016-11-11,20
2016-11-12,10
2016-11-13,10
2016-11-14,5
2016-11-15,13
2016-11-16,12
2016-11-17,13
2016-11-18,11
2016-11-19,9
2016-11-20,11
2016-11-21,2
2016-11-22,11
2016-11-23,1
2016-11-24,15
2016-11-25,17
2016-11-26,8
2016-11-27,9
2016-11-28,10
2016-11-29,16
2016-12-01,13
2016-12-02,14
2016-12-03,16
2016-12-04,13
2016-12-05,13
2016-12-06,10
2016-12-07,10
2016-12-08,17
2016-12-09,14
2016-12-10,5
2016-12-12,5
2016-12-13,8
2016-12-14,6
2016-12-15,7
2016-12-16,12
2016-12-17,10
2016-12-18,5
2016-12-19,9
2016-12-20,2
2016-12-21,6
2016-12-22,10
2016-12-23,16
2016-12-24,15
2016-12-25,9
2016-12-26,10
2016-12-27,13
2016-12-28,17
2016-12-29,19
2016-12-30,15
2016-12-31,13
2017-01-01,1
2017-01-04,10
2017-01-05,9
2017-01-06,14
2017-01-07,8
2017-01-08,9
2017-01-10,6
2017-01-11,12
2017-01-12,8
2017-01-13,15
2017-01-14,7
2017-01-15,10
2017-01-16,3
2017-01-17,10
2017-01-18,15
2017-01-19,7
2017-01-20,9
2017-01-21,3
2017-01-22,3
2017-01-23,6
2017-01-24,12
2017-01-25,8
2017-01-26,16
2017-01-27,17
2017-01-29,4
2017-01-30,6
2017-01-31,9
2017-02-01,22
2017-02-02,14
2017-02-03,15
2017-02-04,8
2017-02-05,15
2017-02-06,4
2017-02-07,8
2017-02-08,10
2017-02-09,9
2017-02-10,10
2017-02-11,15
2017-02-12,10
2017-02-13,12
2017-02-14,7
2017-02-15,10
2017-02-16,7
2017-02-17,14
2017-02-18,9
2017-02-19,16
2017-02-20,18
2017-02-21,9
2017-02-22,5
2017-02-23,12
2017-02-24,12
2017-02-25,16
