date,visitors
2016-07-14,1
2016-07-15,27
2016-07-16,37
2016-07-17,32
2016-07-18,15
2016-07-19,8
2016-07-20,4
2016-07-21,4
2016-07-22,2
2016-07-23,19
2016-07-24,29
2016-07-25,10
2016-07-26,11
2016-07-27,19
2016-07-28,35
2016-07-29,5
2016-07-30,29
2016-07-31,8
2016-08-01,22
2016-08-02,2
2016-08-03,8
2016-08-04,12
2016-08-05,17
2016-08-06,25
2016-08-07,19
2016-08-08,11
2016-08-09,12
2016-08-10,2
2016-08-11,45
2016-08-12,17
2016-08-13,17
2016-08-17,2
2016-08-18,24
2016-08-19,13
2016-08-20,25
2016-08-21,11
2016-08-22,20
2016-08-23,19
2016-08-24,2
2016-08-25,24
2016-08-26,13
2016-08-27,30
2016-08-28,28
2016-08-29,10
2016-08-30,4
2016-09-01,12
2016-09-02,18
2016-09-03,18
2016-09-04,21
2016-09-05,5
2016-09-06,15
2016-09-07,1
2016-09-08,23
2016-09-09,8
2016-09-10,18
2016-09-11,10
2016-09-12,2
2016-09-13,2
2016-09-14,27
2016-09-15,11
2016-09-16,3
2016-09-17,14
2016-09-18,18
2016-09-20,13
2016-09-21,2
2016-09-22,7
2016-09-23,6
2016-09-24,11
2016-09-25,30
2016-09-26,4
2016-09-27,4
2016-09-28,2
2016-09-30,10
2016-10-01,16
2016-10-02,10
2016-10-03,3
2016-10-04,2
2016-10-06,3
2016-10-07,7
2016-10-08,10
2016-10-09,17
2016-10-10,16
2016-10-12,7
2016-10-13,6
2016-10-14,4
2016-10-15,3
2016-10-16,11
2016-10-18,7
2016-10-19,8
2016-10-20,6
2016-10-21,10
2016-10-22,13
2016-10-23,16
2016-10-25,7
2016-10-26,10
2016-10-27,17
2016-10-28,7
2016-10-29,6
2016-10-30,12
2016-10-31,2
2016-11-01,9
2016-11-02,6
2016-11-03,20
2016-11-04,4
2016-11-05,10
2016-11-06,21
2016-11-08,9
2016-11-09,8
2016-11-10,4
2016-11-11,9
2016-11-12,18
2016-11-13,18
2016-11-16,7
2016-11-17,4
2016-11-18,7
2016-11-19,9
2016-11-20,2
2016-11-22,13
2016-11-23,7
2016-11-24,8
2016-11-25,27
2016-11-26,10
2016-11-27,18
2016-11-29,9
2016-11-30,7
2016-12-01,26
2016-12-02,13
2016-12-03,16
2016-12-04,14
2016-12-06,21
2016-12-07,2
2016-12-08,15
2016-12-09,7
2016-12-10,32
2016-12-11,13
2016-12-12,2
2016-12-13,5
2016-12-14,13
2016-12-15,19
2016-12-16,3
2016-12-17,28
2016-12-18,7
2016-12-20,10
2016-12-21,22
2016-12-22,12
2016-12-23,6
2016-12-24,16
2016-12-25,7
2016-12-27,17
2016-12-28,11
2016-12-29,4
2016-12-30,27
2016-12-31,23
2017-01-07,5
2017-01-08,4
2017-01-10,8
2017-01-12,3
2017-01-13,3
2017-01-14,17
2017-01-15,12
2017-01-17,14
2017-01-18,7
2017-01-19,3
2017-01-20,11
2017-01-21,25
2017-01-22,20
2017-01-23,1
2017-01-24,7
2017-01-25,4
2017-01-26,21
2017-01-28,9
2017-01-29,29
2017-01-31,6
2017-02-01,8
2017-02-02,5
2017-02-03,3
2017-02-04,9
2017-02-05,15
2017-02-07,2
2017-02-08,4
2017-02-09,11
2017-02-10,7
2017-02-11,6
2017-02-12,9
2017-02-14,11
2017-02-15,2
2017-02-16,16
2017-02-17,1
2017-02-18,20
2017-02-19,21
2017-02-22,2
2017-02-23,9
2017-02-24,4
