date,visitors
2016-07-01,36
2016-07-02,11
2016-07-03,75
2016-07-04,20
2016-07-05,7
2016-07-06,9
2016-07-07,9
2016-07-08,9
2016-07-09,63
2016-07-10,21
2016-07-11,8
2016-07-12,9
2016-07-13,16
2016-07-14,26
2016-07-15,15
2016-07-16,36
2016-07-17,142
2016-07-18,5
2016-07-20,4
2016-07-21,28
2016-07-22,27
2016-07-23,60
2016-07-24,7
2016-07-25,12
2016-07-26,9
2016-07-27,4
2016-07-28,10
2016-07-29,11
2016-07-30,33
2016-07-31,209
2016-08-01,42
2016-08-02,36
2016-08-03,10
2016-08-04,33
2016-08-05,76
2016-08-06,10
2016-08-07,21
2016-08-08,38
2016-08-09,7
2016-08-10,26
2016-08-11,51
2016-08-13,64
2016-08-14,68
2016-08-15,2
2016-08-18,8
2016-08-19,29
2016-08-20,12
2016-08-21,22
2016-08-23,8
2016-08-24,8
2016-08-27,30
2016-08-28,24
2016-08-29,8
2016-08-30,22
2016-08-31,41
2016-09-01,11
2016-09-04,104
2016-09-06,26
2016-09-07,39
2016-09-08,19
2016-09-09,1
2016-09-10,83
2016-09-11,23
2016-09-12,9
2016-09-13,12
2016-09-16,9
2016-09-17,94
2016-09-18,114
2016-09-21,24
2016-09-22,85
2016-09-23,7
2016-09-24,57
2016-09-25,76
2016-09-26,13
2016-09-27,31
2016-09-28,22
2016-09-29,24
2016-10-01,36
2016-10-02,138
2016-10-03,11
2016-10-04,15
2016-10-05,8
2016-10-07,6
2016-10-08,44
2016-10-09,120
2016-10-10,136
2016-10-12,6
2016-10-13,9
2016-10-14,6
2016-10-15,119
2016-10-16,17
2016-10-18,50
2016-10-19,15
2016-10-20,34
2016-10-22,48
2016-10-23,81
2016-10-26,4
2016-10-27,1
2016-10-28,6
2016-10-29,58
2016-10-30,139
2016-11-02,36
2016-11-03,37
2016-11-04,48
2016-11-05,24
2016-11-06,110
2016-11-07,48
2016-11-09,18
2016-11-11,41
2016-11-13,118
2016-11-14,18
2016-11-15,14
2016-11-17,16
2016-11-18,37
2016-11-20,83
2016-11-23,36
2016-11-25,9
2016-11-26,80
2016-11-27,149
2016-11-29,1
2016-11-30,46
2016-12-01,13
2016-12-02,98
2016-12-03,55
2016-12-04,207
2016-12-06,43
2016-12-07,12
2016-12-08,51
2016-12-10,146
2016-12-11,168
2016-12-12,9
2016-12-13,23
2016-12-14,100
2016-12-16,41
2016-12-17,170
2016-12-18,239
2016-12-19,8
2016-12-20,19
2016-12-21,57
2016-12-23,129
2016-12-24,56
2016-12-26,45
2016-12-27,50
2016-12-28,53
2016-12-29,168
2016-12-30,104
2016-12-31,181
2017-01-02,32
2017-01-03,33
2017-01-04,45
2017-01-07,128
2017-01-08,97
2017-01-10,7
2017-01-14,67
2017-01-15,122
2017-01-18,10
2017-01-19,2
2017-01-20,14
2017-01-21,57
2017-01-22,27
2017-01-23,2
2017-01-24,35
2017-01-25,26
2017-01-26,4
2017-01-27,2
2017-01-28,19
2017-01-29,78
2017-01-31,4
2017-02-01,17
2017-02-02,26
2017-02-03,31
2017-02-04,17
2017-02-05,48
2017-02-07,7
2017-02-08,32
2017-02-11,47
2017-02-12,16
2017-02-13,26
2017-02-14,1
2017-02-17,4
2017-02-18,32
2017-02-19,25
2017-02-21,18
2017-02-23,22
