date,visitors
2016-07-01,22
2016-07-02,4
2016-07-03,17
2016-07-05,2
2016-07-06,27
2016-07-07,2
2016-07-08,2
2016-07-09,29
2016-07-10,13
2016-07-11,3
2016-07-12,11
2016-07-13,14
2016-07-14,1
2016-07-15,16
2016-07-16,29
2016-07-17,14
2016-07-18,2
2016-07-19,2
2016-07-20,2
2016-07-21,2
2016-07-22,2
2016-07-23,37
2016-07-24,9
2016-07-25,3
2016-07-27,16
2016-07-29,7
2016-07-30,6
2016-08-04,9
2016-08-05,37
2016-08-06,15
2016-08-07,3
2016-08-09,11
2016-08-10,4
2016-08-11,6
2016-08-12,16
2016-08-13,3
2016-08-14,8
2016-08-15,2
2016-08-16,9
2016-08-17,18
2016-08-18,14
2016-08-19,2
2016-08-20,10
2016-08-21,5
2016-08-22,8
2016-08-24,14
2016-08-25,2
2016-08-27,12
2016-08-28,11
2016-08-29,11
2016-08-30,15
2016-09-02,5
2016-09-03,10
2016-09-09,3
2016-09-10,7
2016-09-11,1
2016-09-12,4
2016-09-13,3
2016-09-14,9
2016-09-16,10
2016-09-17,6
2016-09-18,7
2016-09-19,3
2016-09-22,4
2016-09-23,19
2016-09-24,11
2016-09-25,15
2016-09-26,11
2016-09-27,3
2016-09-28,13
2016-09-29,4
2016-09-30,2
2016-10-01,8
2016-10-03,15
2016-10-04,2
2016-10-06,11
2016-10-07,3
2016-10-08,14
2016-10-09,24
2016-10-10,13
2016-10-11,5
2016-10-12,2
2016-10-13,12
2016-10-14,12
2016-10-15,15
2016-10-16,6
2016-10-17,19
2016-10-18,2
2016-10-20,13
2016-10-21,7
2016-10-22,26
2016-10-23,39
2016-10-24,16
2016-10-25,6
2016-10-26,1
2016-10-27,19
2016-10-28,2
2016-10-29,11
2016-10-30,12
2016-10-31,11
2016-11-01,13
2016-11-02,2
2016-11-03,6
2016-11-04,17
2016-11-06,5
2016-11-07,16
2016-11-08,2
2016-11-09,2
2016-11-10,16
2016-11-11,14
2016-11-12,28
2016-11-13,5
2016-11-14,19
2016-11-16,5
2016-11-17,5
2016-11-18,8
2016-11-19,6
2016-11-20,21
2016-11-21,14
2016-11-22,8
2016-11-23,17
2016-11-24,16
2016-11-25,14
2016-11-26,38
2016-11-27,16
2016-11-28,23
2016-11-30,8
2016-12-01,7
2016-12-02,16
2016-12-03,44
2016-12-04,20
2016-12-05,2
2016-12-07,4
2016-12-08,2
2016-12-09,24
2016-12-10,27
2016-12-11,12
2016-12-12,28
2016-12-14,2
2016-12-15,2
2016-12-16,25
2016-12-17,12
2016-12-18,17
2016-12-19,15
2016-12-20,9
2016-12-21,28
2016-12-22,8
2016-12-23,29
2016-12-24,41
2016-12-25,22
2016-12-26,7
2016-12-27,8
2016-12-28,16
2016-12-29,11
2016-12-30,22
2017-01-01,5
2017-01-02,6
2017-01-04,6
2017-01-05,17
2017-01-06,10
2017-01-07,7
2017-01-08,4
2017-01-10,2
2017-01-11,17
2017-01-12,6
2017-01-13,18
2017-01-14,30
2017-01-15,5
2017-01-16,4
2017-01-17,2
2017-01-18,2
2017-01-19,3
2017-01-20,4
2017-01-21,30
2017-01-22,8
2017-01-23,7
2017-01-24,2
2017-01-27,2
2017-01-28,13
2017-01-29,7
2017-01-30,8
2017-02-02,2
2017-02-03,8
2017-02-04,16
2017-02-06,4
2017-02-07,4
2017-02-08,5
2017-02-09,10
2017-02-10,12
2017-02-11,10
2017-02-13,22
2017-02-14,2
2017-02-15,24
2017-02-16,36
2017-02-17,13
2017-02-18,32
2017-02-19,32
2017-02-20,13
2017-02-22,10
2017-02-23,3
2017-02-24,2
2017-02-25,11
2017-02-26,27
