date,visitors
2016-07-01,17
2016-07-02,9
2016-07-03,7
2016-07-04,5
2016-07-05,1
2016-07-06,16
2016-07-07,9
2016-07-08,7
2016-07-09,8
2016-07-11,7
2016-07-12,5
2016-07-13,11
2016-07-14,15
2016-07-15,25
2016-07-16,22
2016-07-18,27
2016-07-19,25
2016-07-20,12
2016-07-21,3
2016-07-22,16
2016-07-23,7
2016-07-25,19
2016-07-26,9
2016-07-27,8
2016-07-28,7
2016-07-29,8
2016-07-30,20
2016-07-31,1
2016-08-01,4
2016-08-02,8
2016-08-03,16
2016-08-04,15
2016-08-05,10
2016-08-06,7
2016-08-08,7
2016-08-09,12
2016-08-10,17
2016-08-15,7
2016-08-16,15
2016-08-17,9
2016-08-18,10
2016-08-19,22
2016-08-20,16
2016-08-21,2
2016-08-22,4
2016-08-23,4
2016-08-24,11
2016-08-25,8
2016-08-26,22
2016-08-27,17
2016-08-29,8
2016-08-30,3
2016-08-31,1
2016-09-01,5
2016-09-02,4
2016-09-03,9
2016-09-05,6
2016-09-06,3
2016-09-07,7
2016-09-08,3
2016-09-09,15
2016-09-10,15
2016-09-12,3
2016-09-13,3
2016-09-14,5
2016-09-15,6
2016-09-16,4
2016-09-17,8
2016-09-18,2
2016-09-19,6
2016-09-20,10
2016-09-21,11
2016-09-22,5
2016-09-23,4
2016-09-24,11
2016-09-25,4
2016-09-26,7
2016-09-27,8
2016-09-28,4
2016-09-29,8
2016-09-30,22
2016-10-01,22
2016-10-03,4
2016-10-04,4
2016-10-05,9
2016-10-06,10
2016-10-07,11
2016-10-08,10
2016-10-10,5
2016-10-11,8
2016-10-12,5
2016-10-13,5
2016-10-14,7
2016-10-15,12
2016-10-17,2
2016-10-18,12
2016-10-19,5
2016-10-20,6
2016-10-21,8
2016-10-22,6
2016-10-24,6
2016-10-25,10
2016-10-26,1
2016-10-27,9
2016-10-28,15
2016-10-29,27
2016-10-31,6
2016-11-01,10
2016-11-02,12
2016-11-03,16
2016-11-04,11
2016-11-05,8
2016-11-07,5
2016-11-08,15
2016-11-09,9
2016-11-10,8
2016-11-11,16
2016-11-12,8
2016-11-14,6
2016-11-15,19
2016-11-16,13
2016-11-17,9
2016-11-18,17
2016-11-19,14
2016-11-21,6
2016-11-22,15
2016-11-23,9
2016-11-24,16
2016-11-25,11
2016-11-26,14
2016-11-28,7
2016-11-29,3
2016-11-30,13
2016-12-01,7
2016-12-02,4
2016-12-03,3
2016-12-04,22
2016-12-05,9
2016-12-06,11
2016-12-07,8
2016-12-08,5
2016-12-09,16
2016-12-10,21
2016-12-12,12
2016-12-13,2
2016-12-14,16
2016-12-15,12
2016-12-17,7
2016-12-18,3
2016-12-19,3
2016-12-20,6
2016-12-21,17
2016-12-22,5
2016-12-23,17
2016-12-24,5
2016-12-26,7
2016-12-27,6
2016-12-28,13
2016-12-29,6
2016-12-30,2
2017-01-04,4
2017-01-05,17
2017-01-06,15
2017-01-07,20
2017-01-09,13
2017-01-10,12
2017-01-11,14
2017-01-12,8
2017-01-13,12
2017-01-14,3
2017-01-15,1
2017-01-16,6
2017-01-17,6
2017-01-18,11
2017-01-19,13
2017-01-20,14
2017-01-21,21
2017-01-23,5
2017-01-24,3
2017-01-25,10
2017-01-26,9
2017-01-27,11
2017-01-28,13
2017-01-30,2
2017-01-31,2
2017-02-01,3
2017-02-02,9
2017-02-03,7
2017-02-04,7
2017-02-06,9
2017-02-07,5
2017-02-08,12
2017-02-09,18
2017-02-10,8
2017-02-11,18
2017-02-13,8
2017-02-14,11
2017-02-15,14
2017-02-16,5
2017-02-17,13
2017-02-18,11
2017-02-19,2
2017-02-20,14
2017-02-21,4
2017-02-22,15
2017-02-23,7
