date,visitors
2016-07-01,17
2016-07-02,19
2016-07-03,4
2016-07-04,7
2016-07-05,5
2016-07-06,13
2016-07-07,18
2016-07-08,30
2016-07-09,27
2016-07-10,7
2016-07-11,8
2016-07-12,21
2016-07-13,20
2016-07-14,7
2016-07-15,19
2016-07-16,29
2016-07-19,16
2016-07-20,12
2016-07-21,21
2016-07-22,13
2016-07-23,28
2016-07-24,2
2016-07-25,3
2016-07-26,18
2016-07-27,17
2016-07-28,19
2016-07-29,13
2016-07-30,30
2016-07-31,6
2016-08-01,11
2016-08-02,23
2016-08-03,20
2016-08-04,11
2016-08-05,6
2016-08-06,8
2016-08-07,5
2016-08-08,18
2016-08-09,12
2016-08-10,18
2016-08-11,19
2016-08-12,13
2016-08-13,24
2016-08-14,1
2016-08-17,16
2016-08-18,19
2016-08-19,17
2016-08-20,33
2016-08-22,14
2016-08-23,4
2016-08-24,26
2016-08-25,18
2016-08-26,18
2016-08-27,14
2016-08-28,8
2016-08-29,7
2016-08-30,6
2016-08-31,19
2016-09-01,14
2016-09-02,13
2016-09-03,17
2016-09-04,9
2016-09-05,10
2016-09-06,18
2016-09-07,12
2016-09-08,16
2016-09-09,20
2016-09-10,32
2016-09-11,4
2016-09-12,12
2016-09-13,22
2016-09-14,26
2016-09-15,18
2016-09-16,27
2016-09-17,22
2016-09-18,24
2016-09-20,22
2016-09-21,15
2016-09-22,8
2016-09-23,17
2016-09-24,29
2016-09-25,13
2016-09-26,10
2016-09-27,18
2016-09-28,23
2016-09-29,11
2016-09-30,5
2016-10-01,35
2016-10-02,3
2016-10-03,9
2016-10-04,16
2016-10-05,19
2016-10-06,23
2016-10-07,12
2016-10-08,24
2016-10-09,19
2016-10-10,7
2016-10-11,14
2016-10-12,12
2016-10-13,10
2016-10-14,23
2016-10-15,27
2016-10-16,2
2016-10-17,14
2016-10-18,14
2016-10-19,12
2016-10-20,27
2016-10-21,17
2016-10-22,16
2016-10-24,14
2016-10-25,17
2016-10-26,12
2016-10-27,24
2016-10-28,20
2016-10-29,17
2016-10-30,5
2016-10-31,11
2016-11-01,12
2016-11-02,7
2016-11-07,7
2016-11-08,6
2016-11-09,6
2016-11-10,18
2016-11-11,17
2016-11-12,31
2016-11-13,6
2016-11-14,6
2016-11-15,4
2016-11-16,13
2016-11-17,10
2016-11-18,16
2016-11-19,25
2016-11-20,11
2016-11-21,12
2016-11-22,13
2016-11-23,8
2016-11-24,19
2016-11-25,25
2016-11-26,28
2016-11-27,10
2016-11-28,22
2016-11-29,15
2016-11-30,13
2016-12-01,15
2016-12-02,26
2016-12-03,24
2016-12-04,8
2016-12-05,12
2016-12-06,13
2016-12-07,9
2016-12-08,27
2016-12-09,21
2016-12-10,12
2016-12-11,7
2016-12-12,12
2016-12-13,12
2016-12-14,6
2016-12-15,14
2016-12-16,21
2016-12-17,19
2016-12-18,5
2016-12-19,11
2016-12-20,15
2016-12-21,27
2016-12-22,16
2016-12-23,13
2016-12-24,6
2016-12-25,17
2016-12-26,17
2016-12-27,23
2016-12-28,24
2016-12-29,30
2016-12-30,19
2016-12-31,4
2017-01-01,3
2017-01-02,15
2017-01-03,22
2017-01-04,24
2017-01-05,10
2017-01-06,25
2017-01-07,26
2017-01-08,13
2017-01-09,17
2017-01-10,9
2017-01-11,20
2017-01-12,15
2017-01-13,27
2017-01-14,27
2017-01-15,4
2017-01-16,11
2017-01-17,14
2017-01-18,22
2017-01-19,30
2017-01-20,18
2017-01-21,24
2017-01-22,14
2017-01-23,13
2017-01-24,12
2017-01-25,11
2017-01-26,11
2017-01-27,17
2017-01-28,18
2017-01-29,4
2017-01-30,14
2017-01-31,6
2017-02-01,12
2017-02-02,14
2017-02-03,15
2017-02-04,26
2017-02-05,4
2017-02-06,10
2017-02-07,15
2017-02-08,23
2017-02-09,7
2017-02-10,23
2017-02-11,23
2017-02-12,2
2017-02-13,17
2017-02-14,12
2017-02-15,13
2017-02-16,11
2017-02-17,17
2017-02-18,15
2017-02-21,12
2017-02-22,20
2017-02-23,16
2017-02-24,10
