date,visitors
2016-05-01,65
2016-05-07,49
2016-05-08,51
2016-05-09,21
2016-05-10,36
2016-05-12,49
2016-05-13,36
2016-05-14,46
2016-05-15,62
2016-05-16,32
2016-05-17,18
2016-05-19,31
2016-05-20,34
2016-05-21,70
2016-05-22,57
2016-05-23,40
2016-05-24,43
2016-05-26,29
2016-05-27,29
2016-05-28,49
2016-05-29,73
2016-05-30,41
2016-05-31,36
2016-06-04,49
2016-06-05,59
2016-06-06,42
2016-06-07,39
2016-06-09,34
2016-06-10,40
2016-06-11,65
2016-06-12,71
2016-06-13,17
2016-06-14,41
2016-06-16,40
2016-06-17,39
2016-06-18,61
2016-06-19,75
2016-06-20,26
2016-06-21,30
2016-06-23,45
2016-06-24,30
2016-06-25,62
2016-06-26,56
2016-06-27,42
2016-06-28,33
2016-06-30,37
2016-07-01,58
2016-07-02,68
2016-07-03,62
2016-07-04,38
2016-07-05,45
2016-07-07,39
2016-07-08,38
2016-07-09,47
2016-07-10,79
2016-07-11,33
2016-07-12,29
2016-07-14,39
2016-07-15,34
2016-07-16,53
2016-07-17,75
2016-07-18,76
2016-07-19,34
2016-07-21,34
2016-07-22,27
2016-07-23,53
2016-07-24,51
2016-07-25,32
2016-07-26,27
2016-07-28,28
2016-07-29,43
2016-07-30,42
2016-07-31,42
2016-08-01,32
2016-08-04,35
2016-08-05,37
2016-08-06,40
2016-08-07,46
2016-08-08,32
2016-08-09,27
2016-08-11,38
2016-08-12,43
2016-08-13,54
2016-08-14,75
2016-08-20,32
2016-08-21,41
2016-08-23,36
2016-08-25,41
2016-08-26,43
2016-08-27,54
2016-08-28,56
2016-08-29,40
2016-08-30,34
2016-09-02,38
2016-09-03,58
2016-09-04,55
2016-09-05,39
2016-09-06,41
2016-09-09,44
2016-09-10,55
2016-09-11,50
2016-09-12,31
2016-09-13,36
2016-09-16,37
2016-09-17,43
2016-09-18,51
2016-09-19,81
2016-09-20,34
2016-09-23,44
2016-09-24,37
2016-09-25,68
2016-09-26,19
2016-09-27,35
2016-09-30,38
2016-10-01,58
2016-10-02,77
2016-10-03,33
2016-10-04,36
2016-10-07,38
2016-10-08,42
2016-10-09,61
2016-10-10,59
2016-10-11,34
2016-10-14,30
2016-10-15,29
2016-10-16,56
2016-10-17,21
2016-10-18,30
2016-10-21,45
2016-10-22,56
2016-10-23,71
2016-10-24,41
2016-10-25,32
2016-10-28,26
2016-10-29,64
2016-10-30,60
2016-10-31,33
2016-11-01,23
2016-11-04,35
2016-11-05,62
2016-11-06,73
2016-11-07,41
2016-11-08,38
2016-11-11,25
2016-11-12,57
2016-11-13,70
2016-11-14,35
2016-11-15,33
2016-11-18,45
2016-11-19,49
2016-11-20,68
2016-11-21,22
2016-11-22,28
2016-11-25,49
2016-11-26,63
2016-11-27,67
2016-11-28,26
2016-11-29,40
2016-12-02,30
2016-12-03,61
2016-12-04,83
2016-12-05,46
2016-12-06,37
2016-12-09,46
2016-12-10,51
2016-12-11,77
2016-12-12,31
2016-12-13,31
2016-12-16,43
2016-12-17,69
2016-12-18,50
2016-12-19,37
2016-12-20,39
2016-12-23,51
2016-12-24,60
2016-12-25,51
2017-01-07,53
2017-01-08,51
2017-01-09,62
2017-01-10,37
2017-01-13,35
2017-01-14,54
2017-01-15,74
2017-01-16,27
2017-01-17,38
2017-01-20,46
2017-01-21,58
2017-01-22,80
2017-01-24,44
2017-01-27,51
2017-01-28,69
2017-01-29,72
2017-01-30,38
2017-01-31,39
