date,visitors
2016-01-02,68
2016-01-03,43
2016-01-04,8
2016-01-06,12
2016-01-07,17
2016-01-08,61
2016-01-09,25
2016-01-10,34
2016-01-11,68
2016-01-12,15
2016-01-13,21
2016-01-14,3
2016-01-15,61
2016-01-16,50
2016-01-17,3
2016-01-18,9
2016-01-19,6
2016-01-20,3
2016-01-21,13
2016-01-22,33
2016-01-23,29
2016-01-25,16
2016-01-26,46
2016-01-27,2
2016-01-28,4
2016-01-29,48
2016-01-30,48
2016-01-31,14
2016-02-01,4
2016-02-02,19
2016-02-03,3
2016-02-04,6
2016-02-05,38
2016-02-06,23
2016-02-10,14
2016-02-12,21
2016-02-13,54
2016-02-15,5
2016-02-16,2
2016-02-17,15
2016-02-18,7
2016-02-19,8
2016-02-20,23
2016-02-22,2
2016-02-24,4
2016-02-25,5
2016-02-26,20
2016-02-27,53
2016-02-28,2
2016-02-29,2
2016-03-01,2
2016-03-03,7
2016-03-04,21
2016-03-05,21
2016-03-07,6
2016-03-08,2
2016-03-09,14
2016-03-10,5
2016-03-11,16
2016-03-12,21
2016-03-14,6
2016-03-16,7
2016-03-17,12
2016-03-18,30
2016-03-19,12
2016-03-20,47
2016-03-21,29
2016-03-22,30
2016-03-23,10
2016-03-24,20
2016-03-25,48
2016-03-26,44
2016-03-28,10
2016-03-29,7
2016-03-30,45
2016-03-31,9
2016-04-01,8
2016-04-02,10
2016-04-04,4
2016-04-05,14
2016-04-06,25
2016-04-07,21
2016-04-08,50
2016-04-09,35
2016-04-10,3
2016-04-12,2
2016-04-13,35
2016-04-14,2
2016-04-15,2
2016-04-16,15
2016-04-18,5
2016-04-21,5
2016-04-22,15
2016-04-23,45
2016-04-25,9
2016-04-26,9
2016-04-27,4
2016-04-28,19
2016-04-29,12
2016-04-30,20
2016-05-02,24
2016-05-03,14
2016-05-04,12
2016-05-06,13
2016-05-07,33
2016-05-11,14
2016-05-12,1
2016-05-13,44
2016-05-14,30
2016-05-15,42
2016-05-16,13
2016-05-17,6
2016-05-18,15
2016-05-19,6
2016-05-20,13
2016-05-21,39
2016-05-22,4
2016-05-24,5
2016-05-25,3
2016-05-27,30
2016-05-28,51
2016-05-30,3
2016-05-31,4
2016-06-01,7
2016-06-03,32
2016-06-04,31
2016-06-05,6
2016-06-07,4
2016-06-08,3
2016-06-09,5
2016-06-10,28
2016-06-11,50
2016-06-12,20
2016-06-14,5
2016-06-15,12
2016-06-16,7
2016-06-17,4
2016-06-18,34
2016-06-19,6
2016-06-21,5
2016-06-22,2
2016-06-23,14
2016-06-24,22
2016-06-25,24
2016-06-26,23
2016-06-27,4
2016-06-28,13
2016-06-30,12
2016-07-01,7
2016-07-02,27
2016-07-05,2
2016-07-06,10
2016-07-07,14
2016-07-08,19
2016-07-09,18
2016-07-10,36
2016-07-12,12
2016-07-13,2
2016-07-14,33
2016-07-15,26
2016-07-16,42
2016-07-17,23
2016-07-19,11
2016-07-20,2
2016-07-21,9
2016-07-22,17
2016-07-23,25
2016-07-24,15
2016-07-26,17
2016-07-27,3
2016-07-28,29
2016-07-29,17
2016-07-30,44
2016-07-31,8
2016-08-02,8
2016-08-03,6
2016-08-04,6
2016-08-05,5
2016-08-06,24
2016-08-09,14
2016-08-10,39
2016-08-11,9
2016-08-12,47
2016-08-13,16
2016-08-14,43
2016-08-17,54
2016-08-18,10
2016-08-19,27
2016-08-20,23
2016-08-21,6
2016-08-23,5
2016-08-24,9
2016-08-25,7
2016-08-26,55
2016-08-27,16
2016-08-28,8
2016-08-29,11
2016-08-30,12
2016-08-31,5
2016-09-01,4
2016-09-02,16
2016-09-03,10
2016-09-06,8
2016-09-07,3
2016-09-08,4
2016-09-09,24
2016-09-10,29
2016-09-11,30
2016-09-13,5
2016-09-14,17
2016-09-15,2
2016-09-16,26
2016-09-17,21
2016-09-18,14
2016-09-20,2
2016-09-21,16
2016-09-22,9
2016-09-23,9
2016-09-24,16
2016-09-27,15
