date,visitors
2016-01-04,1
2016-01-05,8
2016-01-06,4
2016-01-07,9
2016-01-08,4
2016-01-09,12
2016-01-10,13
2016-01-11,10
2016-01-12,1
2016-01-13,10
2016-01-14,8
2016-01-15,9
2016-01-16,17
2016-01-17,5
2016-01-18,7
2016-01-19,8
2016-01-20,2
2016-01-21,14
2016-01-22,8
2016-01-23,15
2016-01-24,7
2016-01-25,3
2016-01-26,8
2016-01-27,8
2016-01-28,4
2016-01-29,9
2016-01-30,10
2016-01-31,9
2016-02-01,2
2016-02-02,3
2016-02-03,4
2016-02-04,8
2016-02-05,18
2016-02-06,7
2016-02-07,4
2016-02-09,3
2016-02-10,12
2016-02-11,7
2016-02-12,4
2016-02-13,10
2016-02-14,9
2016-02-15,4
2016-02-16,9
2016-02-17,5
2016-02-18,7
2016-02-19,7
2016-02-20,19
2016-02-21,8
2016-02-23,6
2016-02-24,17
2016-02-25,21
2016-02-26,29
2016-02-27,9
2016-02-28,8
2016-03-01,2
2016-03-02,13
2016-03-03,4
2016-03-04,7
2016-03-05,18
2016-03-06,5
2016-03-08,5
2016-03-09,6
2016-03-10,5
2016-03-11,8
2016-03-12,10
2016-03-13,2
2016-03-14,2
2016-03-15,3
2016-03-16,8
2016-03-17,3
2016-03-18,10
2016-03-19,9
2016-03-20,3
2016-03-21,3
2016-03-23,1
2016-03-24,6
2016-03-25,13
2016-03-26,10
2016-03-27,7
2016-03-28,4
2016-03-29,5
2016-03-30,8
2016-03-31,11
2016-04-01,16
2016-04-02,27
2016-04-03,5
2016-04-04,5
2016-04-05,7
2016-04-06,7
2016-04-07,4
2016-04-08,11
2016-04-09,12
2016-04-10,7
2016-04-12,15
2016-04-13,7
2016-04-14,10
2016-04-15,11
2016-04-16,8
2016-04-17,6
2016-04-18,4
2016-04-19,5
2016-04-20,6
2016-04-21,8
2016-04-22,11
2016-04-23,10
2016-04-24,8
2016-04-25,1
2016-04-26,12
2016-04-27,11
2016-04-28,6
2016-04-29,15
2016-04-30,15
2016-05-01,3
2016-05-03,14
2016-05-04,15
2016-05-05,14
2016-05-06,8
2016-05-07,15
2016-05-08,8
2016-05-10,3
2016-05-11,5
2016-05-12,5
2016-05-13,13
2016-05-14,12
2016-05-15,6
2016-05-16,1
2016-05-17,1
2016-05-18,6
2016-05-19,6
2016-05-20,11
2016-05-21,10
2016-05-22,3
2016-05-23,1
2016-05-24,6
2016-05-25,6
2016-05-26,4
2016-05-27,4
2016-05-28,11
2016-05-29,5
2016-05-30,1
2016-05-31,8
2016-06-01,4
2016-06-02,6
2016-06-03,6
2016-06-04,5
2016-06-05,7
2016-06-06,1
2016-06-07,6
2016-06-08,7
2016-06-09,6
2016-06-10,9
2016-06-11,11
2016-06-12,4
2016-06-13,1
2016-06-14,5
2016-06-15,3
2016-06-16,6
2016-06-17,10
2016-06-18,11
2016-06-19,9
2016-06-20,5
2016-06-21,4
2016-06-22,10
2016-06-23,3
2016-06-24,16
2016-06-25,14
2016-06-26,5
2016-06-28,5
2016-06-29,5
2016-06-30,5
2016-07-01,3
2016-07-02,13
2016-07-03,5
2016-07-04,1
2016-07-05,4
2016-07-06,2
2016-07-07,5
2016-07-08,10
2016-07-09,6
2016-07-10,4
2016-07-11,2
2016-07-12,5
2016-07-13,7
2016-07-14,10
2016-07-15,6
2016-07-16,7
2016-07-17,5
2016-07-19,2
2016-07-20,6
2016-07-21,13
2016-07-22,9
2016-07-23,8
2016-07-24,3
2016-07-26,6
2016-07-27,15
2016-07-28,8
2016-07-29,7
2016-07-30,12
2016-07-31,7
2016-08-02,5
2016-08-03,9
2016-08-05,8
2016-08-06,5
2016-08-07,5
2016-08-08,2
2016-08-09,3
2016-08-10,4
2016-08-11,3
2016-08-12,5
2016-08-13,5
2016-08-14,3
2016-08-16,2
2016-08-17,7
2016-08-18,8
2016-08-19,2
2016-08-20,5
2016-08-21,7
2016-08-22,1
2016-08-23,6
2016-08-24,7
2016-08-25,3
2016-08-26,3
2016-08-27,12
2016-08-28,7
2016-08-29,1
2016-08-30,9
2016-08-31,5
2016-09-01,13
2016-09-02,9
2016-09-03,14
2016-09-04,2
2016-09-05,5
2016-09-06,7
2016-09-07,3
2016-09-08,5
2016-09-09,9
2016-09-10,10
2016-09-11,6
2016-09-12,2
2016-09-13,2
2016-09-14,7
2016-09-15,16
2016-09-16,12
2016-09-17,10
2016-09-18,12
2016-09-19,6
2016-09-20,1
2016-09-21,12
2016-09-22,6
2016-09-23,11
2016-09-24,9
2016-09-25,9
2016-09-26,4
2016-09-27,4
2016-09-28,3
2016-09-29,7
2016-09-30,6
2016-10-01,12
2016-10-02,4
2016-10-03,5
2016-10-04,6
2016-10-05,6
2016-10-06,5
2016-10-07,4
2016-10-08,8
2016-10-09,12
2016-10-10,5
2016-10-11,2
2016-10-12,5
2016-10-13,5
2016-10-14,8
2016-10-15,4
2016-10-16,8
2016-10-17,1
2016-10-18,5
2016-10-19,6
2016-10-20,1
2016-10-21,9
2016-10-22,7
2016-10-23,4
2016-10-24,3
2016-10-25,7
2016-10-26,3
2016-10-27,7
2016-10-28,6
2016-10-29,5
2016-10-30,5
2016-10-31,2
2016-11-01,4
2016-11-02,11
2016-11-03,4
2016-11-04,4
2016-11-05,7
2016-11-06,9
2016-11-07,1
2016-11-08,1
2016-11-09,8
