date,visitors
2016-01-01,42
2016-01-02,41
2016-01-03,61
2016-01-08,20
2016-01-09,54
2016-01-10,65
2016-01-11,57
2016-01-13,22
2016-01-14,24
2016-01-15,18
2016-01-16,57
2016-01-17,59
2016-01-19,32
2016-01-20,20
2016-01-21,11
2016-01-22,31
2016-01-23,37
2016-01-24,49
2016-01-25,4
2016-01-26,27
2016-01-27,26
2016-01-28,28
2016-01-29,19
2016-01-30,49
2016-01-31,53
2016-02-02,23
2016-02-03,31
2016-02-04,28
2016-02-05,34
2016-02-06,38
2016-02-07,50
2016-02-09,14
2016-02-10,15
2016-02-11,66
2016-02-12,23
2016-02-13,50
2016-02-14,64
2016-02-17,24
2016-02-18,24
2016-02-19,23
2016-02-20,60
2016-02-21,49
2016-02-23,30
2016-02-24,26
2016-02-25,20
2016-02-26,35
2016-02-27,62
2016-02-28,63
2016-03-01,30
2016-03-02,43
2016-03-03,30
2016-03-04,31
2016-03-05,75
2016-03-06,56
2016-03-07,3
2016-03-08,18
2016-03-09,30
2016-03-10,29
2016-03-11,21
2016-03-12,38
2016-03-13,67
2016-03-15,35
2016-03-16,39
2016-03-17,42
2016-03-18,33
2016-03-19,57
2016-03-20,62
2016-03-21,34
2016-03-22,71
2016-03-24,22
2016-03-25,27
2016-03-26,49
2016-03-27,62
2016-03-28,4
2016-03-29,23
2016-03-30,36
2016-03-31,28
2016-04-01,30
2016-04-02,48
2016-04-03,51
2016-04-06,43
2016-04-07,28
2016-04-08,41
2016-04-09,68
2016-04-10,77
2016-04-12,29
2016-04-13,21
2016-04-14,15
2016-04-15,41
2016-04-16,62
2016-04-17,50
2016-04-19,23
2016-04-20,32
2016-04-21,20
2016-04-22,37
2016-04-23,74
2016-04-24,80
2016-04-26,33
2016-04-27,28
2016-04-28,27
2016-04-29,69
2016-04-30,80
2016-05-01,79
2016-05-03,67
2016-05-04,91
2016-05-05,82
2016-05-06,18
2016-05-07,81
2016-05-08,69
2016-05-09,1
2016-05-11,17
2016-05-12,33
2016-05-13,24
2016-05-14,47
2016-05-15,51
2016-05-16,1
2016-05-17,17
2016-05-18,22
2016-05-19,23
2016-05-20,29
2016-05-21,50
2016-05-22,54
2016-05-23,1
2016-05-24,23
2016-05-25,20
2016-05-26,26
2016-05-27,33
2016-05-28,73
2016-05-29,37
2016-05-30,5
2016-05-31,16
2016-06-01,27
2016-06-02,19
2016-06-03,14
2016-06-04,53
2016-06-05,62
2016-06-07,22
2016-06-08,30
2016-06-09,21
2016-06-10,25
2016-06-11,68
2016-06-12,88
2016-06-15,19
2016-06-16,19
2016-06-17,31
2016-06-18,71
2016-06-19,82
2016-06-21,10
2016-06-22,26
2016-06-23,25
2016-06-24,26
2016-06-25,41
2016-06-26,46
2016-06-28,19
2016-06-29,20
2016-06-30,25
2016-07-01,23
2016-07-02,84
2016-07-03,55
2016-07-05,16
2016-07-06,28
2016-07-07,22
2016-07-08,25
2016-07-09,37
2016-07-10,82
2016-07-13,14
2016-07-14,15
2016-07-15,34
2016-07-16,55
2016-07-17,62
2016-07-18,53
2016-07-20,13
2016-07-21,16
2016-07-22,20
2016-07-23,30
2016-07-24,62
2016-07-25,1
2016-07-26,18
2016-07-27,27
2016-07-28,17
2016-07-29,18
2016-07-30,34
2016-07-31,37
2016-08-02,6
2016-08-03,10
2016-08-04,17
2016-08-05,17
2016-08-06,42
2016-08-07,45
2016-08-09,7
2016-08-10,14
2016-08-11,48
2016-08-12,14
2016-08-13,53
2016-08-14,45
2016-08-16,12
2016-08-17,14
2016-08-18,17
2016-08-19,16
2016-08-20,45
2016-08-21,46
2016-08-24,11
2016-08-25,3
2016-08-26,14
2016-08-27,69
2016-08-28,87
2016-08-30,7
2016-08-31,30
2016-09-01,12
