date,visitors
2016-07-01,9
2016-07-02,7
2016-07-03,9
2016-07-05,7
2016-07-06,3
2016-07-07,7
2016-07-08,6
2016-07-09,10
2016-07-10,7
2016-07-12,4
2016-07-14,3
2016-07-15,5
2016-07-16,4
2016-07-17,6
2016-07-20,7
2016-07-21,4
2016-07-23,11
2016-07-24,9
2016-07-26,4
2016-07-28,1
2016-07-29,1
2016-07-30,11
2016-07-31,3
2016-08-01,2
2016-08-02,2
2016-08-03,2
2016-08-05,4
2016-08-06,6
2016-08-07,2
2016-08-08,9
2016-08-10,2
2016-08-12,11
2016-08-13,5
2016-08-14,5
2016-08-19,3
2016-08-20,5
2016-08-21,6
2016-08-22,4
2016-08-23,6
2016-08-24,3
2016-08-25,8
2016-08-26,10
2016-08-27,15
2016-08-28,3
2016-08-29,2
2016-08-30,8
2016-08-31,7
2016-09-02,2
2016-09-03,10
2016-09-05,1
2016-09-06,1
2016-09-07,10
2016-09-09,13
2016-09-10,8
2016-09-12,3
2016-09-15,13
2016-09-16,4
2016-09-17,3
2016-09-18,2
2016-09-20,3
2016-09-21,10
2016-09-22,6
2016-09-23,6
2016-09-24,7
2016-09-27,5
2016-09-28,7
2016-09-29,7
2016-09-30,3
2016-10-01,17
2016-10-02,5
2016-10-04,1
2016-10-05,4
2016-10-06,4
2016-10-07,3
2016-10-08,7
2016-10-09,9
2016-10-12,3
2016-10-14,5
2016-10-15,8
2016-10-17,7
2016-10-18,2
2016-10-19,5
2016-10-20,4
2016-10-21,1
2016-10-22,11
2016-10-23,9
2016-10-25,8
2016-10-26,1
2016-10-27,5
2016-10-28,5
2016-10-29,7
2016-10-30,1
2016-10-31,8
2016-11-01,8
2016-11-02,8
2016-11-03,14
2016-11-04,7
2016-11-05,4
2016-11-07,2
2016-11-08,1
2016-11-10,9
2016-11-11,2
2016-11-12,12
2016-11-13,2
2016-11-14,3
2016-11-15,2
2016-11-16,1
2016-11-17,2
2016-11-18,5
2016-11-19,18
2016-11-20,2
2016-11-21,1
2016-11-22,3
2016-11-24,2
2016-11-25,8
2016-11-26,11
2016-11-27,4
2016-11-30,1
2016-12-01,1
2016-12-02,7
2016-12-03,11
2016-12-05,9
2016-12-06,8
2016-12-08,11
2016-12-09,9
2016-12-10,11
2016-12-11,5
2016-12-12,7
2016-12-13,2
2016-12-14,2
2016-12-15,2
2016-12-16,4
2016-12-17,7
2016-12-19,7
2016-12-22,7
2016-12-23,5
2016-12-24,12
2016-12-25,8
2016-12-26,4
2016-12-27,6
2016-12-28,9
2016-12-29,7
2016-12-30,7
2017-01-06,6
2017-01-07,4
2017-01-08,3
2017-01-10,3
2017-01-11,2
2017-01-12,9
2017-01-13,8
2017-01-14,15
2017-01-16,1
2017-01-17,5
2017-01-18,5
2017-01-19,1
2017-01-20,4
2017-01-21,6
2017-01-22,1
2017-01-24,8
2017-01-25,3
2017-01-26,1
2017-01-27,5
2017-01-28,10
2017-01-30,2
2017-01-31,1
2017-02-01,2
2017-02-02,7
2017-02-03,6
2017-02-04,7
2017-02-06,2
2017-02-07,2
2017-02-08,5
2017-02-10,5
2017-02-13,4
2017-02-14,1
2017-02-15,4
2017-02-16,2
2017-02-17,5
2017-02-18,20
