date,visitors
2016-07-01,31
2016-07-02,44
2016-07-03,36
2016-07-04,25
2016-07-05,36
2016-07-06,37
2016-07-07,33
2016-07-08,37
2016-07-09,24
2016-07-10,28
2016-07-12,38
2016-07-13,29
2016-07-14,32
2016-07-15,42
2016-07-16,37
2016-07-17,31
2016-07-18,34
2016-07-19,46
2016-07-20,36
2016-07-21,34
2016-07-22,39
2016-07-23,33
2016-07-24,29
2016-07-25,35
2016-07-26,29
2016-07-27,34
2016-07-28,42
2016-07-29,45
2016-07-30,35
2016-07-31,47
2016-08-01,38
2016-08-02,19
2016-08-03,31
2016-08-04,36
2016-08-05,40
2016-08-06,47
2016-08-07,26
2016-08-08,35
2016-08-09,44
2016-08-10,40
2016-08-11,20
2016-08-12,34
2016-08-16,21
2016-08-17,24
2016-08-18,31
2016-08-19,36
2016-08-20,42
2016-08-21,51
2016-08-22,37
2016-08-23,31
2016-08-24,32
2016-08-25,48
2016-08-26,49
2016-08-27,35
2016-08-28,37
2016-08-29,29
2016-08-30,36
2016-08-31,21
2016-09-01,30
2016-09-02,39
2016-09-03,32
2016-09-04,21
2016-09-05,26
2016-09-06,24
2016-09-07,26
2016-09-08,38
2016-09-09,33
2016-09-10,43
2016-09-11,16
2016-09-12,42
2016-09-13,30
2016-09-14,34
2016-09-15,25
2016-09-16,37
2016-09-17,29
2016-09-18,36
2016-09-19,22
2016-09-20,20
2016-09-21,41
2016-09-22,21
2016-09-23,25
2016-09-24,26
2016-09-25,32
2016-09-26,27
2016-09-27,37
2016-09-28,25
2016-09-29,27
2016-09-30,31
2016-10-01,26
2016-10-02,24
2016-10-03,38
2016-10-04,27
2016-10-05,26
2016-10-06,36
2016-10-07,36
2016-10-08,46
2016-10-10,26
2016-10-11,23
2016-10-12,27
2016-10-13,23
2016-10-14,38
2016-10-15,20
2016-10-16,27
2016-10-17,31
2016-10-19,28
2016-10-20,33
2016-10-21,31
2016-10-22,26
2016-10-23,28
2016-10-24,31
2016-10-25,33
2016-10-26,24
2016-10-27,33
2016-10-28,33
2016-10-29,29
2016-10-30,22
2016-10-31,24
2016-11-01,22
2016-11-02,25
2016-11-03,29
2016-11-04,27
2016-11-05,26
2016-11-06,25
2016-11-07,22
2016-11-08,31
2016-11-09,24
2016-11-10,43
2016-11-11,30
2016-11-12,41
2016-11-13,26
2016-11-14,38
2016-11-15,26
2016-11-16,37
2016-11-17,29
2016-11-18,27
2016-11-19,35
2016-11-20,29
2016-11-21,25
2016-11-22,37
2016-11-23,28
2016-11-24,34
2016-11-25,37
2016-11-26,35
2016-11-27,42
2016-11-28,27
2016-11-29,26
2016-11-30,34
2016-12-01,39
2016-12-02,47
2016-12-03,30
2016-12-04,28
2016-12-05,29
2016-12-06,28
2016-12-07,27
2016-12-08,31
2016-12-09,25
2016-12-10,38
2016-12-11,26
2016-12-12,31
2016-12-13,34
2016-12-14,35
2016-12-15,25
2016-12-16,32
2016-12-17,37
2016-12-18,31
2016-12-19,29
2016-12-20,26
2016-12-21,36
2016-12-22,30
2016-12-23,31
2016-12-24,27
2016-12-25,23
2016-12-26,40
2016-12-27,30
2016-12-28,28
2016-12-29,28
2017-01-02,52
2017-01-03,32
2017-01-04,24
2017-01-05,25
2017-01-06,26
2017-01-07,29
2017-01-08,41
2017-01-09,23
2017-01-10,27
2017-01-11,35
2017-01-12,28
2017-01-13,23
2017-01-14,49
2017-01-15,32
2017-01-16,31
2017-01-17,26
2017-01-18,27
2017-01-19,32
2017-01-20,32
2017-01-21,35
2017-01-22,34
2017-01-23,26
2017-01-24,36
2017-01-25,30
2017-01-26,31
2017-01-27,35
2017-01-28,39
2017-01-29,35
2017-01-30,24
2017-01-31,24
2017-02-01,35
2017-02-02,28
2017-02-03,32
2017-02-04,25
2017-02-05,33
2017-02-06,29
2017-02-07,32
2017-02-08,24
2017-02-09,30
2017-02-10,35
2017-02-11,34
2017-02-12,24
2017-02-13,27
2017-02-14,17
2017-02-15,36
2017-02-16,37
2017-02-17,39
2017-02-18,34
2017-02-19,32
2017-02-20,27
2017-02-21,30
2017-02-22,34
2017-02-23,34
