date,visitors
2016-07-01,39
2016-07-02,2
2016-07-04,23
2016-07-05,32
2016-07-06,44
2016-07-07,34
2016-07-08,45
2016-07-09,1
2016-07-11,12
2016-07-12,24
2016-07-13,27
2016-07-14,35
2016-07-15,13
2016-07-16,1
2016-07-19,4
2016-07-20,6
2016-07-21,31
2016-07-22,41
2016-07-23,1
2016-07-25,1
2016-07-26,48
2016-07-27,41
2016-07-28,37
2016-07-29,17
2016-07-30,1
2016-08-01,29
2016-08-02,30
2016-08-03,15
2016-08-04,39
2016-08-05,39
2016-08-06,1
2016-08-08,40
2016-08-09,8
2016-08-10,7
2016-08-11,3
2016-08-12,25
2016-08-16,31
2016-08-17,31
2016-08-18,22
2016-08-19,40
2016-08-22,5
2016-08-23,26
2016-08-24,41
2016-08-25,29
2016-08-26,33
2016-08-27,2
2016-08-29,18
2016-08-30,42
2016-08-31,40
2016-09-01,2
2016-09-02,42
2016-09-05,35
2016-09-06,38
2016-09-07,15
2016-09-08,38
2016-09-09,43
2016-09-12,23
2016-09-13,7
2016-09-14,26
2016-09-15,26
2016-09-16,50
2016-09-20,29
2016-09-21,45
2016-09-22,3
2016-09-23,22
2016-09-27,4
2016-09-28,23
2016-09-29,28
2016-09-30,47
2016-10-01,3
2016-10-03,2
2016-10-04,37
2016-10-05,33
2016-10-06,25
2016-10-07,25
2016-10-08,1
2016-10-12,39
2016-10-13,39
2016-10-14,29
2016-10-15,6
2016-10-17,8
2016-10-18,30
2016-10-19,39
2016-10-20,24
2016-10-21,39
2016-10-22,4
2016-10-24,33
2016-10-25,7
2016-10-26,37
2016-10-27,46
2016-10-28,40
2016-10-31,32
2016-11-01,39
2016-11-02,6
2016-11-03,17
2016-11-04,30
2016-11-07,19
2016-11-08,35
2016-11-09,37
2016-11-10,36
2016-11-11,36
2016-11-14,36
2016-11-15,39
2016-11-16,27
2016-11-17,42
2016-11-18,56
2016-11-21,22
2016-11-22,25
2016-11-24,20
2016-11-25,41
2016-11-26,1
2016-11-28,26
2016-11-29,30
2016-11-30,43
2016-12-01,19
2016-12-02,43
2016-12-05,33
2016-12-06,33
2016-12-07,5
2016-12-08,18
2016-12-09,56
2016-12-10,1
2016-12-11,2
2016-12-12,21
2016-12-13,49
2016-12-14,33
2016-12-15,33
2016-12-16,41
2016-12-17,2
2016-12-19,37
2016-12-20,5
2016-12-21,39
2016-12-22,39
2016-12-23,27
2016-12-26,24
2016-12-27,37
2016-12-28,25
2016-12-29,44
2017-01-04,12
2017-01-05,35
2017-01-06,36
2017-01-10,34
2017-01-11,27
2017-01-12,18
2017-01-13,20
2017-01-14,4
2017-01-16,56
2017-01-17,33
2017-01-18,15
2017-01-19,42
2017-01-20,34
2017-01-23,32
2017-01-24,6
2017-01-25,37
2017-01-26,43
2017-01-27,5
2017-01-29,10
2017-01-30,9
2017-01-31,34
2017-02-01,12
2017-02-02,38
2017-02-03,45
2017-02-06,25
2017-02-07,23
2017-02-08,36
2017-02-09,26
2017-02-10,40
2017-02-14,2
2017-02-15,39
2017-02-16,1
2017-02-17,40
2017-02-18,2
2017-02-20,29
2017-02-21,14
2017-02-22,29
